County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,asian_population,per_capita_income,total_population_race,median_home_value,black_population,age_18_and_under_percentage,Year
Baltimore County,Maryland,24,5,526372.0,807318.0,12.7,9779.0,1118.0,79.4,0.4389,1956.0,66068.0,526372.0,34447.0,807318.0,263900.0,210312.0,10.5,2012
Bamberg County,South Carolina,45,9,5734.0,15941.0,14.4,203.0,538.0,79.9,0.5097,0.0,31015.0,5734.0,18680.0,15941.0,74300.0,10017.0,15.4,2012
Bandera County,Texas,48,19,19233.0,20477.0,21.2,153.0,762.0,83.3,0.421,163.0,47927.0,19233.0,24783.0,20477.0,141400.0,138.0,5.7,2012
Banks County,Georgia,13,11,17046.0,18250.0,11.4,125.0,642.0,76.7,0.4372,14.0,40162.0,17046.0,20094.0,18250.0,137800.0,507.0,8.6,2012
Bannock County,Idaho,16,5,74742.0,82584.0,10.1,692.0,609.0,74.6,0.4228,2845.0,45860.0,74742.0,21478.0,82584.0,143200.0,587.0,12.8,2012
Baraga County,Michigan,26,13,6566.0,8808.0,14.3,70.0,494.0,85.0,0.4094,711.0,39594.0,6566.0,17818.0,8808.0,83100.0,1030.0,7.6,2012
Barber County,Kansas,20,7,4708.0,4867.0,17.6,15.0,517.0,80.3,0.4132,14.0,43048.0,4708.0,25276.0,4867.0,58000.0,8.0,7.2,2012
Barbour County,Alabama,1,5,13448.0,27469.0,11.8,166.0,577.0,81.0,0.4758,25.0,31889.0,13448.0,16532.0,27469.0,88700.0,12645.0,10.0,2012
Barbour County,West Virginia,54,1,15952.0,16472.0,15.4,43.0,514.0,79.7,0.4344,114.0,36087.0,15952.0,18340.0,16472.0,85900.0,68.0,9.1,2012
Barnes County,North Dakota,38,3,10622.0,11047.0,17.1,24.0,520.0,84.0,0.4994,73.0,48317.0,10622.0,31769.0,11047.0,85500.0,58.0,10.1,2012
Barnstable County,Massachusetts,25,1,201956.0,216021.0,22.7,1938.0,1112.0,84.0,0.4542,835.0,60424.0,201956.0,36060.0,216021.0,373600.0,4538.0,7.9,2012
Barnwell County,South Carolina,45,11,11888.0,22523.0,12.3,182.0,618.0,76.7,0.4672,84.0,35748.0,11888.0,18109.0,22523.0,73500.0,10148.0,11.0,2012
Barren County,Kentucky,21,9,39463.0,42229.0,13.3,341.0,544.0,77.1,0.4417,48.0,37587.0,39463.0,19613.0,42229.0,101800.0,1910.0,8.1,2012
Barron County,Wisconsin,55,5,44073.0,45882.0,16.2,504.0,638.0,79.6,0.4138,375.0,44149.0,44073.0,23029.0,45882.0,135500.0,488.0,8.0,2012
Barrow County,Georgia,13,13,55517.0,69136.0,8.0,501.0,850.0,72.7,0.3797,128.0,51202.0,55517.0,20845.0,69136.0,131900.0,8396.0,8.4,2012
Barry County,Michigan,26,15,57566.0,59249.0,13.4,255.0,689.0,78.1,0.3988,196.0,53541.0,57566.0,24995.0,59249.0,137200.0,271.0,7.9,2012
Barry County,Missouri,29,9,32853.0,35680.0,16.7,197.0,569.0,76.9,0.4117,193.0,38153.0,32853.0,19419.0,35680.0,105900.0,10.0,7.7,2012
Bartholomew County,Indiana,18,5,69578.0,77297.0,12.1,430.0,783.0,77.1,0.4235,195.0,54481.0,69578.0,27178.0,77297.0,137000.0,1410.0,8.3,2012
Barton County,Kansas,20,9,25752.0,27556.0,14.8,120.0,538.0,77.8,0.4487,59.0,46639.0,25752.0,25463.0,27556.0,73600.0,423.0,9.5,2012
Barton County,Missouri,29,11,11794.0,12428.0,15.7,55.0,505.0,75.4,0.4294,109.0,39576.0,11794.0,19429.0,12428.0,84400.0,13.0,7.1,2012
Bartow County,Georgia,13,15,82548.0,99872.0,9.5,878.0,774.0,75.2,0.4226,467.0,49543.0,82548.0,21884.0,99872.0,137600.0,10000.0,8.4,2012
Bastrop County,Texas,48,21,61425.0,74023.0,10.6,381.0,876.0,76.1,0.4214,725.0,52516.0,61425.0,23940.0,74023.0,121200.0,5998.0,7.9,2012
Bates County,Missouri,29,13,16364.0,17003.0,15.9,232.0,582.0,76.9,0.4192,67.0,39371.0,16364.0,20676.0,17003.0,104300.0,71.0,7.5,2012
Bath County,Kentucky,21,11,11239.0,11665.0,13.6,47.0,524.0,75.9,0.4706,0.0,29632.0,11239.0,15985.0,11665.0,65900.0,223.0,7.1,2012
Bath County,Virginia,51,17,4499.0,4713.0,20.5,17.0,781.0,83.6,0.4403,0.0,51528.0,4499.0,27471.0,4713.0,147900.0,169.0,2.7,2012
Baxter County,Arkansas,5,5,40189.0,41387.0,27.7,256.0,608.0,82.9,0.442,231.0,35209.0,40189.0,21409.0,41387.0,119700.0,123.0,6.0,2012
Bay County,Florida,12,5,139352.0,168957.0,13.3,1979.0,933.0,79.9,0.418,870.0,47364.0,139352.0,24859.0,168957.0,163000.0,17810.0,10.1,2012
Bay County,Michigan,26,17,101486.0,107633.0,14.2,817.0,614.0,79.5,0.4172,345.0,46068.0,101486.0,23694.0,107633.0,99200.0,1352.0,8.8,2012
Bayfield County,Wisconsin,55,7,13106.0,15078.0,20.2,96.0,529.0,83.6,0.4194,1574.0,44626.0,13106.0,25485.0,15078.0,158200.0,70.0,6.0,2012
Baylor County,Texas,48,23,3520.0,3706.0,24.8,73.0,442.0,83.6,0.4562,29.0,34688.0,3520.0,23041.0,3706.0,71100.0,59.0,2.8,2012
Beadle County,South Dakota,46,5,15908.0,17372.0,14.3,146.0,488.0,78.4,0.4428,158.0,43778.0,15908.0,25845.0,17372.0,87700.0,86.0,8.7,2012
