County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,median_gross_rent,age_15_to_44_percentage,white_population,total_population,age_60_and_over,poverty_rate,housing_cost_burden,median_household_income,gini_index,native_american_population,health_insurance_rate,unemployment_rate,total_population_race,median_home_value,black_population,age_18_and_under_percentage,asian_population,per_capita_income,Year
Clinton County,Iowa,19,45,12.7,18.2,610.0,78.9,45660.0,48663.0,15.4,14.2,495.0,49849.0,0.4354,199.0,7.8,5.4,48663.0,110100.0,1406.0,8.3,45660.0,26751.0,2014
Clinton County,Kentucky,21,53,15.5,7.9,558.0,79.1,9827.0,10192.0,15.8,24.2,58.0,27285.0,0.4806,0.0,13.2,10.0,10192.0,66300.0,74.0,7.5,9827.0,17171.0,2014
Clinton County,Michigan,26,37,10.8,27.4,778.0,78.6,71516.0,76479.0,13.1,11.6,646.0,60381.0,0.4158,212.0,7.6,7.2,76479.0,155000.0,1221.0,10.1,71516.0,28889.0,2014
Clinton County,Missouri,29,49,12.5,16.9,745.0,78.2,19603.0,20545.0,15.7,9.9,161.0,53361.0,0.3844,148.0,13.8,7.6,20545.0,136700.0,394.0,7.8,19603.0,25307.0,2014
Clinton County,New York,36,19,14.4,19.3,736.0,83.8,75186.0,81829.0,12.3,15.2,750.0,50985.0,0.4385,259.0,6.2,7.3,81829.0,125200.0,3430.0,13.3,75186.0,25279.0,2014
Clinton County,Ohio,39,27,13.7,15.6,685.0,76.7,39641.0,41871.0,12.8,16.9,467.0,45909.0,0.4454,104.0,11.2,10.6,41871.0,118300.0,1032.0,9.7,39641.0,22828.0,2014
Clinton County,Pennsylvania,42,35,14.4,16.1,675.0,81.3,38161.0,39611.0,15.1,16.9,240.0,44329.0,0.4192,31.0,10.8,6.9,39611.0,113800.0,607.0,15.6,38161.0,21595.0,2014
Cloud County,Kansas,20,29,15.7,16.4,558.0,81.0,9123.0,9414.0,16.9,17.3,65.0,39509.0,0.3847,19.0,15.4,6.2,9414.0,69700.0,32.0,13.2,9123.0,21265.0,2014
Coahoma County,Mississippi,28,27,15.6,17.5,572.0,72.5,5816.0,25527.0,10.9,37.4,333.0,27735.0,0.523,24.0,18.0,19.4,25527.0,58100.0,19381.0,11.5,5816.0,15858.0,2014
Coal County,Oklahoma,40,29,21.7,11.1,562.0,76.2,4255.0,5877.0,16.7,21.1,55.0,38141.0,0.4681,599.0,22.8,8.1,5877.0,71900.0,28.0,8.5,4255.0,20968.0,2014
Cobb County,Georgia,13,67,8.1,44.2,988.0,76.7,440344.0,708920.0,8.6,13.0,8404.0,64657.0,0.4566,1357.0,17.7,9.1,708920.0,194900.0,185448.0,9.7,440344.0,33418.0,2014
Cochise County,Arizona,4,3,17.1,23.8,792.0,79.5,104360.0,130807.0,17.2,17.5,1002.0,45974.0,0.4496,1599.0,12.5,9.3,130807.0,141300.0,5148.0,10.3,104360.0,23552.0,2014
Cochran County,Texas,48,79,17.1,12.9,451.0,73.2,2479.0,3031.0,13.4,15.9,0.0,41071.0,0.4623,22.0,31.3,10.6,3031.0,31500.0,134.0,10.1,2479.0,18318.0,2014
Cocke County,Tennessee,47,29,22.1,8.8,551.0,80.3,33741.0,35453.0,17.6,27.8,215.0,30888.0,0.4793,45.0,17.1,13.1,35453.0,98600.0,496.0,7.6,33741.0,18113.0,2014
Coconino County,Arizona,4,5,11.1,31.8,990.0,79.3,84667.0,135817.0,9.4,23.8,1564.0,48540.0,0.4701,36504.0,19.8,9.7,135817.0,217200.0,2009.0,18.2,84667.0,23459.0,2014
Codington County,South Dakota,46,29,13.7,18.6,600.0,76.9,26212.0,27598.0,13.0,10.7,202.0,47891.0,0.4282,728.0,8.5,3.7,27598.0,138500.0,54.0,9.5,26212.0,25624.0,2014
Coffee County,Alabama,1,31,17.0,23.9,676.0,78.0,39064.0,50726.0,13.2,18.8,378.0,45558.0,0.4474,445.0,13.0,7.3,50726.0,137000.0,8671.0,8.8,39064.0,24204.0,2014
Coffee County,Georgia,13,69,15.6,9.8,564.0,77.8,27757.0,42947.0,10.0,26.0,397.0,34523.0,0.4737,100.0,23.7,10.6,42947.0,79700.0,11801.0,12.1,27757.0,16796.0,2014
