County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,age_60_and_over,total_population,white_population,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,per_capita_income,asian_population,Year
Lincoln County,Tennessee,47,103,79.2,605.0,15.9,33550.0,29948.0,266.0,40389.0,0.4273,87.0,33550.0,1745.0,8.7,109100.0,21655.0,29948.0,2015
Lincoln County,Washington,53,43,81.0,644.0,22.3,10363.0,9752.0,54.0,46069.0,0.4131,94.0,10363.0,28.0,6.4,142500.0,24951.0,9752.0,2015
Lincoln County,West Virginia,54,43,79.2,524.0,15.7,21560.0,21199.0,73.0,35800.0,0.4465,38.0,21560.0,103.0,7.4,81000.0,19114.0,21199.0,2015
Lincoln County,Wisconsin,55,69,82.9,616.0,17.7,28286.0,27426.0,257.0,49721.0,0.4005,83.0,28286.0,147.0,7.2,132600.0,25856.0,27426.0,2015
Lincoln County,Wyoming,56,23,75.2,796.0,13.5,18316.0,17682.0,117.0,66647.0,0.3888,60.0,18316.0,27.0,6.8,201700.0,29915.0,17682.0,2015
Lincoln Parish,Louisiana,22,61,81.0,666.0,10.2,47349.0,25740.0,537.0,33467.0,0.5393,71.0,47349.0,19365.0,26.7,126100.0,21003.0,25740.0,2015
Linn County,Iowa,19,113,78.0,695.0,12.2,216640.0,194427.0,2144.0,59322.0,0.4282,527.0,216640.0,9147.0,10.2,147400.0,30829.0,194427.0,2015
Linn County,Kansas,20,107,80.3,630.0,19.7,9528.0,9176.0,50.0,46964.0,0.4718,119.0,9528.0,66.0,6.6,90300.0,26519.0,9176.0,2015
Linn County,Missouri,29,115,77.9,517.0,17.6,12401.0,11902.0,49.0,37997.0,0.4211,15.0,12401.0,69.0,7.5,75900.0,19889.0,11902.0,2015
Linn County,Oregon,41,43,78.4,810.0,15.4,118971.0,110239.0,1363.0,45644.0,0.415,1886.0,118971.0,521.0,8.4,170300.0,21706.0,110239.0,2015
Lipscomb County,Texas,48,295,74.8,662.0,9.5,3483.0,3005.0,5.0,63125.0,0.4437,33.0,3483.0,13.0,10.5,93000.0,30237.0,3005.0,2015
Litchfield County,Connecticut,9,5,81.7,955.0,16.0,186304.0,174220.0,1413.0,72061.0,0.4485,341.0,186304.0,2827.0,7.8,254600.0,38530.0,174220.0,2015
Little River County,Arkansas,5,81,75.5,530.0,17.0,12720.0,9383.0,166.0,36205.0,0.4301,147.0,12720.0,2632.0,6.6,75500.0,19858.0,9383.0,2015
Live Oak County,Texas,48,297,83.0,699.0,18.1,11873.0,10501.0,34.0,50400.0,0.4222,67.0,11873.0,396.0,6.5,86900.0,21231.0,10501.0,2015
Livingston County,Illinois,17,105,80.4,626.0,14.3,37689.0,34856.0,218.0,54254.0,0.4221,20.0,37689.0,2043.0,8.6,107200.0,25769.0,34856.0,2015
Livingston County,Kentucky,21,139,82.7,607.0,18.6,9394.0,9177.0,90.0,42171.0,0.4505,20.0,9394.0,18.0,6.7,86900.0,23079.0,9177.0,2015
Livingston County,Michigan,26,93,79.1,917.0,13.0,184591.0,177908.0,704.0,75204.0,0.3878,448.0,184591.0,873.0,8.3,192500.0,33619.0,177908.0,2015
Livingston County,Missouri,29,117,79.7,598.0,18.2,15042.0,14204.0,137.0,43350.0,0.4563,100.0,15042.0,392.0,7.9,102500.0,22557.0,14204.0,2015
Livingston County,New York,36,51,83.0,721.0,13.6,64801.0,60451.0,413.0,51734.0,0.4059,92.0,64801.0,1587.0,14.8,121200.0,24142.0,60451.0,2015
Livingston Parish,Louisiana,22,63,75.5,793.0,10.1,133949.0,121884.0,509.0,58251.0,0.4255,380.0,133949.0,8234.0,8.7,152600.0,25999.0,121884.0,2015
Llano County,Texas,48,299,86.9,741.0,34.2,19323.0,18405.0,145.0,48259.0,0.5416,18.0,19323.0,432.0,6.6,160600.0,36279.0,18405.0,2015
Logan County,Arkansas,5,83,79.9,549.0,17.3,22001.0,20497.0,103.0,35325.0,0.4639,203.0,22001.0,407.0,8.6,83200.0,20011.0,20497.0,2015
Logan County,Colorado,8,75,84.7,673.0,13.1,21928.0,20028.0,160.0,42319.0,0.4572,264.0,21928.0,317.0,15.8,124700.0,23916.0,20028.0,2015
Logan County,Illinois,17,107,82.7,624.0,13.9,29956.0,23727.0,122.0,50539.0,0.437,55.0,29956.0,3523.0,12.2,98900.0,21786.0,23727.0,2015
Logan County,Kansas,20,109,76.9,675.0,16.1,2793.0,2665.0,51.0,46875.0,0.4521,17.0,2793.0,0.0,7.8,79200.0,28974.0,2665.0,2015
Logan County,Kentucky,21,141,77.9,588.0,15.1,26851.0,24303.0,335.0,38570.0,0.4202,57.0,26851.0,1722.0,8.0,94600.0,19126.0,24303.0,2015
