County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,Year
Pulaski County,Arkansas,5,119,10.6,386106,229193,4532,77.6,770,0.4853,1266,46013,27414,229193,386106,136311,9.8,140500,2013
Pulaski County,Georgia,13,235,15.9,11775,7861,21,77.5,523,0.4208,0,41550,17781,7861,11775,3577,6.4,87300,2013
Pulaski County,Illinois,17,153,16.6,6035,3866,37,75.9,465,0.4491,15,33717,19867,3866,6035,2001,8.2,55300,2013
Pulaski County,Indiana,18,131,15.6,13253,12897,39,78.9,607,0.4159,5,44764,21641,12897,13253,18,8.4,94900,2013
Pulaski County,Kentucky,21,199,15.3,63369,61213,493,79.3,582,0.4998,127,34092,20667,61213,63369,625,8.1,106700,2013
Pulaski County,Missouri,29,169,5.4,52795,40759,461,81.3,934,0.3745,608,49820,20863,40759,52795,6067,29.1,121600,2013
Pulaski County,Virginia,51,155,16.4,34768,32112,311,82.4,591,0.4242,0,44312,23987,32112,34768,1902,7.9,133900,2013
Pushmataha County,Oklahoma,40,127,19.4,11406,8577,121,79.1,514,0.4671,1497,29897,18542,8577,11406,117,7.1,71000,2013
Putnam County,Florida,12,107,18.4,73683,57225,547,79.5,634,0.466,282,32497,18377,57225,73683,12089,8.6,89600,2013
Putnam County,Georgia,13,237,19.0,21241,14614,230,81.3,695,0.483,0,44764,26321,14614,21241,5713,9.0,140600,2013
Putnam County,Illinois,17,155,16.8,5927,5707,10,80.8,636,0.3929,0,54196,27074,5707,5927,12,6.8,126500,2013
Putnam County,Indiana,18,133,11.6,37799,35411,116,82.4,653,0.3865,192,50821,21520,35411,37799,1516,13.9,125800,2013
Putnam County,Missouri,29,171,20.0,4944,4837,39,78.8,523,0.4109,0,36713,19397,4837,4944,29,7.0,100300,2013
Putnam County,New York,36,79,11.7,99718,89382,337,79.6,1259,0.4158,327,95117,40309,89382,99718,2068,8.4,372200,2013
Putnam County,Ohio,39,137,12.6,34339,32929,204,76.4,650,0.3588,24,61192,25481,32929,34339,125,8.1,133500,2013
Putnam County,Tennessee,47,141,13.2,72702,68432,680,80.5,599,0.5076,83,33709,20517,68432,72702,1755,16.3,135100,2013
Putnam County,West Virginia,54,79,13.9,56033,54218,190,79.1,703,0.4286,42,54854,27957,54218,56033,590,7.1,142900,2013
Quay County,New Mexico,35,37,21.8,8890,7880,74,81.5,474,0.4349,166,30802,17936,7880,8890,128,11.1,68900,2013
Queen Anne's County,Maryland,24,35,15.0,48166,42885,214,78.9,1215,0.4072,48,87256,38108,42885,48166,3569,8.1,348100,2013
Queens County,New York,36,81,11.0,2256400,955167,35933,80.7,1315,0.4432,9305,57001,26495,955167,2256400,420675,10.0,450900,2013
Quitman County,Georgia,13,239,18.5,2396,1014,41,78.9,624,0.3947,3,31068,14201,1014,2396,1352,10.6,62300,2013
Quitman County,Mississippi,28,119,12.5,8028,2371,127,75.4,538,0.4735,7,22863,13954,2371,8028,5603,10.7,49200,2013
Rabun County,Georgia,13,241,20.9,16271,15220,115,82.2,718,0.4833,39,35423,22260,15220,16271,220,7.6,168300,2013
Racine County,Wisconsin,55,101,11.9,195045,158205,2099,77.7,759,0.4313,802,54090,27141,158205,195045,21038,8.9,170100,2013
Radford City,Virginia,51,750,6.9,16705,14359,207,88.9,718,0.5038,0,30714,16181,14359,16705,1336,44.9,144000,2013
Rains County,Texas,48,379,20.3,10989,9926,67,80.0,664,0.3979,53,44478,21946,9926,10989,309,7.2,96300,2013
Raleigh County,West Virginia,54,81,14.3,78993,69880,558,80.7,603,0.4483,219,40758,21837,69880,78993,6495,8.6,93900,2013
Ralls County,Missouri,29,173,16.7,10206,9882,48,80.3,615,0.3665,55,47969,23299,9882,10206,38,7.1,108400,2013
Ramsey County,Minnesota,27,123,10.4,515732,364956,7444,78.3,840,0.4572,3424,54247,29484,364956,515732,56701,11.7,198200,2013
Ramsey County,North Dakota,38,71,16.0,11473,10045,102,78.5,504,0.4512,934,48604,28081,10045,11473,78,9.9,89600,2013
Randall County,Texas,48,381,11.2,123062,111171,1328,76.4,769,0.4278,712,58529,29124,111171,123062,2998,10.6,141900,2013
Randolph County,Alabama,1,111,15.8,22819,17527,158,77.8,588,0.4952,80,35213,19830,17527,22819,4643,9.4,88600,2013
Randolph County,Arkansas,5,121,16.6,17896,17329,130,78.3,455,0.4544,47,34418,18871,17329,17896,82,8.5,74100,2013
Randolph County,Georgia,13,243,18.1,7498,2661,96,78.2,622,0.476,3,30023,18094,2661,7498,4434,9.1,70300,2013
Randolph County,Illinois,17,157,13.0,33218,29400,171,83.5,653,0.4007,43,47427,21976,29400,33218,3347,8.4,92100,2013
Randolph County,Indiana,18,135,15.5,25975,25236,183,78.1,606,0.4475,20,40904,21592,25236,25975,100,7.8,76200,2013
Randolph County,Missouri,29,175,11.7,25253,22972,157,79.3,632,0.4161,134,37203,17587,22972,25253,1611,9.7,84600,2013
Randolph County,North Carolina,37,151,12.9,142042,126256,881,77.6,650,0.4168,603,41208,20523,126256,142042,7790,8.5,121900,2013
Randolph County,West Virginia,54,83,16.3,29399,28535,250,82.4,534,0.4416,51,37276,19595,28535,29399,428,9.0,99000,2013
Rankin County,Mississippi,28,121,10.5,143665,111601,1153,76.4,875,0.4129,299,57380,26897,111601,143665,27406,8.3,148900,2013
Ransom County,North Dakota,38,73,17.6,5472,5342,14,79.1,552,0.4129,13,49788,26137,5342,5472,26,6.0,87400,2013
Rapides Parish,Louisiana,22,79,12.3,132034,84706,1218,76.3,701,0.4771,826,40930,22126,84706,132034,42348,9.7,120400,2013
Rappahannock County,Virginia,51,157,20.1,7448,6860,23,84.3,966,0.4874,3,56438,36505,6860,7448,338,8.4,394800,2013
Ravalli County,Montana,30,81,19.6,40423,38781,226,80.2,681,0.4479,326,38688,22872,38781,40423,105,6.5,233700,2013
Rawlins County,Kansas,20,153,24.5,2545,2490,16,85.1,570,0.4235,11,43482,26897,2490,2545,9,6.8,66700,2013
Ray County,Missouri,29,177,14.1,23290,22320,174,77.9,733,0.4087,44,52698,24549,22320,23290,255,7.9,117600,2013
Reagan County,Texas,48,383,10.9,3441,2812,0,74.6,707,0.3815,0,61250,26633,2812,3441,96,8.9,66200,2013
Real County,Texas,48,385,30.7,3348,3290,20,87.5,761,0.3724,0,33885,17931,3290,3348,3,8.7,102200,2013
Red Lake County,Minnesota,27,125,15.5,4087,3912,35,77.8,497,0.3844,50,47569,23257,3912,4087,25,6.4,87800,2013
Red River County,Texas,48,387,19.7,12709,10045,55,79.3,526,0.4514,149,31712,19014,10045,12709,2159,5.7,69200,2013
Red River Parish,Louisiana,22,81,13.3,9028,5293,39,75.7,564,0.5096,10,39346,21443,5293,9028,3618,9.7,78700,2013
Red Willow County,Nebraska,31,145,16.6,11015,10679,161,80.8,589,0.4117,56,42345,23320,10679,11015,73,10.3,84200,2013
Redwood County,Minnesota,27,127,17.7,15942,14237,93,77.3,565,0.425,763,47447,25649,14237,15942,90,7.6,90500,2013
Reeves County,Texas,48,389,9.7,13775,11811,47,82.7,546,0.4332,211,40571,15467,11811,13775,693,13.7,40100,2013
Refugio County,Texas,48,391,18.9,7327,6426,55,80.5,544,0.437,15,44548,23174,6426,7327,428,9.3,66300,2013
Reno County,Kansas,20,155,14.7,64319,58720,638,79.1,652,0.4269,319,43798,23382,58720,64319,1929,10.4,90600,2013
Rensselaer County,New York,36,83,12.1,159565,139931,1493,80.8,858,0.4225,145,59432,29987,139931,159565,9794,13.0,178200,2013
Renville County,Minnesota,27,129,17.2,15499,14768,82,80.1,560,0.4169,120,50802,26062,14768,15499,97,7.5,97600,2013
Renville County,North Dakota,38,75,17.6,2512,2452,0,81.6,568,0.383,13,60847,31178,2452,2512,6,6.2,95200,2013
Republic County,Kansas,20,157,23.9,4919,4798,33,83.4,461,0.4364,12,39572,25531,4798,4919,3,5.9,49200,2013
Reynolds County,Missouri,29,179,20.8,6661,6462,53,78.1,500,0.4352,51,34496,18449,6462,6661,52,6.7,86100,2013
Rhea County,Tennessee,47,143,14.5,32080,30403,290,77.7,565,0.4415,53,36741,18952,30403,32080,783,9.3,104400,2013
Rice County,Kansas,20,159,15.8,10055,9234,65,79.4,554,0.4255,198,45336,23068,9234,10055,55,12.2,74200,2013
Rice County,Minnesota,27,131,11.0,64585,58170,473,79.6,750,0.4109,251,59915,25370,58170,64585,1931,15.8,187500,2013
Rich County,Utah,49,33,15.4,2279,2254,7,71.2,633,0.4699,1,50000,24258,2254,2279,3,6.6,156600,2013
Richardson County,Nebraska,31,147,20.4,8289,7768,81,80.3,490,0.4206,173,38582,23566,7768,8289,8,6.2,62600,2013
Richland County,Illinois,17,159,17.0,16213,15751,97,79.7,541,0.4283,10,44070,23621,15751,16213,66,9.2,78100,2013
Richland County,Montana,30,83,12.5,10318,9792,111,78.8,665,0.4722,202,58112,32036,9792,10318,32,8.8,153000,2013
Richland County,North Dakota,38,77,13.0,16258,15358,96,81.1,477,0.4273,396,53759,27713,15358,16258,63,15.2,101800,2013
Richland County,Ohio,39,139,14.3,123387,107625,1248,80.2,608,0.4257,281,41835,21932,107625,123387,10778,8.9,103500,2013
Richland County,South Carolina,45,79,8.7,389708,184034,4396,79.2,849,0.4659,609,48359,25763,184034,389708,178828,16.9,149800,2013
Richland County,Wisconsin,55,103,16.6,17911,17243,129,78.6,617,0.4139,70,45271,22778,17243,17911,144,7.7,124000,2013
Richland Parish,Louisiana,22,83,12.7,20816,13105,101,75.8,518,0.457,4,36835,18669,13105,20816,7542,9.5,76900,2013
Richmond City,Virginia,51,760,9.2,207878,90207,4318,82.2,883,0.5394,681,40496,27184,90207,207878,102179,15.9,196400,2013
Richmond County,Georgia,13,245,10.0,201081,79813,2801,77.0,763,0.4754,708,37749,20526,79813,201081,109458,13.1,100900,2013
Richmond County,New York,36,85,11.4,470223,355183,3945,78.6,1173,0.438,1180,72569,31823,355183,470223,49332,9.9,441000,2013
Richmond County,North Carolina,37,153,12.7,46534,28812,362,77.9,583,0.4589,1224,32384,17236,28812,46534,14051,10.8,77500,2013
Richmond County,Virginia,51,159,12.9,9140,6086,42,84.4,716,0.442,46,47083,20875,6086,9140,2512,7.4,155700,2013
Riley County,Kansas,20,161,6.1,73243,61748,1160,83.7,861,0.4794,362,43962,22948,61748,73243,4728,35.0,170400,2013
Ringgold County,Iowa,19,159,20.6,5107,5068,55,76.2,458,0.4218,15,44551,23324,5068,5107,4,6.4,78500,2013
Rio Arriba County,New Mexico,35,39,13.6,40218,27913,83,78.6,649,0.442,6072,40250,20014,27913,40218,167,8.8,133300,2013
Rio Blanco County,Colorado,8,103,12.2,6770,6428,57,79.3,755,0.3968,123,60128,27586,6428,6770,32,10.4,200400,2013
Rio Grande County,Colorado,8,105,15.9,11913,9578,126,76.9,604,0.4348,306,38993,20557,9578,11913,62,8.1,129500,2013
Ripley County,Indiana,18,137,14.0,28636,27902,136,76.7,653,0.3874,28,47537,22059,27902,28636,123,7.8,132000,2013
Ripley County,Missouri,29,181,18.0,14071,13624,154,79.2,528,0.4007,70,32291,16408,13624,14071,20,7.8,76200,2013
Ritchie County,West Virginia,54,85,17.5,10303,10126,13,81.7,515,0.4022,0,35769,17843,10126,10303,21,7.5,73400,2013
Riverside County,California,6,65,11.1,2228528,1475081,21516,75.0,1168,0.441,22075,56529,23591,1475081,2228528,138881,10.9,231000,2013
Roane County,Tennessee,47,145,17.7,53765,50823,573,80.8,662,0.4428,92,42223,23936,50823,53765,1468,7.5,120300,2013
Roane County,West Virginia,54,87,16.2,14807,13956,128,80.2,467,0.4533,30,28513,17341,13956,14807,2,7.2,81900,2013
Roanoke City,Virginia,51,770,11.9,97355,63724,1635,79.1,697,0.4651,267,38145,23295,63724,97355,26749,8.6,134700,2013
Roanoke County,Virginia,51,161,15.6,92824,83326,734,79.8,826,0.4089,64,60795,31728,83326,92824,5250,7.3,193700,2013
Roberts County,South Dakota,46,109,16.5,10210,6221,31,74.3,481,0.4437,3589,47191,22670,6221,10210,45,8.0,83000,2013
Robertson County,Kentucky,21,201,18.4,2254,2244,31,80.2,568,0.4418,2,31786,17641,2244,2254,0,11.9,81900,2013
Robertson County,Tennessee,47,147,11.1,66623,58733,494,76.6,775,0.4006,264,52792,23809,58733,66623,5124,8.2,153100,2013
Robertson County,Texas,48,395,16.1,16574,12263,163,76.7,572,0.4811,66,40601,21709,12263,16574,3538,9.2,77400,2013
Robeson County,North Carolina,37,155,10.2,134535,41696,1165,74.6,592,0.4812,50585,29806,15343,41696,134535,32342,11.5,66800,2013
Rock County,Minnesota,27,133,16.9,9601,9319,58,76.3,603,0.4154,47,46623,24101,9319,9601,77,6.6,119300,2013
Rock County,Nebraska,31,149,18.9,1436,1376,4,83.5,386,0.4077,0,43500,24501,1376,1436,11,6.5,65200,2013
Rock County,Wisconsin,55,105,12.2,160345,144920,1657,77.4,743,0.4068,328,49435,24094,144920,160345,5846,8.9,133000,2013
Rock Island County,Illinois,17,161,14.5,147477,120312,1625,78.9,650,0.4389,514,48702,26455,120312,147477,13810,9.4,113800,2013
Rockbridge County,Virginia,51,163,20.8,22345,21019,191,82.9,695,0.4345,63,48313,25638,21019,22345,593,8.1,179500,2013
Rockcastle County,Kentucky,21,203,14.3,16997,16658,95,80.2,508,0.4655,135,30674,16513,16658,16997,68,8.4,74800,2013
Rockdale County,Georgia,13,247,10.0,85650,39035,979,75.3,943,0.4081,356,52579,23461,39035,85650,40517,10.1,149900,2013
Rockingham County,New Hampshire,33,15,12.2,296718,283694,2478,80.4,1095,0.4199,490,77348,38399,283694,296718,2415,8.0,282100,2013
Rockingham County,North Carolina,37,157,14.6,92974,70144,701,80.0,596,0.4343,375,38567,21102,70144,92974,17350,8.2,102900,2013
Rockingham County,Virginia,51,165,15.0,76885,73030,427,78.2,817,0.4589,209,52195,27298,73030,76885,1212,9.3,195300,2013
Rockland County,New York,36,87,11.9,315069,227418,2255,74.0,1324,0.4463,777,84951,34591,227418,315069,38953,9.6,435300,2013
Rockwall County,Texas,48,397,9.5,81020,70379,235,73.0,1219,0.3896,253,86119,34617,70379,81020,4399,7.1,187800,2013
Roger Mills County,Oklahoma,40,129,15.5,3713,3364,18,79.1,567,0.4802,78,53885,27326,3364,3713,3,7.0,81300,2013
Rogers County,Oklahoma,40,131,13.2,87730,66321,555,76.8,786,0.4091,10824,58525,27365,66321,87730,789,9.2,143600,2013
Rolette County,North Dakota,38,79,9.3,14176,2868,105,68.5,379,0.4904,10971,31336,15502,2868,14176,50,9.7,63400,2013
Rooks County,Kansas,20,163,17.2,5189,4985,47,79.0,500,0.4291,14,42449,23768,4985,5189,21,7.3,62500,2013
Roosevelt County,Montana,30,85,9.2,10665,3924,56,71.1,384,0.4542,5860,36920,16888,3924,10665,5,10.9,70100,2013
Roosevelt County,New Mexico,35,41,10.9,19984,14647,278,77.0,687,0.4259,272,38764,17477,14647,19984,491,18.2,111300,2013
Roscommon County,Michigan,26,143,27.9,24281,23572,299,86.3,655,0.4775,175,33334,23023,23572,24281,93,6.3,92000,2013
Roseau County,Minnesota,27,135,13.3,15587,14695,95,78.6,555,0.4047,161,50759,25650,14695,15587,78,7.0,103800,2013
Rosebud County,Montana,30,87,11.8,9310,5715,54,73.5,536,0.4083,3114,48789,22229,5715,9310,30,7.7,110900,2013
Ross County,Ohio,39,141,11.7,77802,70389,663,80.6,641,0.4417,101,43264,21310,70389,77802,3517,8.2,111100,2013
Routt County,Colorado,8,107,9.1,23409,22438,174,82.5,1160,0.4443,71,62002,34873,22438,23409,100,10.2,390100,2013
Rowan County,Kentucky,21,205,11.2,23425,22364,92,81.1,610,0.4505,9,35236,17094,22364,23425,240,21.5,96700,2013
Rowan County,North Carolina,37,159,13.0,138265,107361,1326,78.6,698,0.4412,620,41495,20912,107361,138265,22552,9.6,130200,2013
Runnels County,Texas,48,399,18.0,10439,9618,183,77.7,519,0.4403,51,37667,20235,9618,10439,173,9.0,59100,2013
Rush County,Indiana,18,139,14.5,17257,16808,99,78.4,607,0.4088,3,47401,23396,16808,17257,162,8.2,104700,2013
Rush County,Kansas,20,165,20.6,3233,3131,32,83.7,519,0.3886,23,42610,24175,3131,3233,27,8.0,57300,2013
Rusk County,Texas,48,401,12.5,53508,42417,178,80.6,649,0.4503,207,45752,21640,42417,53508,9466,10.1,93000,2013
Rusk County,Wisconsin,55,107,18.8,14571,14172,183,81.0,622,0.4159,53,38658,21004,14172,14571,88,7.0,106800,2013
Russell County,Alabama,1,113,10.4,55544,29925,919,75.9,712,0.4533,97,36143,19678,29925,55544,23219,9.6,104400,2013
Russell County,Kansas,20,167,20.9,6945,6667,8,82.1,640,0.4693,47,37111,24683,6667,6945,68,8.0,65000,2013
Russell County,Kentucky,21,207,16.1,17636,17260,131,78.9,494,0.4799,43,29721,17107,17260,17636,75,8.7,86600,2013
Russell County,Virginia,51,167,15.6,28646,27813,90,82.2,531,0.466,32,33872,19735,27813,28646,391,8.2,91100,2013
Rutherford County,North Carolina,37,161,15.8,67403,58101,538,80.1,587,0.4443,241,36334,19551,58101,67403,6815,8.2,108600,2013
Rutherford County,Tennessee,47,149,7.6,269407,216684,2586,75.9,863,0.4058,1126,55401,25077,216684,269407,35390,13.1,159100,2013
Rutland County,Vermont,50,21,15.4,61270,59409,604,82.4,789,0.4217,134,49271,26205,59409,61270,298,10.4,176800,2013
Sabine County,Texas,48,403,27.1,10604,9577,36,82.1,521,0.4503,0,32963,18762,9577,10604,914,7.8,69300,2013
Sabine Parish,Louisiana,22,85,16.6,24286,17062,122,77.9,470,0.5039,1806,35159,22229,17062,24286,4117,8.7,75300,2013
Sac County,Iowa,19,161,19.0,10227,10047,26,79.8,537,0.4158,7,48093,26350,10047,10227,90,6.5,79700,2013
Sacramento County,California,6,67,10.1,1435207,860827,20038,76.8,1024,0.4456,12507,55064,26739,860827,1435207,144617,10.4,234200,2013
Sagadahoc County,Maine,23,23,16.0,35194,33875,247,80.9,796,0.3991,68,56733,28829,33875,35194,239,7.1,189700,2013
Saginaw County,Michigan,26,145,13.9,198841,150501,1425,78.7,699,0.4487,557,42331,22349,150501,198841,36931,10.9,97800,2013
Saguache County,Colorado,8,109,14.7,6200,5102,78,80.4,626,0.4735,98,34600,20726,5102,6200,18,9.1,135400,2013
Saint Bernard Parish,Louisiana,22,87,8.3,38850,29014,305,76.1,817,0.4322,283,41353,20316,29014,38850,7500,10.4,127200,2013
Saint Charles County,Missouri,29,183,10.5,365101,331304,2576,76.8,877,0.3792,529,71077,31586,331304,365101,16474,9.0,189100,2013
Saint Charles Parish,Louisiana,22,89,9.5,52627,37106,303,76.0,926,0.4115,60,58758,26756,37106,52627,13826,9.2,186400,2013
Saint Clair County,Alabama,1,115,12.4,84521,74696,357,78.1,757,0.4245,347,50786,23872,74696,84521,7688,8.3,134600,2013
Saint Clair County,Illinois,17,163,11.0,268939,175392,3183,76.7,795,0.4626,520,50578,26234,175392,268939,81086,9.7,123700,2013
Saint Clair County,Michigan,26,147,13.6,161865,152028,1562,79.2,728,0.4243,331,48066,24357,152028,161865,3793,8.5,121600,2013
Saint Clair County,Missouri,29,185,22.2,9649,9242,90,82.9,440,0.4201,28,31539,17337,9242,9649,67,7.8,81600,2013
Saint Croix County,Wisconsin,55,109,9.6,84912,81591,585,75.8,860,0.4083,592,68426,32220,81591,84912,653,7.0,206900,2013
Saint Francis County,Arkansas,5,123,10.3,27914,12454,304,80.8,599,0.4728,62,30873,15511,12454,27914,14416,8.5,65600,2013
Saint Francois County,Missouri,29,187,11.7,65602,61305,592,82.1,589,0.4321,219,37238,18544,61305,65602,2953,10.2,98900,2013
Saint Helena Parish,Louisiana,22,91,13.4,11062,4967,33,77.7,604,0.4971,24,33143,19457,4967,11062,5898,8.5,80600,2013
Saint James Parish,Louisiana,22,93,11.7,21916,10737,95,76.1,671,0.4446,12,55443,24930,10737,21916,11042,9.8,125000,2013
Saint John the Baptist Parish,Louisiana,22,95,10.3,45139,19600,245,76.2,893,0.4012,58,50635,21335,19600,45139,24512,10.0,149900,2013
Saint Johns County,Florida,12,109,15.5,197115,176628,1177,79.4,1073,0.4876,453,64876,36836,176628,197115,10221,8.3,242900,2013
Saint Joseph County,Indiana,18,141,11.7,266694,212416,2643,77.2,711,0.4532,955,44582,23509,212416,266694,34311,11.2,115100,2013
Saint Joseph County,Michigan,26,149,13.5,61111,57093,567,76.9,634,0.4192,172,44051,20570,57093,61111,1650,8.5,108900,2013
Saint Landry Parish,Louisiana,22,97,12.4,83534,47158,569,74.5,569,0.4883,94,35503,19387,47158,83534,34196,9.2,83600,2013
Saint Lawrence County,New York,36,89,12.4,112097,104822,1009,81.4,673,0.4477,798,43647,22198,104822,112097,2618,16.0,84400,2013
Saint Louis City,Missouri,29,510,8.9,318955,143308,6535,80.4,724,0.5033,793,34582,23048,143308,318955,154888,11.6,119200,2013
Saint Louis County,Minnesota,27,137,14.2,200327,186132,2253,82.4,654,0.4433,4620,46517,25946,186132,200327,2960,13.3,137500,2013
Saint Louis County,Missouri,29,189,13.3,999725,702852,9059,78.3,861,0.4829,1351,58910,34795,702852,999725,231544,9.2,174500,2013
Saint Lucie County,Florida,12,111,19.7,281015,204921,2391,79.8,1006,0.457,1253,43413,23285,204921,281015,53290,8.1,122900,2013
Saint Martin Parish,Louisiana,22,99,11.0,52559,34654,201,76.4,612,0.4621,379,42186,22164,34654,52559,16012,9.5,97300,2013
Saint Mary Parish,Louisiana,22,101,11.9,54078,32429,230,77.7,648,0.4543,828,41571,21313,32429,54078,17115,9.9,88800,2013
Saint Mary's County,Maryland,24,37,10.1,107079,84540,563,76.7,1233,0.3943,359,85672,36017,84540,107079,15256,10.2,304700,2013
Saint Tammany Parish,Louisiana,22,103,12.1,236832,198512,1735,76.7,1005,0.4507,999,60799,30363,198512,236832,27489,7.9,194500,2013
Sainte Genevieve County,Missouri,29,186,15.0,17996,17593,52,79.1,602,0.403,6,48433,22921,17593,17996,157,8.4,121600,2013
Salem City,Virginia,51,775,14.4,24950,22040,191,81.9,809,0.4432,0,48733,26661,22040,24950,1948,13.1,170300,2013
Salem County,New Jersey,34,33,13.9,65825,52830,387,78.6,963,0.4197,106,59718,28772,52830,65825,9381,8.8,190200,2013
Saline County,Arkansas,5,125,14.8,109844,99969,797,77.4,787,0.3841,436,55348,25962,99969,109844,5521,7.6,138600,2013
Saline County,Illinois,17,165,15.9,24950,23278,142,79.4,567,0.4707,83,37800,21596,23278,24950,978,8.7,70500,2013
Saline County,Kansas,20,169,13.2,55633,49580,600,77.5,675,0.4396,289,47215,24935,49580,55633,1630,10.3,119500,2013
Saline County,Missouri,29,195,13.7,23324,19897,195,79.5,567,0.4021,36,39519,19006,19897,23324,1296,12.8,85700,2013
Saline County,Nebraska,31,151,12.7,14348,13447,162,79.0,664,0.4128,30,44109,20407,13447,14348,113,16.7,94400,2013
Salt Lake County,Utah,49,35,7.8,1048314,886721,10752,73.5,895,0.4321,8450,60555,26103,886721,1048314,17507,10.5,232100,2013
Saluda County,South Carolina,45,81,14.3,19895,12777,40,79.2,589,0.4547,17,38514,19725,12777,19895,5307,8.9,90400,2013
Sampson County,North Carolina,37,163,12.3,63687,36737,641,76.7,572,0.461,1107,36496,19479,36737,63687,16734,8.9,89200,2013
San Augustine County,Texas,48,405,22.2,8855,6613,101,83.8,474,0.493,38,28390,18695,6613,8855,2062,8.5,68100,2013
San Benito County,California,6,69,9.6,56115,46772,736,75.0,1233,0.4094,531,66237,25914,46772,56115,734,10.1,343000,2013
San Bernardino County,California,6,71,8.3,2056915,1294675,19889,74.3,1102,0.436,18851,54090,21332,1294675,2056915,179372,11.9,222300,2013
San Diego County,California,6,73,10.2,3138265,2241045,47116,79.3,1300,0.4625,21795,62962,30668,2241045,3138265,158843,12.7,402100,2013
San Francisco County,California,6,75,11.9,817501,411561,17871,88.1,1488,0.5157,3430,75604,48486,411561,817501,47992,8.4,744600,2013
San Jacinto County,Texas,48,407,17.7,26669,23017,9,77.8,685,0.4872,47,46107,24733,23017,26669,3093,9.0,88200,2013
San Joaquin County,California,6,77,9.4,693177,407287,7339,73.9,1026,0.4415,6376,53380,22589,407287,693177,49901,11.0,208000,2013
San Juan County,New Mexico,35,45,10.1,128476,68824,802,74.1,748,0.4522,47950,48196,21260,68824,128476,897,10.0,148700,2013
San Juan County,Utah,49,37,10.3,14795,7203,25,70.3,541,0.4584,7093,40492,15476,7203,14795,16,11.0,127400,2013
San Juan County,Washington,53,55,25.1,15786,14757,211,86.5,957,0.4896,143,53376,37719,14757,15786,103,4.9,472900,2013
San Luis Obispo County,California,6,79,14.0,272094,228238,3264,83.6,1211,0.4485,2468,58697,29954,228238,272094,5942,16.4,426600,2013
San Mateo County,California,6,81,12.0,729543,423875,9182,79.5,1602,0.4772,2572,88202,45732,423875,729543,19886,8.2,722200,2013
San Miguel County,Colorado,8,113,8.7,7496,7238,97,83.1,1127,0.5098,20,63594,40827,7238,7496,12,7.2,448000,2013
San Miguel County,New Mexico,35,47,15.1,29093,20399,164,81.7,625,0.4957,339,28275,17926,20399,29093,484,11.9,116700,2013
San Patricio County,Texas,48,409,11.8,65210,60101,679,74.8,788,0.4467,263,50657,23373,60101,65210,1308,9.6,89800,2013
San Saba County,Texas,48,411,16.4,6050,5582,30,83.1,436,0.4135,2,37743,18009,5582,6050,154,9.8,71300,2013
Sanborn County,South Dakota,46,111,16.9,2348,2327,6,82.7,511,0.3983,7,48384,25823,2327,2348,0,8.9,68200,2013
Sanders County,Montana,30,89,23.8,11400,10481,48,82.8,620,0.4085,641,32881,19188,10481,11400,13,6.0,166500,2013
Sandoval County,New Mexico,35,43,12.0,133503,96800,900,75.9,988,0.4264,16861,58017,26924,96800,133503,3716,8.4,180900,2013
Sandusky County,Ohio,39,143,13.6,60619,55615,337,77.9,613,0.3989,88,46140,22799,55615,60619,1793,8.2,110400,2013
Sangamon County,Illinois,17,167,12.2,198269,165471,1918,78.1,735,0.44,311,55449,29974,165471,198269,24143,8.8,126200,2013
Sanilac County,Michigan,26,151,16.6,42637,41320,294,79.1,619,0.422,169,40478,20713,41320,42637,213,7.8,96500,2013
Sanpete County,Utah,49,39,11.0,27930,25472,121,74.7,605,0.4096,350,48369,17811,25472,27930,268,15.3,164100,2013
Santa Barbara County,California,6,83,11.5,427288,315639,6033,79.4,1340,0.4814,4574,62779,30352,315639,427288,8482,15.8,453000,2013
Santa Clara County,California,6,85,10.0,1812208,900332,21066,78.2,1566,0.4592,9634,91702,41513,900332,1812208,47869,9.3,645600,2013
Santa Cruz County,Arizona,4,23,13.0,47122,35147,283,71.1,630,0.4793,97,37745,17664,35147,47122,259,9.4,140000,2013
Santa Cruz County,California,6,87,10.3,264808,215390,4124,81.2,1385,0.4631,1481,66519,32295,215390,264808,2599,15.1,557500,2013
Santa Fe County,New Mexico,35,49,15.1,145400,122756,1486,81.4,903,0.491,4244,52917,32298,122756,145400,1154,8.2,278400,2013
Santa Rosa County,Florida,12,113,12.0,155579,135058,1830,79.4,1003,0.4146,964,57703,26861,135058,155579,8385,9.4,162300,2013
Sarasota County,Florida,12,115,30.4,383094,349248,4036,85.5,1003,0.4781,1016,49052,32313,349248,383094,17396,6.4,175000,2013
Saratoga County,New York,36,91,13.0,221169,208607,1923,79.8,952,0.4162,366,69826,35176,208607,221169,3469,8.5,230700,2013
Sargent County,North Dakota,38,81,17.3,3859,3743,36,81.1,526,0.4367,21,53381,29950,3743,3859,21,7.7,72500,2013
Sarpy County,Nebraska,31,153,8.0,162728,144750,1680,73.4,851,0.3723,659,69965,30189,144750,162728,6615,9.1,162400,2013
