County,State,State_FIPS,County_FIPS,asian_population,per_capita_income,high_school_only_percentage,median_home_value,black_population,age_18_and_under_percentage,total_population_race,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,gini_index,median_household_income,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_gross_rent,age_15_to_44_percentage,bachelors_and_above_percentage,disability_rate,Year
Carroll County,Illinois,17,15,13933.0,28053.0,41.5,101600.0,166.0,19.5,14562.0,17.0,1.8,93.9,6.6,0.4172,51228.0,91.0,13933.0,14562.0,32.4,11.1,639.0,31.3,18.1,14.0,2018
Carroll County,Indiana,18,15,19154.0,28430.0,40.7,131600.0,89.0,22.7,19994.0,56.0,3.0,89.7,4.2,0.4056,56429.0,120.0,19154.0,19994.0,26.2,10.2,678.0,34.6,17.2,15.6,2018
Carroll County,Iowa,19,27,20151.0,30658.0,36.3,132700.0,35.0,24.4,20344.0,4.0,3.6,97.5,2.1,0.4338,57674.0,196.0,20151.0,20344.0,26.6,8.8,598.0,33.0,22.2,10.6,2018
Carroll County,Kentucky,21,41,9860.0,23546.0,42.0,111200.0,318.0,25.9,10711.0,19.0,8.3,92.2,9.0,0.4793,43258.0,138.0,9860.0,10711.0,20.8,25.7,618.0,37.3,8.8,16.9,2018
Carroll County,Maryland,24,13,153788.0,40667.0,29.9,333500.0,5631.0,22.1,167522.0,362.0,1.9,97.0,3.5,0.3992,93363.0,690.0,153788.0,167522.0,22.8,5.3,1147.0,35.5,35.6,11.2,2018
Carroll County,Mississippi,28,15,6523.0,22567.0,33.4,89300.0,3503.0,19.4,10129.0,6.0,5.5,91.6,9.8,0.4489,43060.0,50.0,6523.0,10129.0,28.4,14.8,475.0,32.0,14.5,19.5,2018
Carroll County,Missouri,29,33,8457.0,24597.0,45.2,84100.0,200.0,22.7,8843.0,21.0,3.6,89.1,8.6,0.4603,42149.0,91.0,8457.0,8843.0,28.2,15.7,538.0,33.2,17.0,16.5,2018
Carroll County,New Hampshire,33,3,46509.0,36033.0,29.9,236500.0,226.0,16.3,47840.0,42.0,1.5,90.2,3.6,0.4503,61116.0,422.0,46509.0,47840.0,35.4,9.6,937.0,28.2,33.6,15.6,2018
Carroll County,Ohio,39,19,26891.0,28421.0,47.9,123900.0,187.0,20.9,27578.0,9.0,3.5,90.8,4.6,0.442,52394.0,154.0,26891.0,27578.0,27.4,13.1,694.0,32.8,13.6,14.7,2018
Carroll County,Tennessee,47,17,24273.0,22007.0,41.6,87100.0,2872.0,21.3,28018.0,98.0,7.4,91.9,6.0,0.4667,40810.0,180.0,24273.0,28018.0,26.7,19.8,608.0,35.4,17.2,22.3,2018
