County,State,State_FIPS,County_FIPS,gini_index
Pinellas County,Florida,12,103,0.4861
Polk County,Florida,12,105,0.4359
Putnam County,Florida,12,107,0.4625
Saint Johns County,Florida,12,109,0.4772
Saint Lucie County,Florida,12,111,0.4625
Santa Rosa County,Florida,12,113,0.427
Sarasota County,Florida,12,115,0.4832
Seminole County,Florida,12,117,0.4571
Sumter County,Florida,12,119,0.4344
Suwannee County,Florida,12,121,0.4475
Taylor County,Florida,12,123,0.4004
Union County,Florida,12,125,0.4248
Volusia County,Florida,12,127,0.4639
Wakulla County,Florida,12,129,0.3952
Walton County,Florida,12,131,0.4936
Washington County,Florida,12,133,0.4461
Appling County,Georgia,13,001,0.4549
Atkinson County,Georgia,13,003,0.4977
Bacon County,Georgia,13,005,0.4269
Baker County,Georgia,13,007,0.4485
Baldwin County,Georgia,13,009,0.5168
Banks County,Georgia,13,011,0.3978
Barrow County,Georgia,13,013,0.401
Bartow County,Georgia,13,015,0.4241
Ben Hill County,Georgia,13,017,0.4954
Berrien County,Georgia,13,019,0.44
Bibb County,Georgia,13,021,0.52
Bleckley County,Georgia,13,023,0.5077
Brantley County,Georgia,13,025,0.4204
Brooks County,Georgia,13,027,0.4623
Bryan County,Georgia,13,029,0.4336
Bulloch County,Georgia,13,031,0.4912
Burke County,Georgia,13,033,0.4728
Butts County,Georgia,13,035,0.4424
Calhoun County,Georgia,13,037,0.5821
Camden County,Georgia,13,039,0.4057
Candler County,Georgia,13,043,0.5009
Carroll County,Georgia,13,045,0.4519
Catoosa County,Georgia,13,047,0.4022
Charlton County,Georgia,13,049,0.4166
Chatham County,Georgia,13,051,0.476
Chattahoochee County,Georgia,13,053,0.3843
Chattooga County,Georgia,13,055,0.4516
Cherokee County,Georgia,13,057,0.413
Clarke County,Georgia,13,059,0.5341
Clay County,Georgia,13,061,0.467
Clayton County,Georgia,13,063,0.4226
Clinch County,Georgia,13,065,0.5458
Cobb County,Georgia,13,067,0.4534
Coffee County,Georgia,13,069,0.5031
Colquitt County,Georgia,13,071,0.4664
Columbia County,Georgia,13,073,0.4148
Cook County,Georgia,13,075,0.456
Coweta County,Georgia,13,077,0.4249
Crawford County,Georgia,13,079,0.4702
Crisp County,Georgia,13,081,0.5386
Dade County,Georgia,13,083,0.4414
Dawson County,Georgia,13,085,0.4588
Decatur County,Georgia,13,087,0.522
DeKalb County,Georgia,13,089,0.4916
Dodge County,Georgia,13,091,0.4483
Dooly County,Georgia,13,093,0.4385
Dougherty County,Georgia,13,095,0.5229
Douglas County,Georgia,13,097,0.4132
Early County,Georgia,13,099,0.4858
Echols County,Georgia,13,101,0.4527
Effingham County,Georgia,13,103,0.381
Elbert County,Georgia,13,105,0.499
Emanuel County,Georgia,13,107,0.4686
Evans County,Georgia,13,109,0.4639
Fannin County,Georgia,13,111,0.4516
Fayette County,Georgia,13,113,0.4313
Floyd County,Georgia,13,115,0.4618
Forsyth County,Georgia,13,117,0.4101
Franklin County,Georgia,13,119,0.4655
Fulton County,Georgia,13,121,0.5417
Gilmer County,Georgia,13,123,0.4454
Glascock County,Georgia,13,125,0.3849
Glynn County,Georgia,13,127,0.4961
Gordon County,Georgia,13,129,0.4404
Grady County,Georgia,13,131,0.4613
Greene County,Georgia,13,133,0.568
Gwinnett County,Georgia,13,135,0.4267
Habersham County,Georgia,13,137,0.4324
Hall County,Georgia,13,139,0.4464
Hancock County,Georgia,13,141,0.4995
Haralson County,Georgia,13,143,0.4508
Harris County,Georgia,13,145,0.432
Hart County,Georgia,13,147,0.4663
Heard County,Georgia,13,149,0.4046
Henry County,Georgia,13,151,0.4011
Houston County,Georgia,13,153,0.4272
Irwin County,Georgia,13,155,0.5188
Jackson County,Georgia,13,157,0.432
Jasper County,Georgia,13,159,0.4371
Jeff Davis County,Georgia,13,161,0.4447
Jefferson County,Georgia,13,163,0.4868
Jenkins County,Georgia,13,165,0.5106
Johnson County,Georgia,13,167,0.4476
Jones County,Georgia,13,169,0.4436
Lamar County,Georgia,13,171,0.4564
Lanier County,Georgia,13,173,0.4802
Laurens County,Georgia,13,175,0.5215
Lee County,Georgia,13,177,0.427
Liberty County,Georgia,13,179,0.4125
Lincoln County,Georgia,13,181,0.4849
Long County,Georgia,13,183,0.378
Lowndes County,Georgia,13,185,0.4878
Lumpkin County,Georgia,13,187,0.4768
McDuffie County,Georgia,13,189,0.4691
McIntosh County,Georgia,13,191,0.4349
Macon County,Georgia,13,193,0.4839
Madison County,Georgia,13,195,0.4286
Marion County,Georgia,13,197,0.4421
Meriwether County,Georgia,13,199,0.4893
Miller County,Georgia,13,201,0.5028
Mitchell County,Georgia,13,205,0.4596
Monroe County,Georgia,13,207,0.5217
Montgomery County,Georgia,13,209,0.4826
Morgan County,Georgia,13,211,0.4468
Murray County,Georgia,13,213,0.4048
Muscogee County,Georgia,13,215,0.4943
Newton County,Georgia,13,217,0.417
Oconee County,Georgia,13,219,0.4566
Oglethorpe County,Georgia,13,221,0.3928
Paulding County,Georgia,13,223,0.398
Peach County,Georgia,13,225,0.448
Pickens County,Georgia,13,227,0.4375
Pierce County,Georgia,13,229,0.4994
Pike County,Georgia,13,231,0.4298
Polk County,Georgia,13,233,0.4856
Pulaski County,Georgia,13,235,0.4536
Putnam County,Georgia,13,237,0.4515
Quitman County,Georgia,13,239,0.4624
Rabun County,Georgia,13,241,0.509
Randolph County,Georgia,13,243,0.6265
Richmond County,Georgia,13,245,0.4842
Rockdale County,Georgia,13,247,0.4152
Schley County,Georgia,13,249,0.4888
Screven County,Georgia,13,251,0.4868
Seminole County,Georgia,13,253,0.5005
Spalding County,Georgia,13,255,0.4553
Stephens County,Georgia,13,257,0.4801
Stewart County,Georgia,13,259,0.4817
Sumter County,Georgia,13,261,0.4894
Talbot County,Georgia,13,263,0.4923
Taliaferro County,Georgia,13,265,0.4301
Tattnall County,Georgia,13,267,0.4651
Taylor County,Georgia,13,269,0.4913
Telfair County,Georgia,13,271,0.4354
Terrell County,Georgia,13,273,0.4751
Thomas County,Georgia,13,275,0.4987
Tift County,Georgia,13,277,0.5052
Toombs County,Georgia,13,279,0.5231
Towns County,Georgia,13,281,0.4387
Treutlen County,Georgia,13,283,0.4585
Troup County,Georgia,13,285,0.4854
Turner County,Georgia,13,287,0.4593
Twiggs County,Georgia,13,289,0.5231
Union County,Georgia,13,291,0.4278
Upson County,Georgia,13,293,0.4733
Walker County,Georgia,13,295,0.456
Walton County,Georgia,13,297,0.4209
Ware County,Georgia,13,299,0.468
Warren County,Georgia,13,301,0.4658
Washington County,Georgia,13,303,0.4713
Wayne County,Georgia,13,305,0.4576
Webster County,Georgia,13,307,0.4755
Wheeler County,Georgia,13,309,0.4413
White County,Georgia,13,311,0.4417
Whitfield County,Georgia,13,313,0.4775
Wilcox County,Georgia,13,315,0.4432
Wilkes County,Georgia,13,317,0.4623
Wilkinson County,Georgia,13,319,0.4298
Worth County,Georgia,13,321,0.4427
Hawaii County,Hawaii,15,001,0.4715
Honolulu County,Hawaii,15,003,0.4256
Kauai County,Hawaii,15,007,0.4234
Kalawao County,Hawaii,15,005,0.395
Maui County,Hawaii,15,009,0.4421
Ada County,Idaho,16,001,0.4589
Adams County,Idaho,16,003,0.4134
Bannock County,Idaho,16,005,0.4526
Bear Lake County,Idaho,16,007,0.4038
Benewah County,Idaho,16,009,0.421
Bingham County,Idaho,16,011,0.3939
Blaine County,Idaho,16,013,0.4712
Boise County,Idaho,16,015,0.4504
Bonner County,Idaho,16,017,0.4547
Bonneville County,Idaho,16,019,0.4492
Boundary County,Idaho,16,021,0.4912
Butte County,Idaho,16,023,0.4801
Camas County,Idaho,16,025,0.4927
Canyon County,Idaho,16,027,0.4016
Caribou County,Idaho,16,029,0.3911
Cassia County,Idaho,16,031,0.397
Clearwater County,Idaho,16,035,0.411
Custer County,Idaho,16,037,0.4334
Elmore County,Idaho,16,039,0.4211
Franklin County,Idaho,16,041,0.378
Fremont County,Idaho,16,043,0.395
Gem County,Idaho,16,045,0.4153
Gooding County,Idaho,16,047,0.4244
Idaho County,Idaho,16,049,0.3819
Jefferson County,Idaho,16,051,0.3989
Jerome County,Idaho,16,053,0.4009
Kootenai County,Idaho,16,055,0.4379
Latah County,Idaho,16,057,0.464
Lemhi County,Idaho,16,059,0.4226
Lewis County,Idaho,16,061,0.4537
Lincoln County,Idaho,16,063,0.387
Madison County,Idaho,16,065,0.497
Minidoka County,Idaho,16,067,0.4387
Nez Perce County,Idaho,16,069,0.4112
Oneida County,Idaho,16,071,0.3811
Owyhee County,Idaho,16,073,0.4543
Payette County,Idaho,16,075,0.4429
Power County,Idaho,16,077,0.4053
Shoshone County,Idaho,16,079,0.4164
Teton County,Idaho,16,081,0.4304
Twin Falls County,Idaho,16,083,0.4251
Valley County,Idaho,16,085,0.4631
Washington County,Idaho,16,087,0.4195
Adams County,Illinois,17,001,0.4318
Alexander County,Illinois,17,003,0.4671
Bond County,Illinois,17,005,0.4191
Boone County,Illinois,17,007,0.4342
Brown County,Illinois,17,009,0.4286
Bureau County,Illinois,17,011,0.4246
Calhoun County,Illinois,17,013,0.4025
Carroll County,Illinois,17,015,0.4195
Cass County,Illinois,17,017,0.4237
Champaign County,Illinois,17,019,0.5
Christian County,Illinois,17,021,0.4182
Clark County,Illinois,17,023,0.4302
Clay County,Illinois,17,025,0.4092
Clinton County,Illinois,17,027,0.4105
Coles County,Illinois,17,029,0.5001
Cook County,Illinois,17,031,0.5048
Crawford County,Illinois,17,033,0.4552
Cumberland County,Illinois,17,035,0.3989
DeKalb County,Illinois,17,037,0.4311
De Witt County,Illinois,17,039,0.417
Douglas County,Illinois,17,041,0.4254
DuPage County,Illinois,17,043,0.4563
Edgar County,Illinois,17,045,0.4399
Edwards County,Illinois,17,047,0.4259
Effingham County,Illinois,17,049,0.4401
Fayette County,Illinois,17,051,0.4266
Ford County,Illinois,17,053,0.416
Franklin County,Illinois,17,055,0.4443
Fulton County,Illinois,17,057,0.416
Gallatin County,Illinois,17,059,0.4345
Greene County,Illinois,17,061,0.4228
Grundy County,Illinois,17,063,0.4064
Hamilton County,Illinois,17,065,0.4368
Hancock County,Illinois,17,067,0.4005
Hardin County,Illinois,17,069,0.472
Henderson County,Illinois,17,071,0.4194
Henry County,Illinois,17,073,0.4205
Iroquois County,Illinois,17,075,0.4301
Jackson County,Illinois,17,077,0.5375
Jasper County,Illinois,17,079,0.3814
Jefferson County,Illinois,17,081,0.4496
Jersey County,Illinois,17,083,0.4125
Jo Daviess County,Illinois,17,085,0.4259
Johnson County,Illinois,17,087,0.4275
Kane County,Illinois,17,089,0.4417
Kankakee County,Illinois,17,091,0.4194
Kendall County,Illinois,17,093,0.3532
Knox County,Illinois,17,095,0.4467
Lake County,Illinois,17,097,0.4844
LaSalle County,Illinois,17,099,0.4253
Lawrence County,Illinois,17,101,0.4044
Lee County,Illinois,17,103,0.4332
Livingston County,Illinois,17,105,0.4328
Logan County,Illinois,17,107,0.4114
McDonough County,Illinois,17,109,0.4807
McHenry County,Illinois,17,111,0.4004
McLean County,Illinois,17,113,0.4497
Macon County,Illinois,17,115,0.466
Macoupin County,Illinois,17,117,0.4158
Madison County,Illinois,17,119,0.4396
Marion County,Illinois,17,121,0.428
Marshall County,Illinois,17,123,0.4022
Mason County,Illinois,17,125,0.4312
Massac County,Illinois,17,127,0.451
Menard County,Illinois,17,129,0.4349
Mercer County,Illinois,17,131,0.3994
Monroe County,Illinois,17,133,0.4133
Montgomery County,Illinois,17,135,0.4421
Morgan County,Illinois,17,137,0.4343
Moultrie County,Illinois,17,139,0.4005
Ogle County,Illinois,17,141,0.4152
Peoria County,Illinois,17,143,0.4662
Perry County,Illinois,17,145,0.4669
Piatt County,Illinois,17,147,0.3966
Pike County,Illinois,17,149,0.4184
Pope County,Illinois,17,151,0.4138
Pulaski County,Illinois,17,153,0.4569
Putnam County,Illinois,17,155,0.4136
Randolph County,Illinois,17,157,0.4205
Richland County,Illinois,17,159,0.4289
Rock Island County,Illinois,17,161,0.4351
Saint Clair County,Illinois,17,163,0.4782
Saline County,Illinois,17,165,0.4621
Sangamon County,Illinois,17,167,0.4565
Schuyler County,Illinois,17,169,0.3976
Scott County,Illinois,17,171,0.4508
Shelby County,Illinois,17,173,0.3889
Stark County,Illinois,17,175,0.4421
Stephenson County,Illinois,17,177,0.4265
Tazewell County,Illinois,17,179,0.4164
Union County,Illinois,17,181,0.445
Vermilion County,Illinois,17,183,0.4349
Wabash County,Illinois,17,185,0.4268
Warren County,Illinois,17,187,0.4274
Washington County,Illinois,17,189,0.4241
