County,State,State_FIPS,County_FIPS,housing_cost_burden
Jo Daviess County,Illinois,17,085,221
Johnson County,Illinois,17,087,48
Kane County,Illinois,17,089,3782
Kankakee County,Illinois,17,091,813
Kendall County,Illinois,17,093,481
Knox County,Illinois,17,095,628
Lake County,Illinois,17,097,5378
LaSalle County,Illinois,17,099,691
Lawrence County,Illinois,17,101,155
Lee County,Illinois,17,103,337
Livingston County,Illinois,17,105,248
Logan County,Illinois,17,107,200
McDonough County,Illinois,17,109,261
McHenry County,Illinois,17,111,1879
McLean County,Illinois,17,113,1284
Macon County,Illinois,17,115,1140
Macoupin County,Illinois,17,117,315
Madison County,Illinois,17,119,2006
Marion County,Illinois,17,121,288
Marshall County,Illinois,17,123,68
Mason County,Illinois,17,125,91
Massac County,Illinois,17,127,135
Menard County,Illinois,17,129,64
Mercer County,Illinois,17,131,71
Monroe County,Illinois,17,133,295
Montgomery County,Illinois,17,135,175
Morgan County,Illinois,17,137,448
Moultrie County,Illinois,17,139,99
Ogle County,Illinois,17,141,363
Peoria County,Illinois,17,143,2198
Perry County,Illinois,17,145,109
Piatt County,Illinois,17,147,83
Pike County,Illinois,17,149,61
Pope County,Illinois,17,151,18
Pulaski County,Illinois,17,153,37
Putnam County,Illinois,17,155,10
Randolph County,Illinois,17,157,171
Richland County,Illinois,17,159,97
Rock Island County,Illinois,17,161,1625
Saint Clair County,Illinois,17,163,3183
Saline County,Illinois,17,165,142
Sangamon County,Illinois,17,167,1918
Schuyler County,Illinois,17,169,79
Scott County,Illinois,17,171,15
Shelby County,Illinois,17,173,139
Stark County,Illinois,17,175,13
Stephenson County,Illinois,17,177,682
Tazewell County,Illinois,17,179,1088
Union County,Illinois,17,181,197
Vermilion County,Illinois,17,183,737
Wabash County,Illinois,17,185,80
Warren County,Illinois,17,187,177
Washington County,Illinois,17,189,63
Wayne County,Illinois,17,191,79
White County,Illinois,17,193,54
Whiteside County,Illinois,17,195,482
Will County,Illinois,17,197,3166
Williamson County,Illinois,17,199,671
Winnebago County,Illinois,17,201,2381
Woodford County,Illinois,17,203,205
Adams County,Indiana,18,001,135
Allen County,Indiana,18,003,2965
Bartholomew County,Indiana,18,005,496
Benton County,Indiana,18,007,80
Blackford County,Indiana,18,009,105
Boone County,Indiana,18,011,380
Brown County,Indiana,18,013,87
Carroll County,Indiana,18,015,113
Cass County,Indiana,18,017,261
Clark County,Indiana,18,019,899
Clay County,Indiana,18,021,191
Clinton County,Indiana,18,023,353
Crawford County,Indiana,18,025,22
Daviess County,Indiana,18,027,166
Dearborn County,Indiana,18,029,401
Decatur County,Indiana,18,031,239
DeKalb County,Indiana,18,033,216
Delaware County,Indiana,18,035,852
Dubois County,Indiana,18,037,379
Elkhart County,Indiana,18,039,1631
Fayette County,Indiana,18,041,128
Floyd County,Indiana,18,043,773
Fountain County,Indiana,18,045,124
Franklin County,Indiana,18,047,221
Fulton County,Indiana,18,049,145
Gibson County,Indiana,18,051,170
Grant County,Indiana,18,053,716
Greene County,Indiana,18,055,227
Hamilton County,Indiana,18,057,1904
Hancock County,Indiana,18,059,403
Harrison County,Indiana,18,061,205
Hendricks County,Indiana,18,063,922
Henry County,Indiana,18,065,376
Howard County,Indiana,18,067,642
Huntington County,Indiana,18,069,320
Jackson County,Indiana,18,071,348
Jasper County,Indiana,18,073,250
Jay County,Indiana,18,075,118
Jefferson County,Indiana,18,077,262
Jennings County,Indiana,18,079,253
Johnson County,Indiana,18,081,1246
Knox County,Indiana,18,083,394
Kosciusko County,Indiana,18,085,531
LaGrange County,Indiana,18,087,221
Lake County,Indiana,18,089,4445
LaPorte County,Indiana,18,091,1028
Lawrence County,Indiana,18,093,436
Madison County,Indiana,18,095,1288
Marion County,Indiana,18,097,13375
Marshall County,Indiana,18,099,232
