County,State,State_FIPS,County_FIPS,median_home_value
Bryan County,Georgia,13,029,182400
Bulloch County,Georgia,13,031,134900
Burke County,Georgia,13,033,80000
Butts County,Georgia,13,035,125400
Calhoun County,Georgia,13,037,53000
Camden County,Georgia,13,039,154500
Candler County,Georgia,13,043,86700
Carroll County,Georgia,13,045,118500
Catoosa County,Georgia,13,047,130200
Charlton County,Georgia,13,049,76100
Chatham County,Georgia,13,051,174500
Chattahoochee County,Georgia,13,053,97100
Chattooga County,Georgia,13,055,72400
Cherokee County,Georgia,13,057,190400
Clarke County,Georgia,13,059,156600
Clay County,Georgia,13,061,72300
Clayton County,Georgia,13,063,97500
Clinch County,Georgia,13,065,62900
Cobb County,Georgia,13,067,196700
Coffee County,Georgia,13,069,80700
Colquitt County,Georgia,13,071,83500
Columbia County,Georgia,13,073,170400
Cook County,Georgia,13,075,83100
Coweta County,Georgia,13,077,176400
Crawford County,Georgia,13,079,90800
Crisp County,Georgia,13,081,95600
Dade County,Georgia,13,083,112800
Dawson County,Georgia,13,085,186000
Decatur County,Georgia,13,087,102900
DeKalb County,Georgia,13,089,168900
Dodge County,Georgia,13,091,70000
Dooly County,Georgia,13,093,67600
Dougherty County,Georgia,13,095,101700
Douglas County,Georgia,13,097,135700
Early County,Georgia,13,099,82400
Echols County,Georgia,13,101,71600
Effingham County,Georgia,13,103,155400
Elbert County,Georgia,13,105,84500
Emanuel County,Georgia,13,107,69900
Evans County,Georgia,13,109,89700
Fannin County,Georgia,13,111,161300
Fayette County,Georgia,13,113,231500
Floyd County,Georgia,13,115,114800
Forsyth County,Georgia,13,117,258200
Franklin County,Georgia,13,119,114800
Fulton County,Georgia,13,121,238200
Gilmer County,Georgia,13,123,142200
Glascock County,Georgia,13,125,70000
Glynn County,Georgia,13,127,162900
Gordon County,Georgia,13,129,116100
Grady County,Georgia,13,131,110800
Greene County,Georgia,13,133,145200
Gwinnett County,Georgia,13,135,171300
Habersham County,Georgia,13,137,137900
Hall County,Georgia,13,139,165300
Hancock County,Georgia,13,141,67800
Haralson County,Georgia,13,143,106800
Harris County,Georgia,13,145,203800
Hart County,Georgia,13,147,118400
Heard County,Georgia,13,149,93200
Henry County,Georgia,13,151,147500
Houston County,Georgia,13,153,132900
Irwin County,Georgia,13,155,83400
Jackson County,Georgia,13,157,161300
Jasper County,Georgia,13,159,120200
Jeff Davis County,Georgia,13,161,79900
Jefferson County,Georgia,13,163,67200
Jenkins County,Georgia,13,165,63400
Johnson County,Georgia,13,167,65000
Jones County,Georgia,13,169,138900
Lamar County,Georgia,13,171,122600
Lanier County,Georgia,13,173,111800
Laurens County,Georgia,13,175,85200
Lee County,Georgia,13,177,159000
Liberty County,Georgia,13,179,126900
Lincoln County,Georgia,13,181,103700
Long County,Georgia,13,183,111900
Lowndes County,Georgia,13,185,133700
Lumpkin County,Georgia,13,187,165900
McDuffie County,Georgia,13,189,106100
McIntosh County,Georgia,13,191,103700
Macon County,Georgia,13,193,65500
Madison County,Georgia,13,195,127800
Marion County,Georgia,13,197,87000
Meriwether County,Georgia,13,199,91200
Miller County,Georgia,13,201,83200
Mitchell County,Georgia,13,205,77900
Monroe County,Georgia,13,207,148300
Montgomery County,Georgia,13,209,74300
Morgan County,Georgia,13,211,175700
Murray County,Georgia,13,213,94100
Muscogee County,Georgia,13,215,133300
Newton County,Georgia,13,217,125600
Oconee County,Georgia,13,219,238200
Oglethorpe County,Georgia,13,221,120800
Paulding County,Georgia,13,223,135500
Peach County,Georgia,13,225,120000
Pickens County,Georgia,13,227,166300
Pierce County,Georgia,13,229,79600
Pike County,Georgia,13,231,152800
Polk County,Georgia,13,233,107900
Pulaski County,Georgia,13,235,87300
Putnam County,Georgia,13,237,140600
Quitman County,Georgia,13,239,62300
Rabun County,Georgia,13,241,168300
Randolph County,Georgia,13,243,70300
Richmond County,Georgia,13,245,100900
Rockdale County,Georgia,13,247,149900
Schley County,Georgia,13,249,93000
Screven County,Georgia,13,251,77000
Seminole County,Georgia,13,253,71200
Spalding County,Georgia,13,255,113900
Stephens County,Georgia,13,257,106600
Stewart County,Georgia,13,259,50600
Sumter County,Georgia,13,261,90300
Talbot County,Georgia,13,263,76500
Taliaferro County,Georgia,13,265,68300
Tattnall County,Georgia,13,267,86100
Taylor County,Georgia,13,269,60800
Telfair County,Georgia,13,271,58300
Terrell County,Georgia,13,273,78800
Thomas County,Georgia,13,275,127000
Tift County,Georgia,13,277,117300
Toombs County,Georgia,13,279,88100
Towns County,Georgia,13,281,164000
Treutlen County,Georgia,13,283,64300
Troup County,Georgia,13,285,121300
Turner County,Georgia,13,287,83800
Twiggs County,Georgia,13,289,54700
Union County,Georgia,13,291,198300
Upson County,Georgia,13,293,86600
Walker County,Georgia,13,295,104700
Walton County,Georgia,13,297,157100
Ware County,Georgia,13,299,79600
Warren County,Georgia,13,301,66700
Washington County,Georgia,13,303,82300
Wayne County,Georgia,13,305,80400
Webster County,Georgia,13,307,48800
Wheeler County,Georgia,13,309,54200
White County,Georgia,13,311,169600
Whitfield County,Georgia,13,313,122800
Wilcox County,Georgia,13,315,71200
Wilkes County,Georgia,13,317,95200
Wilkinson County,Georgia,13,319,71600
Worth County,Georgia,13,321,75400
Hawaii County,Hawaii,15,001,309800
Honolulu County,Hawaii,15,003,556300
Kauai County,Hawaii,15,007,484500
Kalawao County,Hawaii,15,005,-666666666
Maui County,Hawaii,15,009,523700
Ada County,Idaho,16,001,183600
Adams County,Idaho,16,003,150500
Bannock County,Idaho,16,005,142600
Bear Lake County,Idaho,16,007,129700
Benewah County,Idaho,16,009,136000
Bingham County,Idaho,16,011,135400
Blaine County,Idaho,16,013,375000
Boise County,Idaho,16,015,195600
Bonner County,Idaho,16,017,222200
Bonneville County,Idaho,16,019,154700
Boundary County,Idaho,16,021,174300
Butte County,Idaho,16,023,110300
Camas County,Idaho,16,025,163000
Canyon County,Idaho,16,027,122800
Caribou County,Idaho,16,029,116300
Cassia County,Idaho,16,031,125900
Clearwater County,Idaho,16,035,138300
Custer County,Idaho,16,037,150600
Elmore County,Idaho,16,039,136800
Franklin County,Idaho,16,041,156800
Fremont County,Idaho,16,043,147600
Gem County,Idaho,16,045,150400
Gooding County,Idaho,16,047,123800
Idaho County,Idaho,16,049,150900
Jefferson County,Idaho,16,051,157500
Jerome County,Idaho,16,053,135200
Kootenai County,Idaho,16,055,188800
Latah County,Idaho,16,057,189100
Lemhi County,Idaho,16,059,186900
Lewis County,Idaho,16,061,116600
Lincoln County,Idaho,16,063,120300
Madison County,Idaho,16,065,169600
Minidoka County,Idaho,16,067,108500
Nez Perce County,Idaho,16,069,165900
Oneida County,Idaho,16,071,126100
Owyhee County,Idaho,16,073,121200
Payette County,Idaho,16,075,132700
Power County,Idaho,16,077,125600
Shoshone County,Idaho,16,079,123200
Teton County,Idaho,16,081,222700
Twin Falls County,Idaho,16,083,148900
Valley County,Idaho,16,085,221200
Washington County,Idaho,16,087,122700
Adams County,Illinois,17,001,104200
Alexander County,Illinois,17,003,54400
Bond County,Illinois,17,005,103300
Boone County,Illinois,17,007,158800
Brown County,Illinois,17,009,83600
Bureau County,Illinois,17,011,101200
Calhoun County,Illinois,17,013,112300
Carroll County,Illinois,17,015,100100
Cass County,Illinois,17,017,76100
Champaign County,Illinois,17,019,149500
Christian County,Illinois,17,021,82400
Clark County,Illinois,17,023,87800
Clay County,Illinois,17,025,75300
Clinton County,Illinois,17,027,127300
Coles County,Illinois,17,029,90200
Cook County,Illinois,17,031,231200
Crawford County,Illinois,17,033,76600
Cumberland County,Illinois,17,035,83800
DeKalb County,Illinois,17,037,173000
De Witt County,Illinois,17,039,107100
Douglas County,Illinois,17,041,99300
DuPage County,Illinois,17,043,286500
Edgar County,Illinois,17,045,72900
Edwards County,Illinois,17,047,65800
Effingham County,Illinois,17,049,115200
Fayette County,Illinois,17,051,82900
Ford County,Illinois,17,053,89600
Franklin County,Illinois,17,055,64300
Fulton County,Illinois,17,057,80600
Gallatin County,Illinois,17,059,61100
Greene County,Illinois,17,061,75200
Grundy County,Illinois,17,063,182200
Hamilton County,Illinois,17,065,72800
Hancock County,Illinois,17,067,81600
Hardin County,Illinois,17,069,72600
Henderson County,Illinois,17,071,83700
Henry County,Illinois,17,073,109800
Iroquois County,Illinois,17,075,96500
Jackson County,Illinois,17,077,100600
Jasper County,Illinois,17,079,88100
Jefferson County,Illinois,17,081,86300
Jersey County,Illinois,17,083,117900
Jo Daviess County,Illinois,17,085,138000
Johnson County,Illinois,17,087,89800
Kane County,Illinois,17,089,223100
Kankakee County,Illinois,17,091,145900
Kendall County,Illinois,17,093,210800
Knox County,Illinois,17,095,81100
Lake County,Illinois,17,097,254800
LaSalle County,Illinois,17,099,125200
Lawrence County,Illinois,17,101,65900
Lee County,Illinois,17,103,112100
Livingston County,Illinois,17,105,110200
Logan County,Illinois,17,107,97200
McDonough County,Illinois,17,109,86400
McHenry County,Illinois,17,111,220500
McLean County,Illinois,17,113,157200
Macon County,Illinois,17,115,93300
Macoupin County,Illinois,17,117,93900
Madison County,Illinois,17,119,124600
Marion County,Illinois,17,121,70300
Marshall County,Illinois,17,123,100600
Mason County,Illinois,17,125,82100
Massac County,Illinois,17,127,80200
Menard County,Illinois,17,129,119100
Mercer County,Illinois,17,131,98100
Monroe County,Illinois,17,133,193900
Montgomery County,Illinois,17,135,79500
Morgan County,Illinois,17,137,91000
Moultrie County,Illinois,17,139,95400
Ogle County,Illinois,17,141,149500
Peoria County,Illinois,17,143,123200
Perry County,Illinois,17,145,78000
Piatt County,Illinois,17,147,120800
Pike County,Illinois,17,149,74700
Pope County,Illinois,17,151,98900
Pulaski County,Illinois,17,153,55300
Putnam County,Illinois,17,155,126500
Randolph County,Illinois,17,157,92100
Richland County,Illinois,17,159,78100
Rock Island County,Illinois,17,161,113800
Saint Clair County,Illinois,17,163,123700
Saline County,Illinois,17,165,70500
Sangamon County,Illinois,17,167,126200
Schuyler County,Illinois,17,169,76600
Scott County,Illinois,17,171,82900
Shelby County,Illinois,17,173,86100
Stark County,Illinois,17,175,88300
Stephenson County,Illinois,17,177,101800
Tazewell County,Illinois,17,179,132000
Union County,Illinois,17,181,87500
Vermilion County,Illinois,17,183,75300
Wabash County,Illinois,17,185,80900
Warren County,Illinois,17,187,81500
Washington County,Illinois,17,189,107900
Wayne County,Illinois,17,191,75700
White County,Illinois,17,193,72200
Whiteside County,Illinois,17,195,99400
Will County,Illinois,17,197,219400
Williamson County,Illinois,17,199,93700
Winnebago County,Illinois,17,201,123400
Woodford County,Illinois,17,203,158600
Adams County,Indiana,18,001,116100
Allen County,Indiana,18,003,112700
Bartholomew County,Indiana,18,005,134900
Benton County,Indiana,18,007,84300
Blackford County,Indiana,18,009,70400
Boone County,Indiana,18,011,179000
Brown County,Indiana,18,013,157400
Carroll County,Indiana,18,015,103900
Cass County,Indiana,18,017,81900
Clark County,Indiana,18,019,127400
Clay County,Indiana,18,021,91300
Clinton County,Indiana,18,023,97300
Crawford County,Indiana,18,025,83300
Daviess County,Indiana,18,027,105500
Dearborn County,Indiana,18,029,160400
Decatur County,Indiana,18,031,112000
DeKalb County,Indiana,18,033,107800
Delaware County,Indiana,18,035,89600
Dubois County,Indiana,18,037,133200
Elkhart County,Indiana,18,039,121700
Fayette County,Indiana,18,041,81700
Floyd County,Indiana,18,043,150400
Fountain County,Indiana,18,045,88800
Franklin County,Indiana,18,047,150100
Fulton County,Indiana,18,049,95600
Gibson County,Indiana,18,051,104400
Grant County,Indiana,18,053,80100
Greene County,Indiana,18,055,88800
Hamilton County,Indiana,18,057,215600
Hancock County,Indiana,18,059,155400
Harrison County,Indiana,18,061,122100
Hendricks County,Indiana,18,063,159800
Henry County,Indiana,18,065,94200
Howard County,Indiana,18,067,98500
Huntington County,Indiana,18,069,97100
Jackson County,Indiana,18,071,117100
Jasper County,Indiana,18,073,146200
Jay County,Indiana,18,075,79300
Jefferson County,Indiana,18,077,111500
Jennings County,Indiana,18,079,89700
Johnson County,Indiana,18,081,144300
Knox County,Indiana,18,083,84100
Kosciusko County,Indiana,18,085,132200
LaGrange County,Indiana,18,087,160200
Lake County,Indiana,18,089,136600
LaPorte County,Indiana,18,091,122800
Lawrence County,Indiana,18,093,98200
Madison County,Indiana,18,095,92800
Marion County,Indiana,18,097,118000
Marshall County,Indiana,18,099,124600
Martin County,Indiana,18,101,88500
Miami County,Indiana,18,103,84100
Monroe County,Indiana,18,105,156300
Montgomery County,Indiana,18,107,108300
Morgan County,Indiana,18,109,141200
Newton County,Indiana,18,111,112000
Noble County,Indiana,18,113,112700
Ohio County,Indiana,18,115,137900
Orange County,Indiana,18,117,88100
Owen County,Indiana,18,119,101900
Parke County,Indiana,18,121,87600
Perry County,Indiana,18,123,97300
Pike County,Indiana,18,125,85800
Porter County,Indiana,18,127,165700
Posey County,Indiana,18,129,127900
Pulaski County,Indiana,18,131,94900
Putnam County,Indiana,18,133,125800
Randolph County,Indiana,18,135,76200
Ripley County,Indiana,18,137,132000
Rush County,Indiana,18,139,104700
Saint Joseph County,Indiana,18,141,115100
Scott County,Indiana,18,143,101400
Shelby County,Indiana,18,145,125000
Spencer County,Indiana,18,147,113300
Starke County,Indiana,18,149,96900
Steuben County,Indiana,18,151,123000
Sullivan County,Indiana,18,153,77600
