County,State,State_FIPS,County_FIPS,total_population
Edgar County,Illinois,17,045,17407.0
Edwards County,Illinois,17,047,6455.0
Effingham County,Illinois,17,049,34137.0
Fayette County,Illinois,17,051,21565.0
Ford County,Illinois,17,053,13270.0
Franklin County,Illinois,17,055,38923.0
Fulton County,Illinois,17,057,35092.0
Gallatin County,Illinois,17,059,5064.0
Greene County,Illinois,17,061,13132.0
Grundy County,Illinois,17,063,50666.0
Hamilton County,Illinois,17,065,8176.0
Hancock County,Illinois,17,067,17983.0
Hardin County,Illinois,17,069,3939.0
Henderson County,Illinois,17,071,6809.0
Henry County,Illinois,17,073,49267.0
Iroquois County,Illinois,17,075,27812.0
Jackson County,Illinois,17,077,57977.0
Jasper County,Illinois,17,079,9594.0
Jefferson County,Illinois,17,081,37985.0
Jersey County,Illinois,17,083,21937.0
Jo Daviess County,Illinois,17,085,21588.0
Johnson County,Illinois,17,087,12494.0
Kane County,Illinois,17,089,531376.0
Kankakee County,Illinois,17,091,110637.0
Kendall County,Illinois,17,093,126054.0
Knox County,Illinois,17,095,50508.0
Lake County,Illinois,17,097,701473.0
LaSalle County,Illinois,17,099,109737.0
Lawrence County,Illinois,17,101,16033.0
Lee County,Illinois,17,103,34389.0
Livingston County,Illinois,17,105,36040.0
Logan County,Illinois,17,107,29003.0
McDonough County,Illinois,17,109,30479.0
McHenry County,Illinois,17,111,307714.0
McLean County,Illinois,17,113,172578.0
Macon County,Illinois,17,115,105528.0
Macoupin County,Illinois,17,117,45463.0
Madison County,Illinois,17,119,264776.0
Marion County,Illinois,17,121,37743.0
Marshall County,Illinois,17,123,11679.0
Mason County,Illinois,17,125,13621.0
Massac County,Illinois,17,127,14219.0
Menard County,Illinois,17,129,12306.0
Mercer County,Illinois,17,131,15589.0
Monroe County,Illinois,17,133,34168.0
Montgomery County,Illinois,17,135,28828.0
Morgan County,Illinois,17,137,34247.0
Moultrie County,Illinois,17,139,14641.0
Ogle County,Illinois,17,141,51025.0
Peoria County,Illinois,17,143,182770.0
Perry County,Illinois,17,145,21251.0
Piatt County,Illinois,17,147,16401.0
Pike County,Illinois,17,149,15672.0
Pope County,Illinois,17,151,4203.0
Pulaski County,Illinois,17,153,5510.0
Putnam County,Illinois,17,155,5721.0
Randolph County,Illinois,17,157,32295.0
