County,State,State_FIPS,County_FIPS,gini_index
Effingham County,Georgia,13,103,0.3754
Elbert County,Georgia,13,105,0.4784
Emanuel County,Georgia,13,107,0.4822
Evans County,Georgia,13,109,0.4719
Fannin County,Georgia,13,111,0.4408
Fayette County,Georgia,13,113,0.4253
Floyd County,Georgia,13,115,0.4611
Forsyth County,Georgia,13,117,0.413
Franklin County,Georgia,13,119,0.4433
Fulton County,Georgia,13,121,0.5443
Gilmer County,Georgia,13,123,0.4577
Glascock County,Georgia,13,125,0.3853
Glynn County,Georgia,13,127,0.4802
Gordon County,Georgia,13,129,0.4381
Grady County,Georgia,13,131,0.4582
Greene County,Georgia,13,133,0.5421
Gwinnett County,Georgia,13,135,0.424
Habersham County,Georgia,13,137,0.4216
Hall County,Georgia,13,139,0.4554
Hancock County,Georgia,13,141,0.4496
Haralson County,Georgia,13,143,0.4387
Harris County,Georgia,13,145,0.4348
Hart County,Georgia,13,147,0.4649
Heard County,Georgia,13,149,0.4158
Henry County,Georgia,13,151,0.3964
Houston County,Georgia,13,153,0.4213
Irwin County,Georgia,13,155,0.4957
Jackson County,Georgia,13,157,0.4251
Jasper County,Georgia,13,159,0.434
Jeff Davis County,Georgia,13,161,0.4455
Jefferson County,Georgia,13,163,0.4884
Jenkins County,Georgia,13,165,0.5372
Johnson County,Georgia,13,167,0.4518
Jones County,Georgia,13,169,0.4518
Lamar County,Georgia,13,171,0.4508
Lanier County,Georgia,13,173,0.4441
Laurens County,Georgia,13,175,0.5216
Lee County,Georgia,13,177,0.4278
Liberty County,Georgia,13,179,0.4153
Lincoln County,Georgia,13,181,0.4747
Long County,Georgia,13,183,0.3727
Lowndes County,Georgia,13,185,0.4809
Lumpkin County,Georgia,13,187,0.449
McDuffie County,Georgia,13,189,0.4689
McIntosh County,Georgia,13,191,0.4744
Macon County,Georgia,13,193,0.4678
Madison County,Georgia,13,195,0.4213
Marion County,Georgia,13,197,0.4592
Meriwether County,Georgia,13,199,0.4599
Miller County,Georgia,13,201,0.4612
Mitchell County,Georgia,13,205,0.4508
Monroe County,Georgia,13,207,0.4798
Montgomery County,Georgia,13,209,0.4682
Morgan County,Georgia,13,211,0.4468
Murray County,Georgia,13,213,0.4112
Muscogee County,Georgia,13,215,0.4901
Newton County,Georgia,13,217,0.4187
Oconee County,Georgia,13,219,0.4354
Oglethorpe County,Georgia,13,221,0.4143
Paulding County,Georgia,13,223,0.3967
Peach County,Georgia,13,225,0.4447
Pickens County,Georgia,13,227,0.444
Pierce County,Georgia,13,229,0.4833
Pike County,Georgia,13,231,0.4227
Polk County,Georgia,13,233,0.4683
Pulaski County,Georgia,13,235,0.4499
Putnam County,Georgia,13,237,0.4652
Quitman County,Georgia,13,239,0.4109
Rabun County,Georgia,13,241,0.5049
Randolph County,Georgia,13,243,0.6237
Richmond County,Georgia,13,245,0.4836
Rockdale County,Georgia,13,247,0.4149
Schley County,Georgia,13,249,0.4792
Screven County,Georgia,13,251,0.4758
Seminole County,Georgia,13,253,0.4629
Spalding County,Georgia,13,255,0.457
Stephens County,Georgia,13,257,0.4596
Stewart County,Georgia,13,259,0.4705
Sumter County,Georgia,13,261,0.48
Talbot County,Georgia,13,263,0.5102
Taliaferro County,Georgia,13,265,0.4096
Tattnall County,Georgia,13,267,0.4648
Taylor County,Georgia,13,269,0.4769
Telfair County,Georgia,13,271,0.4382
Terrell County,Georgia,13,273,0.4734
Thomas County,Georgia,13,275,0.489
Tift County,Georgia,13,277,0.508
Toombs County,Georgia,13,279,0.4944
Towns County,Georgia,13,281,0.4411
Treutlen County,Georgia,13,283,0.4791
Troup County,Georgia,13,285,0.4883
Turner County,Georgia,13,287,0.5032
Twiggs County,Georgia,13,289,0.5162
Union County,Georgia,13,291,0.4122
Upson County,Georgia,13,293,0.463
Walker County,Georgia,13,295,0.455
Walton County,Georgia,13,297,0.4213
Ware County,Georgia,13,299,0.4688
Warren County,Georgia,13,301,0.4809
Washington County,Georgia,13,303,0.4767
Wayne County,Georgia,13,305,0.4491
Webster County,Georgia,13,307,0.4204
Wheeler County,Georgia,13,309,0.4499
White County,Georgia,13,311,0.4424
Whitfield County,Georgia,13,313,0.4679
Wilcox County,Georgia,13,315,0.4562
Wilkes County,Georgia,13,317,0.4459
Wilkinson County,Georgia,13,319,0.4165
Worth County,Georgia,13,321,0.4432
Hawaii County,Hawaii,15,001,0.4645
Honolulu County,Hawaii,15,003,0.4211
Kauai County,Hawaii,15,007,0.4199
Kalawao County,Hawaii,15,005,0.4008
Maui County,Hawaii,15,009,0.4386
Ada County,Idaho,16,001,0.4515
Adams County,Idaho,16,003,0.4302
Bannock County,Idaho,16,005,0.4417
Bear Lake County,Idaho,16,007,0.3893
Benewah County,Idaho,16,009,0.412
Bingham County,Idaho,16,011,0.398
Blaine County,Idaho,16,013,0.4642
Boise County,Idaho,16,015,0.4439
Bonner County,Idaho,16,017,0.4562
Bonneville County,Idaho,16,019,0.4502
Boundary County,Idaho,16,021,0.4512
Butte County,Idaho,16,023,0.4793
Camas County,Idaho,16,025,0.493
Canyon County,Idaho,16,027,0.4006
Caribou County,Idaho,16,029,0.3872
Cassia County,Idaho,16,031,0.402
Clearwater County,Idaho,16,035,0.3989
Custer County,Idaho,16,037,0.4258
Elmore County,Idaho,16,039,0.413
Franklin County,Idaho,16,041,0.3695
Fremont County,Idaho,16,043,0.3673
Gem County,Idaho,16,045,0.4252
Gooding County,Idaho,16,047,0.4413
Idaho County,Idaho,16,049,0.3803
Jefferson County,Idaho,16,051,0.3911
Jerome County,Idaho,16,053,0.3941
Kootenai County,Idaho,16,055,0.441
Latah County,Idaho,16,057,0.466
Lemhi County,Idaho,16,059,0.436
Lewis County,Idaho,16,061,0.4244
Lincoln County,Idaho,16,063,0.3715
Madison County,Idaho,16,065,0.5057
Minidoka County,Idaho,16,067,0.4277
Nez Perce County,Idaho,16,069,0.4131
Oneida County,Idaho,16,071,0.4048
Owyhee County,Idaho,16,073,0.4497
Payette County,Idaho,16,075,0.4311
Power County,Idaho,16,077,0.3629
Shoshone County,Idaho,16,079,0.4166
Teton County,Idaho,16,081,0.3749
Twin Falls County,Idaho,16,083,0.4345
Valley County,Idaho,16,085,0.3986
Washington County,Idaho,16,087,0.4267
Adams County,Illinois,17,001,0.4262
Alexander County,Illinois,17,003,0.4588
Bond County,Illinois,17,005,0.4308
Boone County,Illinois,17,007,0.4156
Brown County,Illinois,17,009,0.4327
Bureau County,Illinois,17,011,0.437
Calhoun County,Illinois,17,013,0.4075
Carroll County,Illinois,17,015,0.421
Cass County,Illinois,17,017,0.4148
Champaign County,Illinois,17,019,0.4984
Christian County,Illinois,17,021,0.418
Clark County,Illinois,17,023,0.4317
Clay County,Illinois,17,025,0.4016
Clinton County,Illinois,17,027,0.4074
Coles County,Illinois,17,029,0.4918
