County,State,State_FIPS,County_FIPS,median_household_income
LaGrange County,Indiana,18,087,47617
Lake County,Indiana,18,089,49035
LaPorte County,Indiana,18,091,47538
Lawrence County,Indiana,18,093,42627
Madison County,Indiana,18,095,43120
Marion County,Indiana,18,097,42334
Marshall County,Indiana,18,099,45709
Martin County,Indiana,18,101,44740
Miami County,Indiana,18,103,42023
Monroe County,Indiana,18,105,40052
Montgomery County,Indiana,18,107,46797
Morgan County,Indiana,18,109,55354
Newton County,Indiana,18,111,50262
Noble County,Indiana,18,113,47117
Ohio County,Indiana,18,115,50377
Orange County,Indiana,18,117,38826
Owen County,Indiana,18,119,43950
Parke County,Indiana,18,121,43870
Perry County,Indiana,18,123,47596
Pike County,Indiana,18,125,40680
Porter County,Indiana,18,127,62794
Posey County,Indiana,18,129,58750
Pulaski County,Indiana,18,131,44764
Putnam County,Indiana,18,133,50821
Randolph County,Indiana,18,135,40904
Ripley County,Indiana,18,137,47537
Rush County,Indiana,18,139,47401
Saint Joseph County,Indiana,18,141,44582
Scott County,Indiana,18,143,42898
Shelby County,Indiana,18,145,51440
Spencer County,Indiana,18,147,52991
Starke County,Indiana,18,149,40126
Steuben County,Indiana,18,151,48080
Sullivan County,Indiana,18,153,43510
