County,State,State_FIPS,County_FIPS,total_population_for_poverty
Dearborn County,Indiana,18,029,49145
Decatur County,Indiana,18,031,25324
DeKalb County,Indiana,18,033,41607
Delaware County,Indiana,18,035,109288
Dubois County,Indiana,18,037,41128
Elkhart County,Indiana,18,039,193699
Fayette County,Indiana,18,041,23716
Floyd County,Indiana,18,043,72999
Fountain County,Indiana,18,045,17089
Franklin County,Indiana,18,047,22956
Fulton County,Indiana,18,049,20444
Gibson County,Indiana,18,051,32606
Grant County,Indiana,18,053,64994
Greene County,Indiana,18,055,32486
Hamilton County,Indiana,18,057,267275
Hancock County,Indiana,18,059,68198
Harrison County,Indiana,18,061,38217
Hendricks County,Indiana,18,063,139192
Henry County,Indiana,18,065,45850
Howard County,Indiana,18,067,81387
Huntington County,Indiana,18,069,35864
Jackson County,Indiana,18,071,41224
Jasper County,Indiana,18,073,31973
Jay County,Indiana,18,075,21032
Jefferson County,Indiana,18,077,30283
Jennings County,Indiana,18,079,28006
Johnson County,Indiana,18,081,135118
Knox County,Indiana,18,083,35696
Kosciusko County,Indiana,18,085,75866
LaGrange County,Indiana,18,087,36645
Lake County,Indiana,18,089,489319
LaPorte County,Indiana,18,091,103581
Lawrence County,Indiana,18,093,45448
Madison County,Indiana,18,095,124879
Marion County,Indiana,18,097,878785
Marshall County,Indiana,18,099,46304
Martin County,Indiana,18,101,10130
Miami County,Indiana,18,103,35244
Monroe County,Indiana,18,105,121213
Montgomery County,Indiana,18,107,36851
Morgan County,Indiana,18,109,68206
Newton County,Indiana,18,111,14099
Noble County,Indiana,18,113,46523
Ohio County,Indiana,18,115,5946
Orange County,Indiana,18,117,19427
Owen County,Indiana,18,119,21018
Parke County,Indiana,18,121,15770
Perry County,Indiana,18,123,17687
Pike County,Indiana,18,125,12560
Porter County,Indiana,18,127,159502
Posey County,Indiana,18,129,25705
Pulaski County,Indiana,18,131,13188
Putnam County,Indiana,18,133,32767
Randolph County,Indiana,18,135,25840
Ripley County,Indiana,18,137,28251
Rush County,Indiana,18,139,17170
Saint Joseph County,Indiana,18,141,253664
Scott County,Indiana,18,143,23702
Shelby County,Indiana,18,145,43577
Spencer County,Indiana,18,147,20704
Starke County,Indiana,18,149,23096
Steuben County,Indiana,18,151,32646
