County,State,State_FIPS,County_FIPS,people_below_poverty
Washington County,Georgia,13,303,4996.0
Wayne County,Georgia,13,305,5684.0
Webster County,Georgia,13,307,596.0
Wheeler County,Georgia,13,309,1383.0
White County,Georgia,13,311,5345.0
Whitfield County,Georgia,13,313,20126.0
Wilcox County,Georgia,13,315,1422.0
Wilkes County,Georgia,13,317,2620.0
Wilkinson County,Georgia,13,319,1915.0
Worth County,Georgia,13,321,3837.0
Hawaii County,Hawaii,15,001,35737.0
Honolulu County,Hawaii,15,003,90359.0
Kauai County,Hawaii,15,007,6703.0
Kalawao County,Hawaii,15,005,11.0
Maui County,Hawaii,15,009,15767.0
Ada County,Idaho,16,001,51101.0
Adams County,Idaho,16,003,561.0
Bannock County,Idaho,16,005,14875.0
Bear Lake County,Idaho,16,007,847.0
Benewah County,Idaho,16,009,1510.0
Bingham County,Idaho,16,011,6008.0
Blaine County,Idaho,16,013,2707.0
Boise County,Idaho,16,015,938.0
Bonner County,Idaho,16,017,6092.0
Bonneville County,Idaho,16,019,13711.0
Boundary County,Idaho,16,021,1813.0
Butte County,Idaho,16,023,396.0
Camas County,Idaho,16,025,192.0
Canyon County,Idaho,16,027,37366.0
Caribou County,Idaho,16,029,680.0
Cassia County,Idaho,16,031,3563.0
Clearwater County,Idaho,16,035,972.0
Custer County,Idaho,16,037,852.0
Elmore County,Idaho,16,039,4587.0
Franklin County,Idaho,16,041,1606.0
Fremont County,Idaho,16,043,1475.0
Gem County,Idaho,16,045,3705.0
Gooding County,Idaho,16,047,2348.0
Idaho County,Idaho,16,049,2536.0
Jefferson County,Idaho,16,051,3023.0
Jerome County,Idaho,16,053,3786.0
Kootenai County,Idaho,16,055,18412.0
Latah County,Idaho,16,057,7929.0
Lemhi County,Idaho,16,059,1284.0
Lewis County,Idaho,16,061,598.0
Lincoln County,Idaho,16,063,630.0
Madison County,Idaho,16,065,12226.0
Minidoka County,Idaho,16,067,3584.0
Nez Perce County,Idaho,16,069,5266.0
Oneida County,Idaho,16,071,582.0
Owyhee County,Idaho,16,073,2643.0
Payette County,Idaho,16,075,4199.0
Power County,Idaho,16,077,937.0
Shoshone County,Idaho,16,079,2208.0
Teton County,Idaho,16,081,1283.0
Twin Falls County,Idaho,16,083,12417.0
Valley County,Idaho,16,085,1369.0
Washington County,Idaho,16,087,1508.0
Adams County,Illinois,17,001,8457.0
Alexander County,Illinois,17,003,2284.0
Bond County,Illinois,17,005,2553.0
Boone County,Illinois,17,007,5908.0
Brown County,Illinois,17,009,591.0
Bureau County,Illinois,17,011,4340.0
Calhoun County,Illinois,17,013,595.0
Carroll County,Illinois,17,015,1663.0
Cass County,Illinois,17,017,1787.0
Champaign County,Illinois,17,019,41161.0
Christian County,Illinois,17,021,4356.0
Clark County,Illinois,17,023,2576.0
Clay County,Illinois,17,025,1854.0
Clinton County,Illinois,17,027,3406.0
Coles County,Illinois,17,029,10711.0
Cook County,Illinois,17,031,856682.0
Crawford County,Illinois,17,033,2192.0
Cumberland County,Illinois,17,035,1747.0
DeKalb County,Illinois,17,037,18001.0
De Witt County,Illinois,17,039,1926.0
Douglas County,Illinois,17,041,2223.0
DuPage County,Illinois,17,043,64677.0
Edgar County,Illinois,17,045,2845.0
Edwards County,Illinois,17,047,760.0
Effingham County,Illinois,17,049,3634.0
Fayette County,Illinois,17,051,3240.0
Ford County,Illinois,17,053,1871.0
Franklin County,Illinois,17,055,7440.0
Fulton County,Illinois,17,057,5232.0
Gallatin County,Illinois,17,059,860.0
Greene County,Illinois,17,061,2250.0
Grundy County,Illinois,17,063,4899.0
Hamilton County,Illinois,17,065,1219.0
Hancock County,Illinois,17,067,2124.0
Hardin County,Illinois,17,069,774.0
Henderson County,Illinois,17,071,731.0
Henry County,Illinois,17,073,6019.0
Iroquois County,Illinois,17,075,4556.0
Jackson County,Illinois,17,077,15533.0
Jasper County,Illinois,17,079,775.0
Jefferson County,Illinois,17,081,6392.0
Jersey County,Illinois,17,083,1954.0
Jo Daviess County,Illinois,17,085,2051.0
Johnson County,Illinois,17,087,1363.0
Kane County,Illinois,17,089,57312.0
Kankakee County,Illinois,17,091,16800.0
Kendall County,Illinois,17,093,6578.0
Knox County,Illinois,17,095,8418.0
Lake County,Illinois,17,097,60664.0
LaSalle County,Illinois,17,099,15069.0
Lawrence County,Illinois,17,101,1929.0
Lee County,Illinois,17,103,3783.0
Livingston County,Illinois,17,105,4364.0
Logan County,Illinois,17,107,2996.0
McDonough County,Illinois,17,109,6513.0
McHenry County,Illinois,17,111,23653.0
McLean County,Illinois,17,113,23485.0
Macon County,Illinois,17,115,19626.0
Macoupin County,Illinois,17,117,5875.0
Madison County,Illinois,17,119,34400.0
Marion County,Illinois,17,121,6867.0
Marshall County,Illinois,17,123,1163.0
Mason County,Illinois,17,125,2115.0
Massac County,Illinois,17,127,2750.0
Menard County,Illinois,17,129,1564.0
Mercer County,Illinois,17,131,1618.0
Monroe County,Illinois,17,133,1480.0
Montgomery County,Illinois,17,135,3725.0
Morgan County,Illinois,17,137,4684.0
Moultrie County,Illinois,17,139,1769.0
Ogle County,Illinois,17,141,5617.0
Peoria County,Illinois,17,143,29991.0
Perry County,Illinois,17,145,3102.0
Piatt County,Illinois,17,147,927.0
Pike County,Illinois,17,149,2233.0
Pope County,Illinois,17,151,604.0
Pulaski County,Illinois,17,153,1051.0
Putnam County,Illinois,17,155,595.0
Randolph County,Illinois,17,157,3219.0
Richland County,Illinois,17,159,2311.0
Rock Island County,Illinois,17,161,21375.0
Saint Clair County,Illinois,17,163,46059.0
Saline County,Illinois,17,165,5334.0
Sangamon County,Illinois,17,167,29600.0
Schuyler County,Illinois,17,169,1411.0
Scott County,Illinois,17,171,747.0
Shelby County,Illinois,17,173,2810.0
Stark County,Illinois,17,175,768.0
Stephenson County,Illinois,17,177,7203.0
Tazewell County,Illinois,17,179,10485.0
Union County,Illinois,17,181,2667.0
Vermilion County,Illinois,17,183,15093.0
Wabash County,Illinois,17,185,1376.0
Warren County,Illinois,17,187,2533.0
Washington County,Illinois,17,189,1580.0
Wayne County,Illinois,17,191,2552.0
White County,Illinois,17,193,1960.0
Whiteside County,Illinois,17,195,6388.0
Will County,Illinois,17,197,51976.0
Williamson County,Illinois,17,199,9724.0
Winnebago County,Illinois,17,201,44086.0
Woodford County,Illinois,17,203,2942.0
Adams County,Indiana,18,001,6140.0
Allen County,Indiana,18,003,54545.0
Bartholomew County,Indiana,18,005,9975.0
