County,State,State_FIPS,County_FIPS,per_capita_income,asian_population,black_population,age_18_and_under_percentage,median_home_value,total_population_race,native_american_population,gini_index,median_household_income,housing_cost_burden,age_60_and_over,total_population,white_population,age_15_to_44_percentage,median_gross_rent
Lafayette County,Florida,12,67,20776.0,,,,,,,,,,,,,,
Lake County,Florida,12,69,28348.0,,,,,,,,,,,,,,
Lee County,Florida,12,71,33543.0,,,,,,,,,,,,,,
Leon County,Florida,12,73,30586.0,,,,,,,,,,,,,,
Levy County,Florida,12,75,21579.0,,,,,,,,,,,,,,
Liberty County,Florida,12,77,17872.0,,,,,,,,,,,,,,
Madison County,Florida,12,79,19510.0,,,,,,,,,,,,,,
Manatee County,Florida,12,81,33853.0,,,,,,,,,,,,,,
Marion County,Florida,12,83,25839.0,,,,,,,,,,,,,,
Martin County,Florida,12,85,42199.0,,,,,,,,,,,,,,
Monroe County,Florida,12,87,46028.0,,,,,,,,,,,,,,
Nassau County,Florida,12,89,36553.0,,,,,,,,,,,,,,
Okaloosa County,Florida,12,91,33019.0,,,,,,,,,,,,,,
Okeechobee County,Florida,12,93,21367.0,,,,,,,,,,,,,,
Orange County,Florida,12,95,30456.0,,,,,,,,,,,,,,
Osceola County,Florida,12,97,22196.0,,,,,,,,,,,,,,
Palm Beach County,Florida,12,99,39933.0,,,,,,,,,,,,,,
Pasco County,Florida,12,101,29001.0,,,,,,,,,,,,,,
Pinellas County,Florida,12,103,35196.0,,,,,,,,,,,,,,
Polk County,Florida,12,105,24864.0,,,,,,,,,,,,,,
Putnam County,Florida,12,107,20915.0,,,,,,,,,,,,,,
Saint Johns County,Florida,12,109,43194.0,,,,,,,,,,,,,,
Saint Lucie County,Florida,12,111,27121.0,,,,,,,,,,,,,,
Santa Rosa County,Florida,12,113,31691.0,,,,,,,,,,,,,,
Sarasota County,Florida,12,115,41081.0,,,,,,,,,,,,,,
Seminole County,Florida,12,117,35175.0,,,,,,,,,,,,,,
Sumter County,Florida,12,119,35560.0,,,,,,,,,,,,,,
Suwannee County,Florida,12,121,22808.0,,,,,,,,,,,,,,
Taylor County,Florida,12,123,17391.0,,,,,,,,,,,,,,
Union County,Florida,12,125,17010.0,,,,,,,,,,,,,,
Volusia County,Florida,12,127,28517.0,,,,,,,,,,,,,,
Wakulla County,Florida,12,129,25733.0,,,,,,,,,,,,,,
Walton County,Florida,12,131,34475.0,,,,,,,,,,,,,,
Washington County,Florida,12,133,18401.0,,,,,,,,,,,,,,
Appling County,Georgia,13,1,21300.0,,,,,,,,,,,,,,
Atkinson County,Georgia,13,3,20338.0,,,,,,,,,,,,,,
Bacon County,Georgia,13,5,20326.0,,,,,,,,,,,,,,
Baker County,Georgia,13,7,22525.0,,,,,,,,,,,,,,
Baldwin County,Georgia,13,9,21716.0,,,,,,,,,,,,,,
Banks County,Georgia,13,11,21403.0,,,,,,,,,,,,,,
Barrow County,Georgia,13,13,25266.0,,,,,,,,,,,,,,
Bartow County,Georgia,13,15,26493.0,,,,,,,,,,,,,,
Ben Hill County,Georgia,13,17,17774.0,,,,,,,,,,,,,,
