County,State,State_FIPS,County_FIPS,median_gross_rent,age_15_to_44_percentage,white_population,total_population,age_60_and_over,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,median_home_value,black_population,age_18_and_under_percentage,asian_population,per_capita_income
Windham County,Connecticut,9,15,863.0,,,,,,,,,,,,,,
Kent County,Delaware,10,1,985.0,,,,,,,,,,,,,,
New Castle County,Delaware,10,3,1030.0,,,,,,,,,,,,,,
Sussex County,Delaware,10,5,965.0,,,,,,,,,,,,,,
Alachua County,Florida,12,1,883.0,,,,,,,,,,,,,,
Baker County,Florida,12,3,727.0,,,,,,,,,,,,,,
Bay County,Florida,12,5,932.0,,,,,,,,,,,,,,
Bradford County,Florida,12,7,704.0,,,,,,,,,,,,,,
Brevard County,Florida,12,9,904.0,,,,,,,,,,,,,,
Broward County,Florida,12,11,1179.0,,,,,,,,,,,,,,
Calhoun County,Florida,12,13,609.0,,,,,,,,,,,,,,
Charlotte County,Florida,12,15,900.0,,,,,,,,,,,,,,
Citrus County,Florida,12,17,780.0,,,,,,,,,,,,,,
Clay County,Florida,12,19,1025.0,,,,,,,,,,,,,,
Collier County,Florida,12,21,1027.0,,,,,,,,,,,,,,
Columbia County,Florida,12,23,776.0,,,,,,,,,,,,,,
Miami-Dade County,Florida,12,86,1098.0,,,,,,,,,,,,,,
DeSoto County,Florida,12,27,686.0,,,,,,,,,,,,,,
Dixie County,Florida,12,29,604.0,,,,,,,,,,,,,,
Duval County,Florida,12,31,941.0,,,,,,,,,,,,,,
Escambia County,Florida,12,33,890.0,,,,,,,,,,,,,,
Flagler County,Florida,12,35,1046.0,,,,,,,,,,,,,,
Franklin County,Florida,12,37,720.0,,,,,,,,,,,,,,
Gadsden County,Florida,12,39,685.0,,,,,,,,,,,,,,
Gilchrist County,Florida,12,41,719.0,,,,,,,,,,,,,,
Glades County,Florida,12,43,711.0,,,,,,,,,,,,,,
Gulf County,Florida,12,45,842.0,,,,,,,,,,,,,,
Hamilton County,Florida,12,47,565.0,,,,,,,,,,,,,,
Hardee County,Florida,12,49,648.0,,,,,,,,,,,,,,
Hendry County,Florida,12,51,764.0,,,,,,,,,,,,,,
Hernando County,Florida,12,53,894.0,,,,,,,,,,,,,,
Highlands County,Florida,12,55,722.0,,,,,,,,,,,,,,
Hillsborough County,Florida,12,57,960.0,,,,,,,,,,,,,,
Holmes County,Florida,12,59,595.0,,,,,,,,,,,,,,
Indian River County,Florida,12,61,861.0,,,,,,,,,,,,,,
Jackson County,Florida,12,63,624.0,,,,,,,,,,,,,,
Jefferson County,Florida,12,65,665.0,,,,,,,,,,,,,,
Lafayette County,Florida,12,67,565.0,,,,,,,,,,,,,,
Lake County,Florida,12,69,950.0,,,,,,,,,,,,,,
Lee County,Florida,12,71,939.0,,,,,,,,,,,,,,
Leon County,Florida,12,73,930.0,,,,,,,,,,,,,,
Levy County,Florida,12,75,674.0,,,,,,,,,,,,,,
Liberty County,Florida,12,77,584.0,,,,,,,,,,,,,,
Madison County,Florida,12,79,683.0,,,,,,,,,,,,,,
Manatee County,Florida,12,81,936.0,,,,,,,,,,,,,,
Marion County,Florida,12,83,819.0,,,,,,,,,,,,,,
Martin County,Florida,12,85,958.0,,,,,,,,,,,,,,
Monroe County,Florida,12,87,1400.0,,,,,,,,,,,,,,
Nassau County,Florida,12,89,1026.0,,,,,,,,,,,,,,
Okaloosa County,Florida,12,91,1015.0,,,,,,,,,,,,,,
Okeechobee County,Florida,12,93,699.0,,,,,,,,,,,,,,
Orange County,Florida,12,95,1036.0,,,,,,,,,,,,,,
Osceola County,Florida,12,97,1035.0,,,,,,,,,,,,,,
Palm Beach County,Florida,12,99,1158.0,,,,,,,,,,,,,,
Pasco County,Florida,12,101,919.0,,,,,,,,,,,,,,
Pinellas County,Florida,12,103,955.0,,,,,,,,,,,,,,
Polk County,Florida,12,105,870.0,,,,,,,,,,,,,,
Putnam County,Florida,12,107,655.0,,,,,,,,,,,,,,
Saint Johns County,Florida,12,109,1105.0,,,,,,,,,,,,,,
Saint Lucie County,Florida,12,111,990.0,,,,,,,,,,,,,,
Santa Rosa County,Florida,12,113,1014.0,,,,,,,,,,,,,,
Sarasota County,Florida,12,115,1008.0,,,,,,,,,,,,,,
Seminole County,Florida,12,117,1059.0,,,,,,,,,,,,,,
Sumter County,Florida,12,119,780.0,,,,,,,,,,,,,,
Suwannee County,Florida,12,121,674.0,,,,,,,,,,,,,,
Taylor County,Florida,12,123,545.0,,,,,,,,,,,,,,
Union County,Florida,12,125,646.0,,,,,,,,,,,,,,
Volusia County,Florida,12,127,918.0,,,,,,,,,,,,,,
Wakulla County,Florida,12,129,854.0,,,,,,,,,,,,,,
Walton County,Florida,12,131,993.0,,,,,,,,,,,,,,
Washington County,Florida,12,133,608.0,,,,,,,,,,,,,,
Appling County,Georgia,13,1,534.0,,,,,,,,,,,,,,
Atkinson County,Georgia,13,3,457.0,,,,,,,,,,,,,,
Bacon County,Georgia,13,5,606.0,,,,,,,,,,,,,,
Baker County,Georgia,13,7,414.0,,,,,,,,,,,,,,
Baldwin County,Georgia,13,9,705.0,,,,,,,,,,,,,,
Banks County,Georgia,13,11,721.0,,,,,,,,,,,,,,
Barrow County,Georgia,13,13,904.0,,,,,,,,,,,,,,
Bartow County,Georgia,13,15,796.0,,,,,,,,,,,,,,
Ben Hill County,Georgia,13,17,609.0,,,,,,,,,,,,,,
Berrien County,Georgia,13,19,533.0,,,,,,,,,,,,,,
Bibb County,Georgia,13,21,742.0,,,,,,,,,,,,,,
Bleckley County,Georgia,13,23,636.0,,,,,,,,,,,,,,
Brantley County,Georgia,13,25,523.0,,,,,,,,,,,,,,
Brooks County,Georgia,13,27,577.0,,,,,,,,,,,,,,
Bryan County,Georgia,13,29,1075.0,,,,,,,,,,,,,,
Bulloch County,Georgia,13,31,760.0,,,,,,,,,,,,,,
Burke County,Georgia,13,33,579.0,,,,,,,,,,,,,,
Butts County,Georgia,13,35,783.0,,,,,,,,,,,,,,
Calhoun County,Georgia,13,37,563.0,,,,,,,,,,,,,,
