County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,per_capita_income,median_home_value,black_population,age_18_and_under_percentage,year,asian_population,total_population_race
Fresno County,California,6,19,546915,930517,8.9,11284,864,73.1,0.4687,9490,45741,20391,212100,47376,11.9,2012,,
Glenn County,California,6,21,22848,28078,12.0,333,740,74.3,0.4823,742,42641,21689,222300,236,9.4,2012,,
Humboldt County,California,6,23,111415,134317,11.8,1899,869,82.1,0.4713,7739,40830,23884,300400,1647,12.7,2012,,
Imperial County,California,6,25,120511,173487,9.3,1687,725,74.4,0.4694,2724,41255,16667,155800,5643,12.0,2012,,
Inyo County,California,6,27,14805,18474,17.1,191,889,80.6,0.426,1943,45000,27323,246200,165,7.0,2012,,
Kern County,California,6,29,599768,839153,7.9,8522,869,73.5,0.4552,9776,47727,20216,171200,46649,11.8,2012,,
Kings County,California,6,31,110937,151982,6.5,1847,874,77.5,0.4362,1901,48761,18566,192000,10470,12.1,2012,,
Lake County,California,6,33,53781,64360,16.8,1071,864,81.2,0.4596,1996,38147,21845,200500,1495,7.9,2012,,
Lassen County,California,6,35,24395,34628,7.8,344,873,87.9,0.4185,1191,51921,19924,189400,2931,13.3,2012,,
Los Angeles County,California,6,37,5229697,9840024,9.5,146423,1187,77.9,0.4951,49624,56241,27900,443300,839837,11.1,2012,,
Madera County,California,6,39,121838,150615,11.2,1296,888,74.0,0.4356,2650,47937,18474,210300,5248,11.0,2012,,
Marin County,California,6,41,201272,252759,15.2,3413,1598,81.3,0.5067,667,90962,55695,810700,7284,6.5,2012,,
Mariposa County,California,6,43,16132,18193,21.0,171,797,85.8,0.4224,669,52584,27670,242900,141,5.4,2012,,
Mendocino County,California,6,45,72842,87577,14.6,1000,954,79.6,0.4452,4200,43721,23179,353400,804,9.2,2012,,
Merced County,California,6,47,173461,256398,8.3,2463,832,71.7,0.4652,2622,43565,18343,161600,9794,12.3,2012,,
Modoc County,California,6,49,8417,9545,19.4,68,614,81.3,0.4221,288,37482,20916,158200,129,6.3,2012,,
Mono County,California,6,51,11856,14181,9.7,117,1146,82.3,0.3719,476,61868,27135,355600,82,12.3,2012,,
Monterey County,California,6,53,309794,416199,9.2,6393,1183,76.1,0.4452,3864,60143,24995,390400,12568,11.7,2012,,
Napa County,California,6,55,109393,136644,13.7,1815,1297,79.4,0.4604,979,69571,35195,460400,2758,9.5,2012,,
Nevada County,California,6,57,91584,98521,18.5,994,1135,82.5,0.4401,934,57382,31899,379900,393,7.5,2012,,
Orange County,California,6,59,1886224,3021840,10.3,39784,1482,78.0,0.4582,12708,75566,34233,537600,48985,10.5,2012,,
