County,State,State_FIPS,County_FIPS,age_18_and_under_percentage
Jackson County,Georgia,13,157,8.1
Jasper County,Georgia,13,159,8.1
Jeff Davis County,Georgia,13,161,9.7
Jefferson County,Georgia,13,163,9.1
Jenkins County,Georgia,13,165,11.1
Johnson County,Georgia,13,167,11.7
Jones County,Georgia,13,169,8.6
Lamar County,Georgia,13,171,14.5
Lanier County,Georgia,13,173,8.0
Laurens County,Georgia,13,175,8.9
Lee County,Georgia,13,177,8.1
Liberty County,Georgia,13,179,17.6
Lincoln County,Georgia,13,181,8.7
Long County,Georgia,13,183,11.7
Lowndes County,Georgia,13,185,18.2
Lumpkin County,Georgia,13,187,19.0
McDuffie County,Georgia,13,189,8.5
McIntosh County,Georgia,13,191,7.2
Macon County,Georgia,13,193,11.9
Madison County,Georgia,13,195,8.7
Marion County,Georgia,13,197,7.3
Meriwether County,Georgia,13,199,8.9
Miller County,Georgia,13,201,9.1
Mitchell County,Georgia,13,205,9.8
Monroe County,Georgia,13,207,10.0
Montgomery County,Georgia,13,209,13.9
Morgan County,Georgia,13,211,9.5
Murray County,Georgia,13,213,9.2
Muscogee County,Georgia,13,215,12.7
Newton County,Georgia,13,217,10.4
Oconee County,Georgia,13,219,8.0
Oglethorpe County,Georgia,13,221,7.2
Paulding County,Georgia,13,223,8.9
Peach County,Georgia,13,225,15.8
Pickens County,Georgia,13,227,6.9
Pierce County,Georgia,13,229,7.8
Pike County,Georgia,13,231,8.1
Polk County,Georgia,13,233,9.0
Pulaski County,Georgia,13,235,11.0
Putnam County,Georgia,13,237,9.5
Quitman County,Georgia,13,239,7.4
Rabun County,Georgia,13,241,8.6
Randolph County,Georgia,13,243,8.8
Richmond County,Georgia,13,245,13.2
Rockdale County,Georgia,13,247,10.0
Schley County,Georgia,13,249,6.4
Screven County,Georgia,13,251,9.5
Seminole County,Georgia,13,253,6.5
Spalding County,Georgia,13,255,9.2
Stephens County,Georgia,13,257,11.6
Stewart County,Georgia,13,259,16.5
Sumter County,Georgia,13,261,13.5
Talbot County,Georgia,13,263,8.2
Taliaferro County,Georgia,13,265,10.3
Tattnall County,Georgia,13,267,11.9
Taylor County,Georgia,13,269,11.9
Telfair County,Georgia,13,271,7.4
Terrell County,Georgia,13,273,8.9
Thomas County,Georgia,13,275,8.8
Tift County,Georgia,13,277,12.6
Toombs County,Georgia,13,279,8.7
Towns County,Georgia,13,281,13.4
Treutlen County,Georgia,13,283,9.2
Troup County,Georgia,13,285,11.0
Turner County,Georgia,13,287,10.1
Twiggs County,Georgia,13,289,11.4
Union County,Georgia,13,291,6.2
Upson County,Georgia,13,293,9.1
Walker County,Georgia,13,295,8.3
Walton County,Georgia,13,297,9.1
Ware County,Georgia,13,299,10.9
Warren County,Georgia,13,301,10.3
Washington County,Georgia,13,303,10.0
Wayne County,Georgia,13,305,9.2
Webster County,Georgia,13,307,8.0
Wheeler County,Georgia,13,309,13.7
White County,Georgia,13,311,8.8
Whitfield County,Georgia,13,313,10.0
Wilcox County,Georgia,13,315,11.0
Wilkes County,Georgia,13,317,8.9
Wilkinson County,Georgia,13,319,8.1
Worth County,Georgia,13,321,9.5
Hawaii County,Hawaii,15,001,8.2
