County,State,State_FIPS,County_FIPS,age_60_and_over
Pike County,Georgia,13,231,11.3
Polk County,Georgia,13,233,11.3
Pulaski County,Georgia,13,235,11.8
Putnam County,Georgia,13,237,15.8
Quitman County,Georgia,13,239,17.2
Rabun County,Georgia,13,241,18.0
Randolph County,Georgia,13,243,13.3
Richmond County,Georgia,13,245,9.3
Rockdale County,Georgia,13,247,9.0
Schley County,Georgia,13,249,9.8
Screven County,Georgia,13,251,12.5
Seminole County,Georgia,13,253,15.1
Spalding County,Georgia,13,255,10.6
Stephens County,Georgia,13,257,13.9
Stewart County,Georgia,13,259,15.9
Sumter County,Georgia,13,261,10.0
Talbot County,Georgia,13,263,13.7
Taliaferro County,Georgia,13,265,15.7
Tattnall County,Georgia,13,267,8.6
Taylor County,Georgia,13,269,11.8
Telfair County,Georgia,13,271,9.1
Terrell County,Georgia,13,273,11.4
Thomas County,Georgia,13,275,12.4
Tift County,Georgia,13,277,10.4
Toombs County,Georgia,13,279,11.1
Towns County,Georgia,13,281,28.8
Treutlen County,Georgia,13,283,10.3
Troup County,Georgia,13,285,9.9
Turner County,Georgia,13,287,11.0
Twiggs County,Georgia,13,289,13.1
Union County,Georgia,13,291,24.0
Upson County,Georgia,13,293,12.5
Walker County,Georgia,13,295,12.4
Walton County,Georgia,13,297,9.7
Ware County,Georgia,13,299,11.8
Warren County,Georgia,13,301,14.6
Washington County,Georgia,13,303,10.2
Wayne County,Georgia,13,305,10.5
Webster County,Georgia,13,307,13.4
Wheeler County,Georgia,13,309,7.9
White County,Georgia,13,311,15.7
Whitfield County,Georgia,13,313,9.0
Wilcox County,Georgia,13,315,10.1
Wilkes County,Georgia,13,317,16.0
Wilkinson County,Georgia,13,319,12.9
Worth County,Georgia,13,321,12.2
Hawaii County,Hawaii,15,001,13.1
Honolulu County,Hawaii,15,003,12.3
Kauai County,Hawaii,15,007,12.8
Kalawao County,Hawaii,15,005,48.8
Maui County,Hawaii,15,009,10.8
Ada County,Idaho,16,001,8.6
Adams County,Idaho,16,003,21.3
Bannock County,Idaho,16,005,9.7
Bear Lake County,Idaho,16,007,17.0
Benewah County,Idaho,16,009,16.6
Bingham County,Idaho,16,011,10.4
Blaine County,Idaho,16,013,10.8
Boise County,Idaho,16,015,14.7
Bonner County,Idaho,16,017,15.7
Bonneville County,Idaho,16,019,9.5
Boundary County,Idaho,16,021,16.6
Butte County,Idaho,16,023,20.9
Camas County,Idaho,16,025,8.8
Canyon County,Idaho,16,027,9.3
Caribou County,Idaho,16,029,14.3
Cassia County,Idaho,16,031,11.0
Clearwater County,Idaho,16,035,19.7
Custer County,Idaho,16,037,14.0
Elmore County,Idaho,16,039,8.4
Franklin County,Idaho,16,041,11.6
Fremont County,Idaho,16,043,13.4
Gem County,Idaho,16,045,16.7
Gooding County,Idaho,16,047,14.7
Idaho County,Idaho,16,049,20.2
Jefferson County,Idaho,16,051,8.9
Jerome County,Idaho,16,053,10.2
Kootenai County,Idaho,16,055,13.1
Latah County,Idaho,16,057,8.7
Lemhi County,Idaho,16,059,21.5
Lewis County,Idaho,16,061,20.5
Lincoln County,Idaho,16,063,10.2
Madison County,Idaho,16,065,5.0
Minidoka County,Idaho,16,067,13.0
Nez Perce County,Idaho,16,069,15.9
Oneida County,Idaho,16,071,15.0
Owyhee County,Idaho,16,073,12.2
Payette County,Idaho,16,075,14.0
Power County,Idaho,16,077,11.0
Shoshone County,Idaho,16,079,17.9
Teton County,Idaho,16,081,6.0
Twin Falls County,Idaho,16,083,12.5
Valley County,Idaho,16,085,15.1
Washington County,Idaho,16,087,18.0
Adams County,Illinois,17,001,15.1
Alexander County,Illinois,17,003,16.4
Bond County,Illinois,17,005,12.0
Boone County,Illinois,17,007,9.6
Brown County,Illinois,17,009,8.4
Bureau County,Illinois,17,011,15.6
Calhoun County,Illinois,17,013,18.2
Carroll County,Illinois,17,015,18.6
Cass County,Illinois,17,017,12.8
Champaign County,Illinois,17,019,8.4
Christian County,Illinois,17,021,14.4
Clark County,Illinois,17,023,15.1
Clay County,Illinois,17,025,15.1
Clinton County,Illinois,17,027,12.0
Coles County,Illinois,17,029,11.8
Cook County,Illinois,17,031,9.9
Crawford County,Illinois,17,033,14.1
Cumberland County,Illinois,17,035,13.9
DeKalb County,Illinois,17,037,7.9
De Witt County,Illinois,17,039,13.9
Douglas County,Illinois,17,041,13.1
DuPage County,Illinois,17,043,9.4
Edgar County,Illinois,17,045,15.2
Edwards County,Illinois,17,047,14.8
Effingham County,Illinois,17,049,12.2
Fayette County,Illinois,17,051,13.3
Ford County,Illinois,17,053,14.9
Franklin County,Illinois,17,055,16.0
Fulton County,Illinois,17,057,14.7
Gallatin County,Illinois,17,059,17.9
Greene County,Illinois,17,061,14.9
