County,State,State_FIPS,County_FIPS,age_15_to_44_percentage
Honolulu County,Hawaii,15,003,80.1
Kauai County,Hawaii,15,007,79.1
Kalawao County,Hawaii,15,005,100.0
Maui County,Hawaii,15,009,78.9
Ada County,Idaho,16,001,76.2
Adams County,Idaho,16,003,81.8
Bannock County,Idaho,16,005,74.6
Bear Lake County,Idaho,16,007,76.4
Benewah County,Idaho,16,009,79.8
Bingham County,Idaho,16,011,70.3
Blaine County,Idaho,16,013,78.0
Boise County,Idaho,16,015,80.8
Bonner County,Idaho,16,017,81.0
Bonneville County,Idaho,16,019,71.1
Boundary County,Idaho,16,021,78.7
Butte County,Idaho,16,023,75.4
Camas County,Idaho,16,025,78.0
Canyon County,Idaho,16,027,71.3
Caribou County,Idaho,16,029,74.4
Cassia County,Idaho,16,031,70.9
Clearwater County,Idaho,16,035,85.6
Custer County,Idaho,16,037,82.1
Elmore County,Idaho,16,039,76.4
Franklin County,Idaho,16,041,68.0
Fremont County,Idaho,16,043,73.9
Gem County,Idaho,16,045,77.4
Gooding County,Idaho,16,047,73.8
Idaho County,Idaho,16,049,82.3
Jefferson County,Idaho,16,051,67.5
Jerome County,Idaho,16,053,72.1
Kootenai County,Idaho,16,055,77.7
Latah County,Idaho,16,057,83.5
Lemhi County,Idaho,16,059,83.8
Lewis County,Idaho,16,061,80.9
Lincoln County,Idaho,16,063,71.7
Madison County,Idaho,16,065,74.9
Minidoka County,Idaho,16,067,74.0
Nez Perce County,Idaho,16,069,79.7
Oneida County,Idaho,16,071,74.5
Owyhee County,Idaho,16,073,75.6
Payette County,Idaho,16,075,73.7
Power County,Idaho,16,077,75.2
Shoshone County,Idaho,16,079,82.4
Teton County,Idaho,16,081,74.8
Twin Falls County,Idaho,16,083,74.6
Valley County,Idaho,16,085,82.7
Washington County,Idaho,16,087,80.0
Adams County,Illinois,17,001,78.9
Alexander County,Illinois,17,003,77.9
Bond County,Illinois,17,005,78.2
Boone County,Illinois,17,007,75.2
Brown County,Illinois,17,009,89.1
Bureau County,Illinois,17,011,79.4
Calhoun County,Illinois,17,013,81.0
Carroll County,Illinois,17,015,81.7
Cass County,Illinois,17,017,76.5
Champaign County,Illinois,17,019,82.7
Christian County,Illinois,17,021,81.0
Clark County,Illinois,17,023,79.0
Clay County,Illinois,17,025,78.8
Clinton County,Illinois,17,027,80.8
Coles County,Illinois,17,029,83.1
Cook County,Illinois,17,031,78.3
Crawford County,Illinois,17,033,82.1
Cumberland County,Illinois,17,035,78.7
DeKalb County,Illinois,17,037,79.6
De Witt County,Illinois,17,039,79.5
Douglas County,Illinois,17,041,76.4
DuPage County,Illinois,17,043,77.8
Edgar County,Illinois,17,045,80.3
Edwards County,Illinois,17,047,79.5
Effingham County,Illinois,17,049,76.6
Fayette County,Illinois,17,051,79.6
Ford County,Illinois,17,053,77.9
Franklin County,Illinois,17,055,79.4
Fulton County,Illinois,17,057,82.0
Gallatin County,Illinois,17,059,81.8
Greene County,Illinois,17,061,80.0
Grundy County,Illinois,17,063,74.8
Hamilton County,Illinois,17,065,79.2
Hancock County,Illinois,17,067,80.2
Hardin County,Illinois,17,069,76.2
Henderson County,Illinois,17,071,83.2
Henry County,Illinois,17,073,77.9
Iroquois County,Illinois,17,075,78.7
Jackson County,Illinois,17,077,84.7
Jasper County,Illinois,17,079,81.4
Jefferson County,Illinois,17,081,80.9
Jersey County,Illinois,17,083,79.8
Jo Daviess County,Illinois,17,085,80.8
Johnson County,Illinois,17,087,85.4
Kane County,Illinois,17,089,74.0
Kankakee County,Illinois,17,091,77.0
Kendall County,Illinois,17,093,71.1
Knox County,Illinois,17,095,81.8
Lake County,Illinois,17,097,75.9
LaSalle County,Illinois,17,099,79.4
Lawrence County,Illinois,17,101,85.2
Lee County,Illinois,17,103,81.9
Livingston County,Illinois,17,105,80.0
Logan County,Illinois,17,107,83.1
McDonough County,Illinois,17,109,85.7
McHenry County,Illinois,17,111,76.2
McLean County,Illinois,17,113,79.0
Macon County,Illinois,17,115,78.9
Macoupin County,Illinois,17,117,79.5
Madison County,Illinois,17,119,78.8
Marion County,Illinois,17,121,79.2
Marshall County,Illinois,17,123,80.5
Mason County,Illinois,17,125,80.7
Massac County,Illinois,17,127,80.5
Menard County,Illinois,17,129,78.7
Mercer County,Illinois,17,131,79.9
Monroe County,Illinois,17,133,77.6
Montgomery County,Illinois,17,135,81.9
Morgan County,Illinois,17,137,80.9
Moultrie County,Illinois,17,139,76.9
Ogle County,Illinois,17,141,78.7
Peoria County,Illinois,17,143,77.4
Perry County,Illinois,17,145,82.8
Piatt County,Illinois,17,147,79.0
Pike County,Illinois,17,149,78.9
Pope County,Illinois,17,151,85.6
Pulaski County,Illinois,17,153,75.9
Putnam County,Illinois,17,155,80.8
Randolph County,Illinois,17,157,83.5
Richland County,Illinois,17,159,79.7
Rock Island County,Illinois,17,161,78.9
Saint Clair County,Illinois,17,163,76.7
Saline County,Illinois,17,165,79.4
Sangamon County,Illinois,17,167,78.1
Schuyler County,Illinois,17,169,81.3
Scott County,Illinois,17,171,78.7
Shelby County,Illinois,17,173,80.0
Stark County,Illinois,17,175,79.7
Stephenson County,Illinois,17,177,79.1
Tazewell County,Illinois,17,179,78.3
Union County,Illinois,17,181,80.4
Vermilion County,Illinois,17,183,77.7
Wabash County,Illinois,17,185,80.4
Warren County,Illinois,17,187,78.5
Washington County,Illinois,17,189,81.7
Wayne County,Illinois,17,191,79.4
White County,Illinois,17,193,80.5
Whiteside County,Illinois,17,195,78.6
Will County,Illinois,17,197,74.3
Williamson County,Illinois,17,199,79.6
Winnebago County,Illinois,17,201,77.3
Woodford County,Illinois,17,203,76.9
Adams County,Indiana,18,001,71.1
Allen County,Indiana,18,003,75.2
Bartholomew County,Indiana,18,005,77.7
Benton County,Indiana,18,007,75.9
Blackford County,Indiana,18,009,78.7
Boone County,Indiana,18,011,73.7
Brown County,Indiana,18,013,81.8
Carroll County,Indiana,18,015,79.1
Cass County,Indiana,18,017,77.3
Clark County,Indiana,18,019,78.3
Clay County,Indiana,18,021,79.0
Clinton County,Indiana,18,023,75.3
Crawford County,Indiana,18,025,79.1
Daviess County,Indiana,18,027,73.5
Dearborn County,Indiana,18,029,77.8
Decatur County,Indiana,18,031,76.8
DeKalb County,Indiana,18,033,76.2
Delaware County,Indiana,18,035,81.6
Dubois County,Indiana,18,037,78.4
Elkhart County,Indiana,18,039,74.1
Fayette County,Indiana,18,041,78.9
Floyd County,Indiana,18,043,78.2
Fountain County,Indiana,18,045,78.9
Franklin County,Indiana,18,047,76.8
Fulton County,Indiana,18,049,77.1
Gibson County,Indiana,18,051,76.8
Grant County,Indiana,18,053,80.0
Greene County,Indiana,18,055,78.9
Hamilton County,Indiana,18,057,72.4
Hancock County,Indiana,18,059,75.9
Harrison County,Indiana,18,061,78.7
Hendricks County,Indiana,18,063,75.8
Henry County,Indiana,18,065,81.7
Howard County,Indiana,18,067,78.7
Huntington County,Indiana,18,069,78.6
