County,State,State_FIPS,County_FIPS,some_college_1_plus_year
Fulton County,Indiana,18,049,1934
Gibson County,Indiana,18,051,3650
Grant County,Indiana,18,053,5996
Greene County,Indiana,18,055,3284
Hamilton County,Indiana,18,057,23935
Hancock County,Indiana,18,059,6999
Harrison County,Indiana,18,061,3386
Hendricks County,Indiana,18,063,14617
Henry County,Indiana,18,065,4169
Howard County,Indiana,18,067,9235
Huntington County,Indiana,18,069,3520
Jackson County,Indiana,18,071,3231
Jasper County,Indiana,18,073,2998
Jay County,Indiana,18,075,1412
Jefferson County,Indiana,18,077,2918
Jennings County,Indiana,18,079,2646
Johnson County,Indiana,18,081,12033
Knox County,Indiana,18,083,3139
Kosciusko County,Indiana,18,085,6223
LaGrange County,Indiana,18,087,2013
Lake County,Indiana,18,089,55959
LaPorte County,Indiana,18,091,10500
Lawrence County,Indiana,18,093,4334
Madison County,Indiana,18,095,13104
Marion County,Indiana,18,097,88710
Marshall County,Indiana,18,099,3631
Martin County,Indiana,18,101,944
Miami County,Indiana,18,103,3772
Monroe County,Indiana,18,105,9942
Montgomery County,Indiana,18,107,3251
Morgan County,Indiana,18,109,6582
Newton County,Indiana,18,111,1352
Noble County,Indiana,18,113,3608
Ohio County,Indiana,18,115,538
Orange County,Indiana,18,117,1427
Owen County,Indiana,18,119,1971
Parke County,Indiana,18,121,1820
Perry County,Indiana,18,123,1503
Pike County,Indiana,18,125,962
Porter County,Indiana,18,127,16699
Posey County,Indiana,18,129,2532
Pulaski County,Indiana,18,131,1216
Putnam County,Indiana,18,133,3540
Randolph County,Indiana,18,135,2310
Ripley County,Indiana,18,137,2100
Rush County,Indiana,18,139,1257
Saint Joseph County,Indiana,18,141,25560
Scott County,Indiana,18,143,2142
Shelby County,Indiana,18,145,3844
Spencer County,Indiana,18,147,1526
Starke County,Indiana,18,149,1947
Steuben County,Indiana,18,151,2983
Sullivan County,Indiana,18,153,1808
Switzerland County,Indiana,18,155,885
Tippecanoe County,Indiana,18,157,13301
Tipton County,Indiana,18,159,1579
Union County,Indiana,18,161,762
Vanderburgh County,Indiana,18,163,20017
Vermillion County,Indiana,18,165,1349
