County,State,State_FIPS,County_FIPS,high_school_grads
De Witt County,Illinois,17,039,3654.0
Douglas County,Illinois,17,041,3924.0
DuPage County,Illinois,17,043,106068.0
Edgar County,Illinois,17,045,3735.0
Edwards County,Illinois,17,047,1514.0
Effingham County,Illinois,17,049,7364.0
Fayette County,Illinois,17,051,5166.0
Ford County,Illinois,17,053,3119.0
Franklin County,Illinois,17,055,7651.0
Fulton County,Illinois,17,057,7561.0
Gallatin County,Illinois,17,059,1250.0
Greene County,Illinois,17,061,3321.0
Grundy County,Illinois,17,063,10465.0
Hamilton County,Illinois,17,065,1800.0
Hancock County,Illinois,17,067,4621.0
Hardin County,Illinois,17,069,953.0
Henderson County,Illinois,17,071,1996.0
Henry County,Illinois,17,073,10074.0
Iroquois County,Illinois,17,075,7229.0
Jackson County,Illinois,17,077,6782.0
Jasper County,Illinois,17,079,2137.0
Jefferson County,Illinois,17,081,6879.0
Jersey County,Illinois,17,083,4976.0
Jo Daviess County,Illinois,17,085,5381.0
Johnson County,Illinois,17,087,2229.0
Kane County,Illinois,17,089,66342.0
Kankakee County,Illinois,17,091,21353.0
Kendall County,Illinois,17,093,16549.0
Knox County,Illinois,17,095,10856.0
Lake County,Illinois,17,097,81899.0
LaSalle County,Illinois,17,099,24585.0
Lawrence County,Illinois,17,101,2969.0
Lee County,Illinois,17,103,7736.0
Livingston County,Illinois,17,105,9271.0
Logan County,Illinois,17,107,5677.0
McDonough County,Illinois,17,109,4606.0
McHenry County,Illinois,17,111,48377.0
McLean County,Illinois,17,113,22597.0
Macon County,Illinois,17,115,21151.0
Macoupin County,Illinois,17,117,10546.0
Madison County,Illinois,17,119,48569.0
Marion County,Illinois,17,121,7719.0
Marshall County,Illinois,17,123,3148.0
Mason County,Illinois,17,125,3508.0
Massac County,Illinois,17,127,3036.0
Menard County,Illinois,17,129,2580.0
Mercer County,Illinois,17,131,4110.0
Monroe County,Illinois,17,133,6798.0
Montgomery County,Illinois,17,135,6747.0
Morgan County,Illinois,17,137,8696.0
Moultrie County,Illinois,17,139,2841.0
Ogle County,Illinois,17,141,10509.0
Peoria County,Illinois,17,143,28667.0
Perry County,Illinois,17,145,4459.0
Piatt County,Illinois,17,147,3593.0
Pike County,Illinois,17,149,4101.0
Pope County,Illinois,17,151,822.0
Pulaski County,Illinois,17,153,1260.0
Putnam County,Illinois,17,155,1517.0
Randolph County,Illinois,17,157,7984.0
Richland County,Illinois,17,159,2990.0
Rock Island County,Illinois,17,161,26326.0
Saint Clair County,Illinois,17,163,42152.0
Saline County,Illinois,17,165,4238.0
Sangamon County,Illinois,17,167,32400.0
Schuyler County,Illinois,17,169,1669.0
Scott County,Illinois,17,171,1689.0
Shelby County,Illinois,17,173,6481.0
Stark County,Illinois,17,175,1378.0
Stephenson County,Illinois,17,177,9760.0
Tazewell County,Illinois,17,179,26218.0
Union County,Illinois,17,181,3398.0
Vermilion County,Illinois,17,183,17250.0
Wabash County,Illinois,17,185,2019.0
Warren County,Illinois,17,187,3442.0
Washington County,Illinois,17,189,2907.0
Wayne County,Illinois,17,191,3295.0
White County,Illinois,17,193,3165.0
Whiteside County,Illinois,17,195,12172.0
Will County,Illinois,17,197,103598.0
Williamson County,Illinois,17,199,11282.0
Winnebago County,Illinois,17,201,50981.0
Woodford County,Illinois,17,203,7552.0
Adams County,Indiana,18,001,7627.0
Allen County,Indiana,18,003,58807.0
