County,State,State_FIPS,County_FIPS,high_school_only_percentage
Menard County,Illinois,17,129,41.1
Mercer County,Illinois,17,131,41.7
Monroe County,Illinois,17,133,34.2
Montgomery County,Illinois,17,135,42.9
Morgan County,Illinois,17,137,40.9
Moultrie County,Illinois,17,139,42.3
Ogle County,Illinois,17,141,39.1
Peoria County,Illinois,17,143,28.8
Perry County,Illinois,17,145,34.7
Piatt County,Illinois,17,147,38.1
Pike County,Illinois,17,149,47.8
Pope County,Illinois,17,151,41.9
Pulaski County,Illinois,17,153,37.6
Putnam County,Illinois,17,155,40.3
Randolph County,Illinois,17,157,41.0
Richland County,Illinois,17,159,37.6
Rock Island County,Illinois,17,161,32.0
Saint Clair County,Illinois,17,163,28.8
Saline County,Illinois,17,165,33.3
Sangamon County,Illinois,17,167,27.0
Schuyler County,Illinois,17,169,45.6
Scott County,Illinois,17,171,44.5
Shelby County,Illinois,17,173,46.1
Stark County,Illinois,17,175,45.1
Stephenson County,Illinois,17,177,37.4
Tazewell County,Illinois,17,179,33.9
Union County,Illinois,17,181,33.5
Vermilion County,Illinois,17,183,43.1
Wabash County,Illinois,17,185,35.7
Warren County,Illinois,17,187,37.8
Washington County,Illinois,17,189,36.7
Wayne County,Illinois,17,191,38.0
White County,Illinois,17,193,35.1
Whiteside County,Illinois,17,195,39.6
Will County,Illinois,17,197,28.0
Williamson County,Illinois,17,199,30.3
Winnebago County,Illinois,17,201,34.4
Woodford County,Illinois,17,203,33.5
Adams County,Indiana,18,001,41.9
Allen County,Indiana,18,003,30.6
Bartholomew County,Indiana,18,005,31.4
Benton County,Indiana,18,007,46.3
Blackford County,Indiana,18,009,55.3
Boone County,Indiana,18,011,29.3
Brown County,Indiana,18,013,39.2
Carroll County,Indiana,18,015,46.4
Cass County,Indiana,18,017,46.4
Clark County,Indiana,18,019,37.4
Clay County,Indiana,18,021,44.7
Clinton County,Indiana,18,023,46.6
Crawford County,Indiana,18,025,47.1
Daviess County,Indiana,18,027,38.5
Dearborn County,Indiana,18,029,44.4
Decatur County,Indiana,18,031,44.1
DeKalb County,Indiana,18,033,43.0
Delaware County,Indiana,18,035,36.7
Dubois County,Indiana,18,037,42.2
Elkhart County,Indiana,18,039,36.2
Fayette County,Indiana,18,041,41.0
Floyd County,Indiana,18,043,34.5
Fountain County,Indiana,18,045,47.1
Franklin County,Indiana,18,047,47.2
Fulton County,Indiana,18,049,46.6
Gibson County,Indiana,18,051,44.8
Grant County,Indiana,18,053,42.4
Greene County,Indiana,18,055,44.9
Hamilton County,Indiana,18,057,14.4
Hancock County,Indiana,18,059,35.6
Harrison County,Indiana,18,061,46.1
Hendricks County,Indiana,18,063,29.8
Henry County,Indiana,18,065,45.8
Howard County,Indiana,18,067,35.8
Huntington County,Indiana,18,069,43.6
