County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Twin Falls County,Idaho,16,083,8.0
Valley County,Idaho,16,085,3.2
Washington County,Idaho,16,087,8.9
Adams County,Illinois,17,001,3.0
Alexander County,Illinois,17,003,8.3
Bond County,Illinois,17,005,3.4
Boone County,Illinois,17,007,5.6
Brown County,Illinois,17,009,7.2
Bureau County,Illinois,17,011,4.9
Calhoun County,Illinois,17,013,6.8
Carroll County,Illinois,17,015,2.8
Cass County,Illinois,17,017,9.0
Champaign County,Illinois,17,019,2.6
Christian County,Illinois,17,021,4.6
Clark County,Illinois,17,023,3.9
Clay County,Illinois,17,025,5.2
Clinton County,Illinois,17,027,5.7
Coles County,Illinois,17,029,2.5
Cook County,Illinois,17,031,8.1
Crawford County,Illinois,17,033,4.4
Cumberland County,Illinois,17,035,6.9
DeKalb County,Illinois,17,037,3.3
De Witt County,Illinois,17,039,3.0
Douglas County,Illinois,17,041,11.1
DuPage County,Illinois,17,043,3.6
Edgar County,Illinois,17,045,2.0
Edwards County,Illinois,17,047,3.6
Effingham County,Illinois,17,049,5.2
Fayette County,Illinois,17,051,7.1
Ford County,Illinois,17,053,6.5
Franklin County,Illinois,17,055,5.3
Fulton County,Illinois,17,057,4.9
Gallatin County,Illinois,17,059,6.9
Greene County,Illinois,17,061,5.6
Grundy County,Illinois,17,063,2.3
Hamilton County,Illinois,17,065,8.5
Hancock County,Illinois,17,067,2.9
Hardin County,Illinois,17,069,6.0
Henderson County,Illinois,17,071,4.3
Henry County,Illinois,17,073,3.6
Iroquois County,Illinois,17,075,4.7
Jackson County,Illinois,17,077,3.8
Jasper County,Illinois,17,079,4.3
Jefferson County,Illinois,17,081,5.9
Jersey County,Illinois,17,083,3.7
Jo Daviess County,Illinois,17,085,4.3
Johnson County,Illinois,17,087,8.2
Kane County,Illinois,17,089,9.5
Kankakee County,Illinois,17,091,5.2
Kendall County,Illinois,17,093,3.9
Knox County,Illinois,17,095,5.1
Lake County,Illinois,17,097,5.9
LaSalle County,Illinois,17,099,3.7
Lawrence County,Illinois,17,101,7.0
Lee County,Illinois,17,103,5.3
Livingston County,Illinois,17,105,3.1
Logan County,Illinois,17,107,3.7
McDonough County,Illinois,17,109,2.2
McHenry County,Illinois,17,111,3.5
McLean County,Illinois,17,113,2.2
Macon County,Illinois,17,115,3.5
Macoupin County,Illinois,17,117,3.2
Madison County,Illinois,17,119,3.2
Marion County,Illinois,17,121,5.6
Marshall County,Illinois,17,123,3.3
Mason County,Illinois,17,125,4.8
Massac County,Illinois,17,127,5.6
Menard County,Illinois,17,129,3.7
Mercer County,Illinois,17,131,3.3
Monroe County,Illinois,17,133,2.5
Montgomery County,Illinois,17,135,4.2
Morgan County,Illinois,17,137,3.7
Moultrie County,Illinois,17,139,8.5
Ogle County,Illinois,17,141,3.6
Peoria County,Illinois,17,143,3.5
Perry County,Illinois,17,145,4.8
Piatt County,Illinois,17,147,2.9
Pike County,Illinois,17,149,4.5
Pope County,Illinois,17,151,6.9
Pulaski County,Illinois,17,153,8.6
Putnam County,Illinois,17,155,2.6
Randolph County,Illinois,17,157,7.7
Richland County,Illinois,17,159,3.4
Rock Island County,Illinois,17,161,4.5
Saint Clair County,Illinois,17,163,3.7
Saline County,Illinois,17,165,5.9
Sangamon County,Illinois,17,167,2.7
Schuyler County,Illinois,17,169,4.8
Scott County,Illinois,17,171,6.4
Shelby County,Illinois,17,173,4.3
Stark County,Illinois,17,175,2.9
Stephenson County,Illinois,17,177,3.1
Tazewell County,Illinois,17,179,2.8
Union County,Illinois,17,181,9.7
Vermilion County,Illinois,17,183,4.1
Wabash County,Illinois,17,185,3.8
Warren County,Illinois,17,187,3.1
Washington County,Illinois,17,189,5.0
Wayne County,Illinois,17,191,6.8
White County,Illinois,17,193,5.7
Whiteside County,Illinois,17,195,6.2
Will County,Illinois,17,197,4.1
Williamson County,Illinois,17,199,3.7
Winnebago County,Illinois,17,201,5.0
Woodford County,Illinois,17,203,2.3
Adams County,Indiana,18,001,8.6
Allen County,Indiana,18,003,4.3
Bartholomew County,Indiana,18,005,3.8
Benton County,Indiana,18,007,2.2
Blackford County,Indiana,18,009,3.3
Boone County,Indiana,18,011,2.7
Brown County,Indiana,18,013,1.6
Carroll County,Indiana,18,015,3.9
Cass County,Indiana,18,017,7.1
