County,State,State_FIPS,County_FIPS,ged_or_alternative
White County,Illinois,17,193,579.0
Whiteside County,Illinois,17,195,2134.0
Will County,Illinois,17,197,14343.0
Williamson County,Illinois,17,199,3064.0
Winnebago County,Illinois,17,201,11800.0
Woodford County,Illinois,17,203,962.0
Adams County,Indiana,18,001,1105.0
Allen County,Indiana,18,003,9282.0
Bartholomew County,Indiana,18,005,2807.0
Benton County,Indiana,18,007,308.0
Blackford County,Indiana,18,009,471.0
Boone County,Indiana,18,011,1230.0
Brown County,Indiana,18,013,676.0
Carroll County,Indiana,18,015,581.0
Cass County,Indiana,18,017,1377.0
Clark County,Indiana,18,019,4801.0
Clay County,Indiana,18,021,1053.0
Clinton County,Indiana,18,023,1232.0
Crawford County,Indiana,18,025,785.0
Daviess County,Indiana,18,027,1034.0
Dearborn County,Indiana,18,029,1489.0
