County,State,State_FIPS,County_FIPS,some_college_less_1_year
Kendall County,Illinois,17,093,6025.0
Knox County,Illinois,17,095,2921.0
Lake County,Illinois,17,097,26575.0
LaSalle County,Illinois,17,099,7368.0
Lawrence County,Illinois,17,101,982.0
Lee County,Illinois,17,103,2243.0
Livingston County,Illinois,17,105,2028.0
Logan County,Illinois,17,107,1672.0
McDonough County,Illinois,17,109,1512.0
McHenry County,Illinois,17,111,16186.0
McLean County,Illinois,17,113,6927.0
Macon County,Illinois,17,115,6470.0
Macoupin County,Illinois,17,117,3116.0
Madison County,Illinois,17,119,15031.0
Marion County,Illinois,17,121,2533.0
Marshall County,Illinois,17,123,895.0
Mason County,Illinois,17,125,740.0
Massac County,Illinois,17,127,1002.0
Menard County,Illinois,17,129,719.0
Mercer County,Illinois,17,131,1102.0
Monroe County,Illinois,17,133,2122.0
Montgomery County,Illinois,17,135,1583.0
Morgan County,Illinois,17,137,2260.0
Moultrie County,Illinois,17,139,970.0
Ogle County,Illinois,17,141,3233.0
Peoria County,Illinois,17,143,10444.0
Perry County,Illinois,17,145,1404.0
Piatt County,Illinois,17,147,641.0
Pike County,Illinois,17,149,1186.0
Pope County,Illinois,17,151,439.0
Pulaski County,Illinois,17,153,443.0
Putnam County,Illinois,17,155,517.0
Randolph County,Illinois,17,157,2241.0
Richland County,Illinois,17,159,991.0
Rock Island County,Illinois,17,161,8952.0
Saint Clair County,Illinois,17,163,13994.0
Saline County,Illinois,17,165,1610.0
Sangamon County,Illinois,17,167,11413.0
Schuyler County,Illinois,17,169,411.0
Scott County,Illinois,17,171,284.0
Shelby County,Illinois,17,173,974.0
Stark County,Illinois,17,175,338.0
Stephenson County,Illinois,17,177,3391.0
Tazewell County,Illinois,17,179,8166.0
Union County,Illinois,17,181,1205.0
Vermilion County,Illinois,17,183,4610.0
Wabash County,Illinois,17,185,893.0
Warren County,Illinois,17,187,1251.0
Washington County,Illinois,17,189,814.0
Wayne County,Illinois,17,191,1009.0
White County,Illinois,17,193,1109.0
Whiteside County,Illinois,17,195,4032.0
Will County,Illinois,17,197,32714.0
Williamson County,Illinois,17,199,4417.0
Winnebago County,Illinois,17,201,18501.0
Woodford County,Illinois,17,203,1860.0
Adams County,Indiana,18,001,1438.0
Allen County,Indiana,18,003,16583.0
Bartholomew County,Indiana,18,005,3059.0
Benton County,Indiana,18,007,411.0
Blackford County,Indiana,18,009,599.0
Boone County,Indiana,18,011,2422.0
Brown County,Indiana,18,013,885.0
Carroll County,Indiana,18,015,930.0
Cass County,Indiana,18,017,1940.0
Clark County,Indiana,18,019,6225.0
Clay County,Indiana,18,021,1265.0
Clinton County,Indiana,18,023,1401.0
Crawford County,Indiana,18,025,492.0
Daviess County,Indiana,18,027,951.0
