County,State,State_FIPS,County_FIPS,bachelors_degree
Chatham County,Georgia,13,051,36311.0
Chattahoochee County,Georgia,13,053,1228.0
Chattooga County,Georgia,13,055,1020.0
Cherokee County,Georgia,13,057,34851.0
Clarke County,Georgia,13,059,12514.0
Clay County,Georgia,13,061,54.0
Clayton County,Georgia,13,063,19794.0
Clinch County,Georgia,13,065,344.0
Cobb County,Georgia,13,067,135253.0
Coffee County,Georgia,13,069,2117.0
Colquitt County,Georgia,13,071,2420.0
Columbia County,Georgia,13,073,17674.0
Cook County,Georgia,13,075,885.0
Coweta County,Georgia,13,077,15209.0
Crawford County,Georgia,13,079,695.0
Crisp County,Georgia,13,081,1448.0
Dade County,Georgia,13,083,1273.0
Dawson County,Georgia,13,085,3073.0
Decatur County,Georgia,13,087,1611.0
DeKalb County,Georgia,13,089,112848.0
Dodge County,Georgia,13,091,1194.0
Dooly County,Georgia,13,093,648.0
Dougherty County,Georgia,13,095,6016.0
Douglas County,Georgia,13,097,13709.0
Early County,Georgia,13,099,513.0
Echols County,Georgia,13,101,133.0
Effingham County,Georgia,13,103,4089.0
Elbert County,Georgia,13,105,853.0
Emanuel County,Georgia,13,107,943.0
Evans County,Georgia,13,109,679.0
Fannin County,Georgia,13,111,1687.0
Fayette County,Georgia,13,113,19955.0
Floyd County,Georgia,13,115,6687.0
Forsyth County,Georgia,13,117,37295.0
Franklin County,Georgia,13,119,1204.0
Fulton County,Georgia,13,121,189733.0
Gilmer County,Georgia,13,123,2309.0
Glascock County,Georgia,13,125,139.0
Glynn County,Georgia,13,127,8661.0
Gordon County,Georgia,13,129,3049.0
Grady County,Georgia,13,131,1225.0
Greene County,Georgia,13,133,1540.0
Gwinnett County,Georgia,13,135,123081.0
Habersham County,Georgia,13,137,2747.0
Hall County,Georgia,13,139,16421.0
Hancock County,Georgia,13,141,422.0
Haralson County,Georgia,13,143,1646.0
Harris County,Georgia,13,145,3668.0
Hart County,Georgia,13,147,1613.0
Heard County,Georgia,13,149,569.0
Henry County,Georgia,13,151,23019.0
