County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Renter),Unemployment Rate,Total Occupied Households,Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,Total Families (Single Mother),Median Household Income,No Vehicle (Owner),Gini Index,Median Age,Bachelor's Degree or Higher (%),Total Families,Disability Rate,Rent Denominator,Poverty Rate,Black Population,High School Degree or Higher (%),Year
Benton County,Arkansas,79.69562751172,5,7,2397.0,2.4,97249.0,44161.0,4587.0,265759.0,232718.0,5724.0,66362.0,820.0,0.4586,35.4,33.4,70386.0,10.1,32507.0,9.4,4541.0,88.6,2019
Boone County,Arkansas,76.4606951241037,5,9,555.0,4.5,15034.0,931.0,564.0,37331.0,35900.0,600.0,45374.0,255.0,0.4364,42.3,16.1,10455.0,18.6,4241.0,14.7,125.0,87.4,2019
Bradley County,Arkansas,74.0787319215763,5,11,233.0,7.6,4419.0,1673.0,233.0,10874.0,7164.0,349.0,43184.0,117.0,0.451,40.6,14.3,2827.0,22.6,1539.0,20.5,3135.0,81.0,2019
Calhoun County,Arkansas,75.0215094185301,5,13,55.0,4.4,1850.0,207.0,67.0,5192.0,3957.0,69.0,46417.0,60.0,0.4212,44.5,11.4,1302.0,22.0,281.0,13.4,1125.0,84.2,2019
Carroll County,Arkansas,77.2842160355692,5,15,385.0,3.7,11139.0,4183.0,263.0,27965.0,25765.0,352.0,46110.0,199.0,0.4631,45.0,21.2,7497.0,15.1,2703.0,14.8,289.0,86.3,2019
Chicot County,Arkansas,73.6861573372926,5,17,399.0,9.9,4068.0,584.0,289.0,10615.0,4614.0,359.0,34147.0,208.0,0.5252,43.3,15.9,2636.0,25.5,1555.0,28.9,5724.0,80.8,2019
Clark County,Arkansas,76.0630306037432,5,19,565.0,2.0,8446.0,1059.0,687.0,22386.0,15720.0,802.0,41620.0,49.0,0.4319,33.7,26.6,5253.0,21.3,3587.0,20.3,5434.0,90.0,2019
Clay County,Arkansas,73.1902475268155,5,21,367.0,5.2,6444.0,307.0,373.0,14889.0,14275.0,475.0,37233.0,213.0,0.4663,42.8,12.6,4140.0,22.8,2100.0,21.1,100.0,82.5,2019
Cleburne County,Arkansas,75.9718803756163,5,23,105.0,4.3,10783.0,609.0,327.0,25100.0,24327.0,432.0,44483.0,232.0,0.4501,49.4,15.5,7230.0,18.5,2673.0,14.0,98.0,85.9,2019
Cleveland County,Arkansas,75.1716757513491,5,25,71.0,5.5,3217.0,101.0,68.0,8128.0,6970.0,231.0,46684.0,104.0,0.4257,42.9,16.2,2254.0,20.4,771.0,18.4,1040.0,89.6,2019
Columbia County,Arkansas,74.5558798297109,5,27,341.0,10.9,8562.0,645.0,499.0,23776.0,14396.0,751.0,36193.0,134.0,0.4973,35.7,19.6,5559.0,19.1,2533.0,25.0,8592.0,85.9,2019
Conway County,Arkansas,74.9230500819947,5,29,295.0,6.7,8309.0,818.0,347.0,20858.0,17760.0,642.0,42802.0,186.0,0.4812,42.5,15.6,5600.0,23.0,2719.0,17.6,2167.0,87.0,2019
Craighead County,Arkansas,76.4586434664692,5,31,2334.0,6.2,41375.0,5421.0,3636.0,107345.0,84590.0,4020.0,47286.0,529.0,0.4816,34.2,26.2,26764.0,17.6,17752.0,16.6,15614.0,89.3,2019
Crawford County,Arkansas,76.0994700780118,5,33,761.0,4.5,23958.0,4852.0,1107.0,62739.0,55246.0,1559.0,46828.0,323.0,0.4477,38.6,16.0,17082.0,19.9,5747.0,17.2,993.0,85.0,2019
Crittenden County,Arkansas,73.0267848799303,5,35,1689.0,8.8,19074.0,1246.0,2003.0,48672.0,21168.0,2517.0,40161.0,297.0,0.4689,35.2,17.4,11964.0,16.8,8118.0,22.2,23352.0,82.6,2019
Cross County,Arkansas,73.4524804330144,5,37,261.0,6.1,6653.0,167.0,355.0,16824.0,12380.0,543.0,46787.0,150.0,0.4593,40.9,14.4,4652.0,19.9,2206.0,15.4,3141.0,83.6,2019
Dallas County,Arkansas,73.9958868828713,5,39,139.0,3.3,2969.0,98.0,150.0,7279.0,3888.0,203.0,38072.0,137.0,0.4249,43.9,11.9,1797.0,24.8,959.0,14.7,3148.0,83.9,2019
Desha County,Arkansas,72.7220178284176,5,41,584.0,8.2,5204.0,718.0,327.0,11709.0,5710.0,561.0,31893.0,221.0,0.4547,40.1,14.1,3545.0,19.4,2005.0,29.1,5456.0,81.1,2019
Drew County,Arkansas,75.3221847381784,5,43,352.0,3.9,7157.0,632.0,389.0,18417.0,12611.0,487.0,46997.0,140.0,0.4941,37.4,22.8,4651.0,19.9,2312.0,18.8,5289.0,86.9,2019
Faulkner County,Arkansas,76.6906424011415,5,45,1501.0,3.8,44575.0,5060.0,3767.0,123624.0,101450.0,2742.0,52827.0,577.0,0.4674,32.8,30.6,28842.0,14.3,16799.0,16.7,14094.0,91.8,2019
Franklin County,Arkansas,74.8382795580183,5,47,288.0,3.1,6723.0,536.0,517.0,17738.0,16682.0,203.0,38923.0,96.0,0.4533,41.2,12.1,4537.0,22.8,1983.0,23.0,174.0,83.7,2019
Fulton County,Arkansas,75.0356374627702,5,49,145.0,5.7,4973.0,196.0,176.0,12231.0,11736.0,199.0,35405.0,82.0,0.4256,48.4,12.2,3278.0,23.5,1008.0,20.7,58.0,85.6,2019
Garland County,Arkansas,74.8562256903252,5,51,2448.0,5.5,40209.0,5553.0,2962.0,98555.0,84807.0,2820.0,44777.0,608.0,0.4807,45.0,21.6,25250.0,20.2,12939.0,18.6,8092.0,89.1,2019
Grant County,Arkansas,75.6041085997915,5,53,97.0,3.9,6863.0,498.0,252.0,18126.0,17180.0,281.0,55388.0,77.0,0.4471,41.0,18.7,5007.0,19.2,1364.0,14.5,482.0,90.8,2019
Greene County,Arkansas,74.3358069408924,5,55,719.0,7.6,17254.0,1281.0,993.0,44937.0,42557.0,1132.0,47056.0,171.0,0.4261,38.0,16.2,12280.0,22.9,5693.0,16.4,864.0,88.2,2019
Hempstead County,Arkansas,75.5311036861403,5,57,368.0,4.6,8094.0,2800.0,336.0,21842.0,12523.0,818.0,42860.0,100.0,0.4199,40.4,15.1,5711.0,17.0,2487.0,22.7,6582.0,82.6,2019
Hot Spring County,Arkansas,74.4833685843654,5,59,422.0,6.0,12599.0,1176.0,279.0,33597.0,28434.0,684.0,43889.0,321.0,0.428,41.3,13.3,8857.0,23.8,2790.0,18.0,3834.0,85.8,2019
Howard County,Arkansas,74.3708884718481,5,61,216.0,6.8,5142.0,1669.0,262.0,13311.0,8967.0,567.0,36059.0,114.0,0.511,39.2,13.6,3503.0,17.6,1597.0,19.4,2779.0,85.2,2019
Independence County,Arkansas,76.1679910478133,5,63,479.0,4.7,14322.0,2363.0,530.0,37427.0,34101.0,752.0,44319.0,180.0,0.4561,39.3,17.5,9929.0,20.1,4061.0,16.7,720.0,86.0,2019
