County,State,State_FIPS,County_FIPS,median_household_income
Hancock County,Illinois,17,067,47699.0
Hardin County,Illinois,17,069,38838.0
Henderson County,Illinois,17,071,47672.0
Henry County,Illinois,17,073,53480.0
Iroquois County,Illinois,17,075,47834.0
Jackson County,Illinois,17,077,33871.0
Jasper County,Illinois,17,079,54209.0
Jefferson County,Illinois,17,081,43247.0
Jersey County,Illinois,17,083,53271.0
Jo Daviess County,Illinois,17,085,53221.0
Johnson County,Illinois,17,087,42287.0
Kane County,Illinois,17,089,70696.0
Kankakee County,Illinois,17,091,52110.0
Kendall County,Illinois,17,093,84385.0
Knox County,Illinois,17,095,39976.0
Lake County,Illinois,17,097,78026.0
LaSalle County,Illinois,17,099,50633.0
Lawrence County,Illinois,17,101,40841.0
Lee County,Illinois,17,103,52379.0
Livingston County,Illinois,17,105,54254.0
Logan County,Illinois,17,107,50539.0
McDonough County,Illinois,17,109,40314.0
McHenry County,Illinois,17,111,77222.0
McLean County,Illinois,17,113,62211.0
Macon County,Illinois,17,115,47176.0
Macoupin County,Illinois,17,117,51206.0
Madison County,Illinois,17,119,53431.0
Marion County,Illinois,17,121,42238.0
Marshall County,Illinois,17,123,53423.0
Mason County,Illinois,17,125,41567.0
Massac County,Illinois,17,127,40977.0
Menard County,Illinois,17,129,60486.0
Mercer County,Illinois,17,131,54757.0
Monroe County,Illinois,17,133,70859.0
Montgomery County,Illinois,17,135,46966.0
Morgan County,Illinois,17,137,45978.0
Moultrie County,Illinois,17,139,49681.0
Ogle County,Illinois,17,141,54849.0
Peoria County,Illinois,17,143,51147.0
Perry County,Illinois,17,145,42478.0
Piatt County,Illinois,17,147,66261.0
Pike County,Illinois,17,149,40588.0
Pope County,Illinois,17,151,39223.0
Pulaski County,Illinois,17,153,31980.0
Putnam County,Illinois,17,155,56358.0
Randolph County,Illinois,17,157,48158.0
Richland County,Illinois,17,159,44127.0
Rock Island County,Illinois,17,161,48817.0
Saint Clair County,Illinois,17,163,49895.0
Saline County,Illinois,17,165,38258.0
Sangamon County,Illinois,17,167,56167.0
Schuyler County,Illinois,17,169,47723.0
Scott County,Illinois,17,171,47222.0
Shelby County,Illinois,17,173,47850.0
Stark County,Illinois,17,175,50085.0
Stephenson County,Illinois,17,177,45331.0
Tazewell County,Illinois,17,179,58194.0
Union County,Illinois,17,181,42606.0
Vermilion County,Illinois,17,183,42977.0
Wabash County,Illinois,17,185,47491.0
Warren County,Illinois,17,187,43699.0
Washington County,Illinois,17,189,53202.0
Wayne County,Illinois,17,191,44993.0
White County,Illinois,17,193,44648.0
Whiteside County,Illinois,17,195,47401.0
Will County,Illinois,17,197,76101.0
Williamson County,Illinois,17,199,44453.0
Winnebago County,Illinois,17,201,48225.0
Woodford County,Illinois,17,203,65852.0
