County,State,State_FIPS,County_FIPS,health_insurance_rate
McDuffie County,Georgia,13,189,20.1
McIntosh County,Georgia,13,191,25.7
Macon County,Georgia,13,193,23.2
Madison County,Georgia,13,195,20.3
Marion County,Georgia,13,197,30.1
Meriwether County,Georgia,13,199,21.2
Miller County,Georgia,13,201,18.6
Mitchell County,Georgia,13,205,20.2
Monroe County,Georgia,13,207,18.1
Montgomery County,Georgia,13,209,22.6
Morgan County,Georgia,13,211,18.4
Murray County,Georgia,13,213,22.8
Muscogee County,Georgia,13,215,14.9
Newton County,Georgia,13,217,19.1
Oconee County,Georgia,13,219,9.4
Oglethorpe County,Georgia,13,221,15.5
Paulding County,Georgia,13,223,14.1
Peach County,Georgia,13,225,20.8
Pickens County,Georgia,13,227,15.1
Pierce County,Georgia,13,229,20.9
Pike County,Georgia,13,231,15.2
Polk County,Georgia,13,233,20.3
Pulaski County,Georgia,13,235,17.6
Putnam County,Georgia,13,237,16.9
Quitman County,Georgia,13,239,15.6
Rabun County,Georgia,13,241,23.6
Randolph County,Georgia,13,243,21.9
Richmond County,Georgia,13,245,18.0
Rockdale County,Georgia,13,247,20.2
Schley County,Georgia,13,249,23.9
Screven County,Georgia,13,251,20.4
Seminole County,Georgia,13,253,19.0
Spalding County,Georgia,13,255,18.7
Stephens County,Georgia,13,257,20.0
Stewart County,Georgia,13,259,23.9
Sumter County,Georgia,13,261,17.2
Talbot County,Georgia,13,263,15.3
Taliaferro County,Georgia,13,265,17.4
Tattnall County,Georgia,13,267,23.8
Taylor County,Georgia,13,269,19.2
Telfair County,Georgia,13,271,19.6
Terrell County,Georgia,13,273,18.3
Thomas County,Georgia,13,275,21.9
Tift County,Georgia,13,277,23.4
Toombs County,Georgia,13,279,22.3
Towns County,Georgia,13,281,17.7
Treutlen County,Georgia,13,283,15.8
Troup County,Georgia,13,285,18.1
Turner County,Georgia,13,287,23.8
Twiggs County,Georgia,13,289,17.2
Union County,Georgia,13,291,17.1
Upson County,Georgia,13,293,18.7
Walker County,Georgia,13,295,17.5
Walton County,Georgia,13,297,16.4
Ware County,Georgia,13,299,22.1
