County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Ford County,Illinois,17,053,3.8
Franklin County,Illinois,17,055,3.1
Fulton County,Illinois,17,057,3.9
Gallatin County,Illinois,17,059,4.7
Greene County,Illinois,17,061,4.1
Grundy County,Illinois,17,063,2.6
Hamilton County,Illinois,17,065,5.8
Hancock County,Illinois,17,067,2.5
Hardin County,Illinois,17,069,4.9
Henderson County,Illinois,17,071,2.7
Henry County,Illinois,17,073,3.2
Iroquois County,Illinois,17,075,3.5
Jackson County,Illinois,17,077,3.3
Jasper County,Illinois,17,079,4.2
Jefferson County,Illinois,17,081,5.0
Jersey County,Illinois,17,083,2.4
Jo Daviess County,Illinois,17,085,2.4
Johnson County,Illinois,17,087,4.4
Kane County,Illinois,17,089,9.0
Kankakee County,Illinois,17,091,4.7
Kendall County,Illinois,17,093,3.0
Knox County,Illinois,17,095,3.1
Lake County,Illinois,17,097,5.3
LaSalle County,Illinois,17,099,3.5
Lawrence County,Illinois,17,101,5.5
Lee County,Illinois,17,103,2.9
Livingston County,Illinois,17,105,3.4
Logan County,Illinois,17,107,2.8
McDonough County,Illinois,17,109,1.3
McHenry County,Illinois,17,111,2.9
McLean County,Illinois,17,113,1.6
Macon County,Illinois,17,115,3.0
Macoupin County,Illinois,17,117,3.4
Madison County,Illinois,17,119,2.3
Marion County,Illinois,17,121,4.7
Marshall County,Illinois,17,123,2.2
Mason County,Illinois,17,125,3.7
Massac County,Illinois,17,127,5.3
Menard County,Illinois,17,129,1.8
Mercer County,Illinois,17,131,1.9
Monroe County,Illinois,17,133,1.4
Montgomery County,Illinois,17,135,4.6
Morgan County,Illinois,17,137,3.2
Moultrie County,Illinois,17,139,9.5
Ogle County,Illinois,17,141,4.2
Peoria County,Illinois,17,143,2.5
Perry County,Illinois,17,145,3.3
Piatt County,Illinois,17,147,1.2
Pike County,Illinois,17,149,4.2
Pope County,Illinois,17,151,4.7
Pulaski County,Illinois,17,153,5.8
Putnam County,Illinois,17,155,1.2
Randolph County,Illinois,17,157,4.1
Richland County,Illinois,17,159,4.6
Rock Island County,Illinois,17,161,3.9
Saint Clair County,Illinois,17,163,2.9
Saline County,Illinois,17,165,4.1
Sangamon County,Illinois,17,167,2.1
Schuyler County,Illinois,17,169,2.6
Scott County,Illinois,17,171,2.6
Shelby County,Illinois,17,173,2.6
Stark County,Illinois,17,175,4.3
Stephenson County,Illinois,17,177,2.7
Tazewell County,Illinois,17,179,2.1
Union County,Illinois,17,181,6.9
Vermilion County,Illinois,17,183,3.8
Wabash County,Illinois,17,185,4.3
Warren County,Illinois,17,187,4.6
Washington County,Illinois,17,189,3.9
Wayne County,Illinois,17,191,5.1
White County,Illinois,17,193,4.1
Whiteside County,Illinois,17,195,4.4
Will County,Illinois,17,197,4.1
Williamson County,Illinois,17,199,3.2
Winnebago County,Illinois,17,201,4.3
Woodford County,Illinois,17,203,1.9
Adams County,Indiana,18,001,8.5
Allen County,Indiana,18,003,4.0
Bartholomew County,Indiana,18,005,3.2
Benton County,Indiana,18,007,1.7
Blackford County,Indiana,18,009,3.8
Boone County,Indiana,18,011,2.1
Brown County,Indiana,18,013,2.1
Carroll County,Indiana,18,015,3.4
Cass County,Indiana,18,017,6.6
Clark County,Indiana,18,019,3.8
Clay County,Indiana,18,021,2.4
Clinton County,Indiana,18,023,6.4
Crawford County,Indiana,18,025,4.8
Daviess County,Indiana,18,027,15.0
Dearborn County,Indiana,18,029,2.8
Decatur County,Indiana,18,031,3.3
DeKalb County,Indiana,18,033,2.8
Delaware County,Indiana,18,035,2.8
Dubois County,Indiana,18,037,4.9
Elkhart County,Indiana,18,039,8.5
Fayette County,Indiana,18,041,5.8
Floyd County,Indiana,18,043,3.4
Fountain County,Indiana,18,045,4.5
Franklin County,Indiana,18,047,4.6
Fulton County,Indiana,18,049,4.5
Gibson County,Indiana,18,051,3.0
Grant County,Indiana,18,053,3.7
Greene County,Indiana,18,055,4.0
Hamilton County,Indiana,18,057,1.1
Hancock County,Indiana,18,059,1.1
Harrison County,Indiana,18,061,2.5
Hendricks County,Indiana,18,063,1.8
Henry County,Indiana,18,065,3.5
Howard County,Indiana,18,067,3.3
Huntington County,Indiana,18,069,2.3
