County,State,State_FIPS,County_FIPS,per_capita_income
Montezuma County,Colorado,08,083,25161.0
Montrose County,Colorado,08,085,25803.0
Morgan County,Colorado,08,087,24189.0
Otero County,Colorado,08,089,20109.0
Ouray County,Colorado,08,091,36138.0
Park County,Colorado,08,093,35939.0
Phillips County,Colorado,08,095,29236.0
Pitkin County,Colorado,08,097,56180.0
Prowers County,Colorado,08,099,21612.0
Pueblo County,Colorado,08,101,24257.0
Rio Blanco County,Colorado,08,103,27057.0
Rio Grande County,Colorado,08,105,22413.0
Routt County,Colorado,08,107,40727.0
Saguache County,Colorado,08,109,22901.0
San Miguel County,Colorado,08,113,45396.0
Sedgwick County,Colorado,08,115,25048.0
Summit County,Colorado,08,117,38310.0
Teller County,Colorado,08,119,34392.0
Washington County,Colorado,08,121,26680.0
Yuma County,Colorado,08,125,25846.0
Adams County,Colorado,08,001,28897.0
Arapahoe County,Colorado,08,005,38972.0
Boulder County,Colorado,08,013,43831.0
Broomfield County,Colorado,08,014,47016.0
Denver County,Colorado,08,031,41196.0
Jefferson County,Colorado,08,059,41930.0
Weld County,Colorado,08,123,30626.0
Fairfield County,Connecticut,09,001,55613.0
Hartford County,Connecticut,09,003,39260.0
Litchfield County,Connecticut,09,005,42443.0
Middlesex County,Connecticut,09,007,45293.0
New Haven County,Connecticut,09,009,36678.0
New London County,Connecticut,09,011,38109.0
Tolland County,Connecticut,09,013,39668.0
Windham County,Connecticut,09,015,31106.0
Kent County,Delaware,10,001,28100.0
New Castle County,Delaware,10,003,35847.0
Sussex County,Delaware,10,005,33983.0
Alachua County,Florida,12,001,27896.0
Baker County,Florida,12,003,24070.0
Bay County,Florida,12,005,28017.0
Bradford County,Florida,12,007,20481.0
Brevard County,Florida,12,009,30987.0
Broward County,Florida,12,011,31464.0
Calhoun County,Florida,12,013,18921.0
Charlotte County,Florida,12,015,30528.0
Citrus County,Florida,12,017,25983.0
Clay County,Florida,12,019,29138.0
Collier County,Florida,12,021,43256.0
Columbia County,Florida,12,023,23901.0
Miami-Dade County,Florida,12,086,26838.0
DeSoto County,Florida,12,027,18311.0
Dixie County,Florida,12,029,20527.0
Duval County,Florida,12,031,30012.0
Escambia County,Florida,12,033,26730.0
Flagler County,Florida,12,035,27689.0
Franklin County,Florida,12,037,25037.0
Gadsden County,Florida,12,039,20158.0
Gilchrist County,Florida,12,041,21379.0
Glades County,Florida,12,043,21020.0
Gulf County,Florida,12,045,21255.0
Hamilton County,Florida,12,047,15097.0
Hardee County,Florida,12,049,18257.0
Hendry County,Florida,12,051,18900.0
Hernando County,Florida,12,053,24551.0
Highlands County,Florida,12,055,23722.0
Hillsborough County,Florida,12,057,31173.0
Holmes County,Florida,12,059,18574.0
Indian River County,Florida,12,061,35172.0
Jackson County,Florida,12,063,18882.0
Jefferson County,Florida,12,065,23448.0
Lafayette County,Florida,12,067,19870.0
Lake County,Florida,12,069,27052.0
Lee County,Florida,12,071,31924.0
Leon County,Florida,12,073,29754.0
Levy County,Florida,12,075,22025.0
Liberty County,Florida,12,077,17197.0
Madison County,Florida,12,079,19223.0
Manatee County,Florida,12,081,32070.0
Marion County,Florida,12,083,24570.0
Martin County,Florida,12,085,40389.0
Monroe County,Florida,12,087,43477.0
Nassau County,Florida,12,089,35335.0
Okaloosa County,Florida,12,091,31901.0
Okeechobee County,Florida,12,093,19943.0
Orange County,Florida,12,095,28859.0
Osceola County,Florida,12,097,21331.0
Palm Beach County,Florida,12,099,37998.0
Pasco County,Florida,12,101,27786.0
Pinellas County,Florida,12,103,33478.0
Polk County,Florida,12,105,23812.0
Putnam County,Florida,12,107,19976.0
Saint Johns County,Florida,12,109,41393.0
Saint Lucie County,Florida,12,111,25736.0
Santa Rosa County,Florida,12,113,30904.0
Sarasota County,Florida,12,115,39364.0
Seminole County,Florida,12,117,33419.0
Sumter County,Florida,12,119,33629.0
Suwannee County,Florida,12,121,21755.0
Taylor County,Florida,12,123,16919.0
Union County,Florida,12,125,15475.0
Volusia County,Florida,12,127,27272.0
Wakulla County,Florida,12,129,24322.0
Walton County,Florida,12,131,33731.0
Washington County,Florida,12,133,18112.0
Appling County,Georgia,13,001,20421.0
Atkinson County,Georgia,13,003,18565.0
Bacon County,Georgia,13,005,19634.0
Baker County,Georgia,13,007,22864.0
Baldwin County,Georgia,13,009,20305.0
Banks County,Georgia,13,011,20810.0
Barrow County,Georgia,13,013,23638.0
Bartow County,Georgia,13,015,25712.0
Ben Hill County,Georgia,13,017,17563.0
Berrien County,Georgia,13,019,18611.0
Bibb County,Georgia,13,021,24409.0
Bleckley County,Georgia,13,023,18519.0
Brantley County,Georgia,13,025,18904.0
Brooks County,Georgia,13,027,23421.0
Bryan County,Georgia,13,029,30892.0
Bulloch County,Georgia,13,031,21207.0
Burke County,Georgia,13,033,21334.0
Butts County,Georgia,13,035,22360.0
Calhoun County,Georgia,13,037,13927.0
Camden County,Georgia,13,039,28509.0
Candler County,Georgia,13,043,18718.0
Carroll County,Georgia,13,045,24155.0
Catoosa County,Georgia,13,047,26915.0
Charlton County,Georgia,13,049,19341.0
Chatham County,Georgia,13,051,30664.0
Chattahoochee County,Georgia,13,053,23651.0
Chattooga County,Georgia,13,055,18209.0
Cherokee County,Georgia,13,057,35199.0
Clarke County,Georgia,13,059,22589.0
Clay County,Georgia,13,061,16199.0
Clayton County,Georgia,13,063,20419.0
Clinch County,Georgia,13,065,16538.0
Cobb County,Georgia,13,067,38268.0
Coffee County,Georgia,13,069,19709.0
Colquitt County,Georgia,13,071,19173.0
Columbia County,Georgia,13,073,32509.0
Cook County,Georgia,13,075,19778.0
Coweta County,Georgia,13,077,32542.0
Crawford County,Georgia,13,079,21102.0
Crisp County,Georgia,13,081,21581.0
Dade County,Georgia,13,083,24028.0
Dawson County,Georgia,13,085,32646.0
