County,State,State_FIPS,County_FIPS,total_population
Jefferson County,Idaho,16,051,27096.0
Jerome County,Idaho,16,053,22694.0
Kootenai County,Idaho,16,055,147716.0
Latah County,Idaho,16,057,38593.0
Lemhi County,Idaho,16,059,7743.0
Lewis County,Idaho,16,061,3826.0
Lincoln County,Idaho,16,063,5292.0
Madison County,Idaho,16,065,38114.0
Minidoka County,Idaho,16,067,20331.0
Nez Perce County,Idaho,16,069,39995.0
Oneida County,Idaho,16,071,4269.0
Owyhee County,Idaho,16,073,11356.0
Payette County,Idaho,16,075,22773.0
Power County,Idaho,16,077,7696.0
Shoshone County,Idaho,16,079,12551.0
Teton County,Idaho,16,081,10437.0
Twin Falls County,Idaho,16,083,80955.0
Valley County,Idaho,16,085,9897.0
Washington County,Idaho,16,087,10035.0
Adams County,Illinois,17,001,66949.0
Alexander County,Illinois,17,003,7051.0
Bond County,Illinois,17,005,17137.0
Boone County,Illinois,17,007,53656.0
Brown County,Illinois,17,009,6836.0
Bureau County,Illinois,17,011,33822.0
Calhoun County,Illinois,17,013,4962.0
Carroll County,Illinois,17,015,14793.0
Cass County,Illinois,17,017,13068.0
Champaign County,Illinois,17,019,206420.0
Christian County,Illinois,17,021,33888.0
Clark County,Illinois,17,023,16089.0
Clay County,Illinois,17,025,13466.0
Clinton County,Illinois,17,027,37858.0
Coles County,Illinois,17,029,52802.0
Cook County,Illinois,17,031,5227575.0
Crawford County,Illinois,17,033,19441.0
Cumberland County,Illinois,17,035,10890.0
DeKalb County,Illinois,17,037,104458.0
De Witt County,Illinois,17,039,16322.0
Douglas County,Illinois,17,041,19770.0
DuPage County,Illinois,17,043,930514.0
Edgar County,Illinois,17,045,17828.0
Edwards County,Illinois,17,047,6612.0
Effingham County,Illinois,17,049,34356.0
Fayette County,Illinois,17,051,22025.0
Ford County,Illinois,17,053,13758.0
Franklin County,Illinois,17,055,39503.0
Fulton County,Illinois,17,057,36047.0
Gallatin County,Illinois,17,059,5325.0
Greene County,Illinois,17,061,13390.0
Grundy County,Illinois,17,063,50338.0
Hamilton County,Illinois,17,065,8251.0
Hancock County,Illinois,17,067,18633.0
Hardin County,Illinois,17,069,4173.0
Henderson County,Illinois,17,071,6966.0
Henry County,Illinois,17,073,49681.0
Iroquois County,Illinois,17,075,28814.0
Jackson County,Illinois,17,077,59188.0
Jasper County,Illinois,17,079,9592.0
Jefferson County,Illinois,17,081,38523.0
Jersey County,Illinois,17,083,22441.0
Jo Daviess County,Illinois,17,085,22186.0
Johnson County,Illinois,17,087,12866.0
Kane County,Illinois,17,089,526615.0
Kankakee County,Illinois,17,091,111493.0
Kendall County,Illinois,17,093,121452.0
Knox County,Illinois,17,095,51752.0
Lake County,Illinois,17,097,702890.0
LaSalle County,Illinois,17,099,111935.0
Lawrence County,Illinois,17,101,16582.0
Lee County,Illinois,17,103,34718.0
Livingston County,Illinois,17,105,37278.0
Logan County,Illinois,17,107,29820.0
McDonough County,Illinois,17,109,31727.0
McHenry County,Illinois,17,111,307083.0
McLean County,Illinois,17,113,173254.0
Macon County,Illinois,17,115,108404.0
Macoupin County,Illinois,17,117,46482.0
Madison County,Illinois,17,119,266759.0
Marion County,Illinois,17,121,38503.0
Marshall County,Illinois,17,123,12060.0
Mason County,Illinois,17,125,13931.0
Massac County,Illinois,17,127,14883.0
Menard County,Illinois,17,129,12576.0
Mercer County,Illinois,17,131,15971.0
Monroe County,Illinois,17,133,33703.0
