County,State,State_FIPS,County_FIPS,median_home_value
Lamar County,Georgia,13,171,120900.0
Lanier County,Georgia,13,173,102100.0
Laurens County,Georgia,13,175,85700.0
Lee County,Georgia,13,177,156400.0
Liberty County,Georgia,13,179,124300.0
Lincoln County,Georgia,13,181,99100.0
Long County,Georgia,13,183,97900.0
Lowndes County,Georgia,13,185,133100.0
Lumpkin County,Georgia,13,187,169700.0
McDuffie County,Georgia,13,189,106300.0
McIntosh County,Georgia,13,191,120800.0
Macon County,Georgia,13,193,69200.0
Madison County,Georgia,13,195,118800.0
Marion County,Georgia,13,197,103300.0
Meriwether County,Georgia,13,199,88400.0
Miller County,Georgia,13,201,90700.0
Mitchell County,Georgia,13,205,80400.0
Monroe County,Georgia,13,207,150000.0
Montgomery County,Georgia,13,209,73400.0
Morgan County,Georgia,13,211,175600.0
Murray County,Georgia,13,213,86200.0
Muscogee County,Georgia,13,215,134200.0
Newton County,Georgia,13,217,118500.0
Oconee County,Georgia,13,219,235000.0
Oglethorpe County,Georgia,13,221,125100.0
Paulding County,Georgia,13,223,131800.0
Peach County,Georgia,13,225,123300.0
Pickens County,Georgia,13,227,167500.0
Pierce County,Georgia,13,229,86200.0
Pike County,Georgia,13,231,155800.0
Polk County,Georgia,13,233,102000.0
Pulaski County,Georgia,13,235,87800.0
Putnam County,Georgia,13,237,140400.0
Quitman County,Georgia,13,239,63600.0
Rabun County,Georgia,13,241,160200.0
Randolph County,Georgia,13,243,73400.0
Richmond County,Georgia,13,245,100400.0
Rockdale County,Georgia,13,247,143900.0
Schley County,Georgia,13,249,91200.0
Screven County,Georgia,13,251,78200.0
Seminole County,Georgia,13,253,76300.0
Spalding County,Georgia,13,255,114600.0
Stephens County,Georgia,13,257,99500.0
Stewart County,Georgia,13,259,46100.0
Sumter County,Georgia,13,261,85000.0
Talbot County,Georgia,13,263,76900.0
Taliaferro County,Georgia,13,265,57800.0
Tattnall County,Georgia,13,267,90100.0
Taylor County,Georgia,13,269,61600.0
Telfair County,Georgia,13,271,58200.0
Terrell County,Georgia,13,273,81600.0
Thomas County,Georgia,13,275,124200.0
Tift County,Georgia,13,277,116200.0
Toombs County,Georgia,13,279,89400.0
Towns County,Georgia,13,281,162700.0
Treutlen County,Georgia,13,283,73200.0
Troup County,Georgia,13,285,118300.0
Turner County,Georgia,13,287,74600.0
Twiggs County,Georgia,13,289,55400.0
Union County,Georgia,13,291,181400.0
Upson County,Georgia,13,293,82600.0
Walker County,Georgia,13,295,100100.0
Walton County,Georgia,13,297,153500.0
Ware County,Georgia,13,299,79700.0
Warren County,Georgia,13,301,67700.0
Washington County,Georgia,13,303,82300.0
Wayne County,Georgia,13,305,85300.0
Webster County,Georgia,13,307,43500.0
Wheeler County,Georgia,13,309,61100.0
White County,Georgia,13,311,161700.0
Whitfield County,Georgia,13,313,120800.0
Wilcox County,Georgia,13,315,70000.0
Wilkes County,Georgia,13,317,92800.0
Wilkinson County,Georgia,13,319,71800.0
Worth County,Georgia,13,321,69200.0
Hawaii County,Hawaii,15,001,301500.0
Honolulu County,Hawaii,15,003,564400.0
Kauai County,Hawaii,15,007,483800.0
Kalawao County,Hawaii,15,005,-666666666.0
Maui County,Hawaii,15,009,510300.0
Ada County,Idaho,16,001,183300.0
Adams County,Idaho,16,003,142800.0
Bannock County,Idaho,16,005,143800.0
Bear Lake County,Idaho,16,007,127200.0
Benewah County,Idaho,16,009,135600.0
Bingham County,Idaho,16,011,136300.0
Blaine County,Idaho,16,013,373000.0
Boise County,Idaho,16,015,187700.0
Bonner County,Idaho,16,017,215600.0
Bonneville County,Idaho,16,019,154000.0
Boundary County,Idaho,16,021,173500.0
Butte County,Idaho,16,023,111400.0
Camas County,Idaho,16,025,154200.0
Canyon County,Idaho,16,027,120200.0
Caribou County,Idaho,16,029,124800.0
Cassia County,Idaho,16,031,128200.0
Clearwater County,Idaho,16,035,131200.0
Custer County,Idaho,16,037,154500.0
Elmore County,Idaho,16,039,131200.0
Franklin County,Idaho,16,041,159200.0
Fremont County,Idaho,16,043,150100.0
Gem County,Idaho,16,045,141900.0
Gooding County,Idaho,16,047,119000.0
Idaho County,Idaho,16,049,151600.0
Jefferson County,Idaho,16,051,155700.0
Jerome County,Idaho,16,053,138300.0
Kootenai County,Idaho,16,055,184200.0
