County,State,State_FIPS,County_FIPS,total_population_race
Dawson County,Georgia,13,085,22673.0
Decatur County,Georgia,13,087,27378.0
DeKalb County,Georgia,13,089,716331.0
Dodge County,Georgia,13,091,21180.0
Dooly County,Georgia,13,093,14293.0
Dougherty County,Georgia,13,095,93310.0
Douglas County,Georgia,13,097,136520.0
Early County,Georgia,13,099,10579.0
Echols County,Georgia,13,101,4048.0
Effingham County,Georgia,13,103,54630.0
Elbert County,Georgia,13,105,19537.0
Emanuel County,Georgia,13,107,22731.0
Evans County,Georgia,13,109,10814.0
Fannin County,Georgia,13,111,23742.0
Fayette County,Georgia,13,113,108655.0
Floyd County,Georgia,13,115,96169.0
Forsyth County,Georgia,13,117,196236.0
Franklin County,Georgia,13,119,22110.0
Fulton County,Georgia,13,121,983903.0
Gilmer County,Georgia,13,123,28673.0
Glascock County,Georgia,13,125,3087.0
Glynn County,Georgia,13,127,81743.0
Gordon County,Georgia,13,129,55889.0
Grady County,Georgia,13,131,25243.0
Greene County,Georgia,13,133,16331.0
Gwinnett County,Georgia,13,135,859234.0
Habersham County,Georgia,13,137,43527.0
Hall County,Georgia,13,139,187916.0
Hancock County,Georgia,13,141,8881.0
Haralson County,Georgia,13,143,28565.0
Harris County,Georgia,13,145,32776.0
Hart County,Georgia,13,147,25498.0
Heard County,Georgia,13,149,11617.0
Henry County,Georgia,13,151,211512.0
Houston County,Georgia,13,153,147570.0
Irwin County,Georgia,13,155,9408.0
Jackson County,Georgia,13,157,61420.0
Jasper County,Georgia,13,159,13593.0
Jeff Davis County,Georgia,13,161,14990.0
Jefferson County,Georgia,13,163,16374.0
Jenkins County,Georgia,13,165,8922.0
Johnson County,Georgia,13,167,9794.0
Jones County,Georgia,13,169,28738.0
Lamar County,Georgia,13,171,18114.0
Lanier County,Georgia,13,173,10403.0
Laurens County,Georgia,13,175,47886.0
Lee County,Georgia,13,177,28946.0
Liberty County,Georgia,13,179,64427.0
Lincoln County,Georgia,13,181,7720.0
Long County,Georgia,13,183,16588.0
Lowndes County,Georgia,13,185,113203.0
Lumpkin County,Georgia,13,187,30921.0
McDuffie County,Georgia,13,189,21582.0
McIntosh County,Georgia,13,191,14007.0
Macon County,Georgia,13,193,14045.0
Madison County,Georgia,13,195,28232.0
Marion County,Georgia,13,197,8739.0
Meriwether County,Georgia,13,199,21297.0
Miller County,Georgia,13,201,5936.0
Mitchell County,Georgia,13,205,22982.0
Monroe County,Georgia,13,207,26915.0
Montgomery County,Georgia,13,209,8968.0
Morgan County,Georgia,13,211,17900.0
Murray County,Georgia,13,213,39401.0
Muscogee County,Georgia,13,215,200285.0
Newton County,Georgia,13,217,102645.0
Oconee County,Georgia,13,219,34400.0
Oglethorpe County,Georgia,13,221,14688.0
Paulding County,Georgia,13,223,147400.0
Peach County,Georgia,13,225,27086.0
Pickens County,Georgia,13,227,29740.0
Pierce County,Georgia,13,229,18934.0
Pike County,Georgia,13,231,17812.0
Polk County,Georgia,13,233,41215.0
Pulaski County,Georgia,13,235,11590.0
Putnam County,Georgia,13,237,21247.0
Quitman County,Georgia,13,239,2326.0
Rabun County,Georgia,13,241,16266.0
Randolph County,Georgia,13,243,7315.0
Richmond County,Georgia,13,245,201291.0
Rockdale County,Georgia,13,247,86901.0
Schley County,Georgia,13,249,5074.0
Screven County,Georgia,13,251,14206.0
Seminole County,Georgia,13,253,8769.0
Spalding County,Georgia,13,255,63873.0
Stephens County,Georgia,13,257,25620.0
Stewart County,Georgia,13,259,5868.0
Sumter County,Georgia,13,261,31429.0
Talbot County,Georgia,13,263,6490.0
Taliaferro County,Georgia,13,265,1721.0
Tattnall County,Georgia,13,267,25302.0
Taylor County,Georgia,13,269,8401.0
Telfair County,Georgia,13,271,16416.0
Terrell County,Georgia,13,273,9213.0
Thomas County,Georgia,13,275,44824.0
Tift County,Georgia,13,277,40787.0
Toombs County,Georgia,13,279,27210.0
Towns County,Georgia,13,281,10800.0
Treutlen County,Georgia,13,283,6762.0
Troup County,Georgia,13,285,68867.0
Turner County,Georgia,13,287,8338.0
Twiggs County,Georgia,13,289,8509.0
Union County,Georgia,13,291,21725.0
Upson County,Georgia,13,293,26528.0
Walker County,Georgia,13,295,68285.0
Walton County,Georgia,13,297,86201.0
Ware County,Georgia,13,299,35723.0
Warren County,Georgia,13,301,5561.0
Washington County,Georgia,13,303,20785.0
Wayne County,Georgia,13,305,30046.0
Webster County,Georgia,13,307,2720.0
Wheeler County,Georgia,13,309,7956.0
White County,Georgia,13,311,27791.0
Whitfield County,Georgia,13,313,103456.0
Wilcox County,Georgia,13,315,8972.0
Wilkes County,Georgia,13,317,9991.0
Wilkinson County,Georgia,13,319,9386.0
Worth County,Georgia,13,321,21156.0
Hawaii County,Hawaii,15,001,191482.0
Honolulu County,Hawaii,15,003,984178.0
Kauai County,Hawaii,15,007,69691.0
Kalawao County,Hawaii,15,005,85.0
Maui County,Hawaii,15,009,160863.0
Ada County,Idaho,16,001,417501.0
Adams County,Idaho,16,003,3880.0
Bannock County,Idaho,16,005,83604.0
Bear Lake County,Idaho,16,007,5939.0
Benewah County,Idaho,16,009,9088.0
Bingham County,Idaho,16,011,45407.0
Blaine County,Idaho,16,013,21309.0
Boise County,Idaho,16,015,6885.0
Bonner County,Idaho,16,017,41066.0
Bonneville County,Idaho,16,019,107788.0
Boundary County,Idaho,16,021,10961.0
Butte County,Idaho,16,023,2653.0
Camas County,Idaho,16,025,1052.0
Canyon County,Idaho,16,027,198921.0
Caribou County,Idaho,16,029,6808.0
Cassia County,Idaho,16,031,23369.0
Clearwater County,Idaho,16,035,8560.0
Custer County,Idaho,16,037,4234.0
Elmore County,Idaho,16,039,26175.0
Franklin County,Idaho,16,041,12914.0
Fremont County,Idaho,16,043,12945.0
Gem County,Idaho,16,045,16731.0
Gooding County,Idaho,16,047,15233.0
Idaho County,Idaho,16,049,16312.0
Jefferson County,Idaho,16,051,26792.0
Jerome County,Idaho,16,053,22653.0
Kootenai County,Idaho,16,055,145046.0
Latah County,Idaho,16,057,38339.0
Lemhi County,Idaho,16,059,7790.0
Lewis County,Idaho,16,061,3812.0
Lincoln County,Idaho,16,063,5260.0
Madison County,Idaho,16,065,37916.0
Minidoka County,Idaho,16,067,20279.0
Nez Perce County,Idaho,16,069,39779.0
Oneida County,Idaho,16,071,4245.0
Owyhee County,Idaho,16,073,11364.0
Payette County,Idaho,16,075,22700.0
Power County,Idaho,16,077,7731.0
Shoshone County,Idaho,16,079,12571.0
Teton County,Idaho,16,081,10285.0
Twin Falls County,Idaho,16,083,80004.0
Valley County,Idaho,16,085,9720.0
Washington County,Idaho,16,087,10025.0
Adams County,Illinois,17,001,67081.0
Alexander County,Illinois,17,003,7364.0
Bond County,Illinois,17,005,17313.0
Boone County,Illinois,17,007,53851.0
Brown County,Illinois,17,009,6859.0
Bureau County,Illinois,17,011,34115.0
Calhoun County,Illinois,17,013,4999.0
Carroll County,Illinois,17,015,14926.0
Cass County,Illinois,17,017,13254.0
Champaign County,Illinois,17,019,205766.0
Christian County,Illinois,17,021,34200.0
Clark County,Illinois,17,023,16159.0
Clay County,Illinois,17,025,13582.0
Clinton County,Illinois,17,027,37929.0
Coles County,Illinois,17,029,53037.0
Cook County,Illinois,17,031,5236393.0
Crawford County,Illinois,17,033,19541.0
Cumberland County,Illinois,17,035,10943.0
DeKalb County,Illinois,17,037,104345.0
De Witt County,Illinois,17,039,16388.0
Douglas County,Illinois,17,041,19826.0
DuPage County,Illinois,17,043,930412.0
Edgar County,Illinois,17,045,17992.0
Edwards County,Illinois,17,047,6649.0
Effingham County,Illinois,17,049,34332.0
Fayette County,Illinois,17,051,22136.0
Ford County,Illinois,17,053,13835.0
Franklin County,Illinois,17,055,39694.0
Fulton County,Illinois,17,057,36323.0
Gallatin County,Illinois,17,059,5385.0
Greene County,Illinois,17,061,13502.0
Grundy County,Illinois,17,063,50277.0
Hamilton County,Illinois,17,065,8322.0
Hancock County,Illinois,17,067,18738.0
Hardin County,Illinois,17,069,4228.0
Henderson County,Illinois,17,071,7042.0
Henry County,Illinois,17,073,49883.0
Iroquois County,Illinois,17,075,29053.0
Jackson County,Illinois,17,077,59534.0
Jasper County,Illinois,17,079,9635.0
Jefferson County,Illinois,17,081,38578.0
Jersey County,Illinois,17,083,22625.0
Jo Daviess County,Illinois,17,085,22397.0
Johnson County,Illinois,17,087,12829.0
Kane County,Illinois,17,089,524886.0
Kankakee County,Illinois,17,091,112221.0
Kendall County,Illinois,17,093,120036.0
Knox County,Illinois,17,095,52112.0
Lake County,Illinois,17,097,702898.0
LaSalle County,Illinois,17,099,112579.0
Lawrence County,Illinois,17,101,16665.0
Lee County,Illinois,17,103,35027.0
Livingston County,Illinois,17,105,37689.0
Logan County,Illinois,17,107,29956.0
McDonough County,Illinois,17,109,32009.0
McHenry County,Illinois,17,111,307357.0
