County,State,State_FIPS,County_FIPS,asian_population
Richmond County,Georgia,13,245,79422.0
Rockdale County,Georgia,13,247,38777.0
Schley County,Georgia,13,249,3496.0
Screven County,Georgia,13,251,7927.0
Seminole County,Georgia,13,253,5642.0
Spalding County,Georgia,13,255,40434.0
Stephens County,Georgia,13,257,21666.0
Stewart County,Georgia,13,259,1767.0
Sumter County,Georgia,13,261,13829.0
Talbot County,Georgia,13,263,2697.0
Taliaferro County,Georgia,13,265,762.0
Tattnall County,Georgia,13,267,15785.0
Taylor County,Georgia,13,269,5048.0
Telfair County,Georgia,13,271,10002.0
Terrell County,Georgia,13,273,3528.0
Thomas County,Georgia,13,275,26765.0
Tift County,Georgia,13,277,25729.0
Toombs County,Georgia,13,279,18521.0
Towns County,Georgia,13,281,10235.0
Treutlen County,Georgia,13,283,4554.0
Troup County,Georgia,13,285,41551.0
Turner County,Georgia,13,287,4679.0
Twiggs County,Georgia,13,289,4807.0
Union County,Georgia,13,291,20847.0
Upson County,Georgia,13,293,18774.0
Walker County,Georgia,13,295,63238.0
Walton County,Georgia,13,297,67918.0
Ware County,Georgia,13,299,23600.0
Warren County,Georgia,13,301,2098.0
Washington County,Georgia,13,303,9565.0
Wayne County,Georgia,13,305,22414.0
Webster County,Georgia,13,307,1329.0
Wheeler County,Georgia,13,309,4615.0
White County,Georgia,13,311,26257.0
Whitfield County,Georgia,13,313,90077.0
Wilcox County,Georgia,13,315,5409.0
Wilkes County,Georgia,13,317,5452.0
Wilkinson County,Georgia,13,319,5648.0
Worth County,Georgia,13,321,14861.0
Hawaii County,Hawaii,15,001,62903.0
Honolulu County,Hawaii,15,003,209847.0
Kauai County,Hawaii,15,007,23103.0
Kalawao County,Hawaii,15,005,32.0
Maui County,Hawaii,15,009,54749.0
Ada County,Idaho,16,001,374848.0
Adams County,Idaho,16,003,3728.0
Bannock County,Idaho,16,005,75381.0
Bear Lake County,Idaho,16,007,5740.0
Benewah County,Idaho,16,009,7896.0
Bingham County,Idaho,16,011,39784.0
Blaine County,Idaho,16,013,19151.0
Boise County,Idaho,16,015,6569.0
Bonner County,Idaho,16,017,39195.0
Bonneville County,Idaho,16,019,96550.0
Boundary County,Idaho,16,021,10292.0
Butte County,Idaho,16,023,2578.0
Camas County,Idaho,16,025,994.0
Canyon County,Idaho,16,027,178003.0
Caribou County,Idaho,16,029,6729.0
Cassia County,Idaho,16,031,21275.0
Clearwater County,Idaho,16,035,8128.0
Custer County,Idaho,16,037,4187.0
Elmore County,Idaho,16,039,22271.0
Franklin County,Idaho,16,041,12525.0
Fremont County,Idaho,16,043,12293.0
Gem County,Idaho,16,045,15766.0
Gooding County,Idaho,16,047,12971.0
Idaho County,Idaho,16,049,15241.0
Jefferson County,Idaho,16,051,25066.0
Jerome County,Idaho,16,053,20001.0
Kootenai County,Idaho,16,055,135067.0
Latah County,Idaho,16,057,35341.0
Lemhi County,Idaho,16,059,7522.0
Lewis County,Idaho,16,061,3489.0
Lincoln County,Idaho,16,063,4591.0
Madison County,Idaho,16,065,35944.0
Minidoka County,Idaho,16,067,18058.0
Nez Perce County,Idaho,16,069,35629.0
Oneida County,Idaho,16,071,4102.0
Owyhee County,Idaho,16,073,10279.0
Payette County,Idaho,16,075,21077.0
Power County,Idaho,16,077,6314.0
Shoshone County,Idaho,16,079,12096.0
Teton County,Idaho,16,081,9618.0
Twin Falls County,Idaho,16,083,72814.0
Valley County,Idaho,16,085,9521.0
Washington County,Idaho,16,087,9333.0
Adams County,Illinois,17,001,62508.0
Alexander County,Illinois,17,003,4775.0
Bond County,Illinois,17,005,15983.0
Boone County,Illinois,17,007,48297.0
Brown County,Illinois,17,009,5428.0
Bureau County,Illinois,17,011,32784.0
Calhoun County,Illinois,17,013,4943.0
Carroll County,Illinois,17,015,14447.0
Cass County,Illinois,17,017,12130.0
Champaign County,Illinois,17,019,151456.0
Christian County,Illinois,17,021,33169.0
Clark County,Illinois,17,023,15881.0
Clay County,Illinois,17,025,13365.0
Clinton County,Illinois,17,027,35659.0
Coles County,Illinois,17,029,49919.0
Cook County,Illinois,17,031,2975596.0
Crawford County,Illinois,17,033,18249.0
Cumberland County,Illinois,17,035,10697.0
DeKalb County,Illinois,17,037,87514.0
De Witt County,Illinois,17,039,15949.0
Douglas County,Illinois,17,041,19080.0
DuPage County,Illinois,17,043,741208.0
Edgar County,Illinois,17,045,17839.0
Edwards County,Illinois,17,047,6544.0
