County,State,State_FIPS,County_FIPS,disability_rate
Iroquois County,Illinois,17,075,12.8
Jackson County,Illinois,17,077,11.0
Jasper County,Illinois,17,079,14.0
Jefferson County,Illinois,17,081,15.4
Jersey County,Illinois,17,083,10.2
Jo Daviess County,Illinois,17,085,12.7
Johnson County,Illinois,17,087,18.9
Kane County,Illinois,17,089,7.4
Kankakee County,Illinois,17,091,13.9
Kendall County,Illinois,17,093,6.4
Knox County,Illinois,17,095,14.3
Lake County,Illinois,17,097,7.5
LaSalle County,Illinois,17,099,11.6
Lawrence County,Illinois,17,101,15.8
Lee County,Illinois,17,103,12.0
Livingston County,Illinois,17,105,13.3
Logan County,Illinois,17,107,13.2
McDonough County,Illinois,17,109,10.6
McHenry County,Illinois,17,111,7.6
McLean County,Illinois,17,113,8.9
Macon County,Illinois,17,115,13.8
Macoupin County,Illinois,17,117,14.8
Madison County,Illinois,17,119,11.7
Marion County,Illinois,17,121,18.6
Marshall County,Illinois,17,123,12.7
Mason County,Illinois,17,125,15.4
Massac County,Illinois,17,127,18.6
Menard County,Illinois,17,129,12.2
Mercer County,Illinois,17,131,11.8
Monroe County,Illinois,17,133,9.6
Montgomery County,Illinois,17,135,13.6
Morgan County,Illinois,17,137,13.3
Moultrie County,Illinois,17,139,12.8
Ogle County,Illinois,17,141,10.2
Peoria County,Illinois,17,143,10.9
Perry County,Illinois,17,145,16.0
Piatt County,Illinois,17,147,12.0
Pike County,Illinois,17,149,16.2
Pope County,Illinois,17,151,21.8
Pulaski County,Illinois,17,153,20.1
Putnam County,Illinois,17,155,11.5
Randolph County,Illinois,17,157,15.0
Richland County,Illinois,17,159,16.6
Rock Island County,Illinois,17,161,12.4
Saint Clair County,Illinois,17,163,13.8
Saline County,Illinois,17,165,20.0
Sangamon County,Illinois,17,167,13.0
Schuyler County,Illinois,17,169,14.2
Scott County,Illinois,17,171,11.8
Shelby County,Illinois,17,173,13.6
Stark County,Illinois,17,175,13.0
Stephenson County,Illinois,17,177,14.6
Tazewell County,Illinois,17,179,10.6
Union County,Illinois,17,181,16.9
Vermilion County,Illinois,17,183,15.1
Wabash County,Illinois,17,185,16.4
Warren County,Illinois,17,187,13.1
Washington County,Illinois,17,189,14.0
Wayne County,Illinois,17,191,15.5
White County,Illinois,17,193,17.0
Whiteside County,Illinois,17,195,13.9
Will County,Illinois,17,197,7.7
Williamson County,Illinois,17,199,15.7
Winnebago County,Illinois,17,201,11.9
Woodford County,Illinois,17,203,8.4
Adams County,Indiana,18,001,9.8
Allen County,Indiana,18,003,10.5
Bartholomew County,Indiana,18,005,11.6
Benton County,Indiana,18,007,16.1
Blackford County,Indiana,18,009,20.3
Boone County,Indiana,18,011,8.9
Brown County,Indiana,18,013,11.4
Carroll County,Indiana,18,015,12.6
Cass County,Indiana,18,017,12.8
Clark County,Indiana,18,019,14.4
Clay County,Indiana,18,021,16.0
Clinton County,Indiana,18,023,13.2
Crawford County,Indiana,18,025,22.7
Daviess County,Indiana,18,027,12.5
Dearborn County,Indiana,18,029,11.8
Decatur County,Indiana,18,031,13.1
DeKalb County,Indiana,18,033,15.2
Delaware County,Indiana,18,035,16.9
Dubois County,Indiana,18,037,9.5
Elkhart County,Indiana,18,039,12.4
Fayette County,Indiana,18,041,19.3
Floyd County,Indiana,18,043,12.7
Fountain County,Indiana,18,045,15.6
Franklin County,Indiana,18,047,13.0
Fulton County,Indiana,18,049,15.6
Gibson County,Indiana,18,051,12.8
Grant County,Indiana,18,053,16.8
Greene County,Indiana,18,055,17.7
Hamilton County,Indiana,18,057,7.1
Hancock County,Indiana,18,059,11.3
Harrison County,Indiana,18,061,14.3
Hendricks County,Indiana,18,063,7.8
Henry County,Indiana,18,065,16.4
Howard County,Indiana,18,067,15.2
Huntington County,Indiana,18,069,12.9
Jackson County,Indiana,18,071,13.4
Jasper County,Indiana,18,073,13.1
